"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"mass";"chi.distance";"inertie"
"part";2,05997031313027;0,0114577815577603;-0,128296917129129;0,0237115952143807;0,251126797707054;0,990679981143579;0,00551027106810125;-0,0617004947266089;0,0114033695292294;0,120771784734618;0,990340926369852;2,28363843010884e-05;0,00260533295558017;8,08412127640875e-05;0,00695006307750713;0,0237016751461329;7,33260337626083e-07;9,19368373005054e-05;3,14035440328659e-06;0,000352243700913982;0,00558543649151841;1,95862598495365;0,0214269394334429
"html";-0,163946087914195;-1,22029486474624;0,21671730888768;0,0791480790667638;-0,0236437542183537;-0,130852069332615;-0,973967175914443;0,17297093629334;0,0631713147983616;-0,0188710459982586;0,022918494404758;0,946404939476912;0,0271605871540758;0,00329088872362398;0,000225090240632773;0,000133446353706424;0,00739322907865644;0,0002331802663046;3,11017877697577e-05;2,77547594640256e-06;0,00496483243690525;1,02468630001444;0,00521298475848051
"officiel";-0,478347235692314;0,146415852572808;-1,18090647891719;-0,3701098054197;-1,27767961667568;-0,258878646215614;0,079239378573381;-0,639099482046491;-0,200301200109383;-0,691472522013364;0,111843342413932;0,00781021995155302;0,462298621927475;0,0412508834622301;0,376796932244811;0,000142004185701993;1,33042626507793e-05;0,000865457247795978;8,50111303689333e-05;0,00101311452391509;0,000620604054613157;1,35338423609253;0,00113672872807432
"aliens";-0,448655999888339;0,50117851652707;-0,824044049956821;-0,983866783777702;2,60345105763742;-0,15058053131895;0,168208443268499;-0,276570447968154;-0,330211081731181;0,873785358090595;0,0433251433896657;0,040295950503683;0,0991247015112071;0,128361303241779;0,688892901353665;0,000999382074815749;0,00124706614196909;0,00337136249699251;0,00480592725637276;0,0336514228027145;0,00496483243690525;2,03951258411016;0,0206517745010031
"episode";-0,41295621428809;-0,832356628785782;0,661983362505627;0,144636031485147;-0,225215341348649;-0,352399197775047;-0,710297600806225;0,564908331236943;0,123426212516502;-0,192189154374922;0,167028987731949;0,505785279546971;0,291102526259655;0,0126236604179211;0,0234595460435065;0,000141111158394002;0,000573287180375368;0,000362616443718871;1,73103695521492e-05;4,19709970862958e-05;0,000827472072817542;0,95607287101706;0,000756371811911298
"bob";-0,452920601572084;0,832094064627502;1,16173826470873;0,248176692419617;-0,44319848664577;-0,28615640891787;0,525719184751601;0,733989243981475;0,156798676927947;-0,280013951531864;0,116076838798212;0,292018074186193;0,517947805635974;0,0214719692862034;0,0524853120934205;0,000976034886337117;0,00329432193730478;0,00642151909409069;0,000293050977490246;0,000934582678319676;0,00475796441870087;1,2578596998822;0,00752810375786469
"inexpliqué";-0,438620204633326;0,7344821774682;1,59894786765677;0,217226729243617;-0,263840736084439;-0,237690527005013;0,398019639756789;0,866478008313808;0,117716273003552;-0,142976641164368;0,0804843405233798;0,168213214573936;0,725388589587287;0,0121621154437793;0,013751739871621;0,000716379460162693;0,00200876153130569;0,00951994561495957;0,000175708343848125;0,000259208691004636;0,00372362432767894;1,4629040828114;0,00796888506394549
"énigme";-0,442766508291928;0,810568636033649;-0,0667553182028095;-1,80972410911138;-1,10751168285706;-0,191260215408523;0,350138343862659;-0,0288360485719389;-0,781739848106189;-0,478407736501688;0,0596640568011363;0,149041189415904;0,000919820285277176;0,614096285103622;0,176278648394064;0,000811097148800274;0,00271833476922404;1,84372052476556e-05;0,0135502745184071;0,00507481227829906;0,00413736036408771;1,71514675734655;0,0121709904809118
"monde";-0,47323367521325;0,979461952477673;0,304153013321912;0,236014151771043;0,195211851903291;-0,404367602401185;0,836928355083998;0,259891954444398;0,201668819619399;0,166804165994438;0,212464683663047;0,678381618900915;0,05952339628732;0,0325581732187103;0,0170721279300108;0,000741249851405346;0,00317532715383161;0,000306194639678276;0,000184369647782226;0,000126132121219735;0,00330988829127017;0,971438205132379;0,00312351571829811
"channel";-0,406877900785271;-1,20345003026699;0,440070716548776;0,127443497805509;-0,216067221542804;-0,297504327976538;-0,879948485324285;0,321774523846876;0,0931851842934494;-0,1579858070905;0,117541231882233;0,766446104082017;0,0932556089832551;0,00710470206389497;0,0156523529886022;0,000821926153814294;0,00719052697732535;0,000961500548930508;8,06380395510274e-05;0,000231783421887764;0,00496483243690525;1,12292796351984;0,0062604909123119
