"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"difficile";0,388;0,353;0;0,46;0,371;0,509
"deuxième";0,042;0,646;0,59;0,46;0,371;0,509
"degorges";0;0,353;0,59;0,46;0,371;0,509
"dark";0,388;0,353;0,59;0,46;0,371;0
"crâne";0,388;0,353;0,59;0,46;0,001;0,509
"courir";0,388;0,646;0,133;0,388;0,371;0,509
"couple";0,388;0,064;0,59;0,388;0,371;0,509
"cosmos";0,388;0,646;0,133;0,388;0,371;0,509
"corps";0,557;0,353;0,59;0,388;0,6;0,509
"continuer";0,388;0,646;0,59;0,46;0,052;0,509
"complot";0,388;0,353;0,133;0,46;0,052;0,509
"communiquer";0,388;0,064;0,59;0,46;0,6;0,509
"commencer";0,388;0,646;0,59;0,46;0,052;0,509
"colares";0,388;0,353;0,59;0;0,371;0,509
"claude";0,557;0,353;0,59;0,46;0,052;0,509
"btlvmedia";0,388;0,001;0,59;0,46;0,371;0,509
"bogdanov";0,388;0,353;0,59;0,388;0,052;0,509
"body";0,042;0,646;0,59;0,46;0,371;0,509
"behind";0,388;0,353;0,59;0,46;0,6;0,005
"aventure";0,388;0,064;0,133;0,46;0,371;0,509
"autorité";0,557;0,353;0,59;0,388;0,6;0,509
"atterrissage";0,042;0,353;0,59;0,388;0,371;0,509
"assurer";0,557;0,353;0,133;0,388;0,371;0,509
"artificiel";0,388;0,353;0;0,46;0,371;0,509
"archeologia";0,388;0,353;0,59;0,46;0,371;0
"ancient";0,388;0,353;0,59;0;0,371;0,509
"amzn";0,388;0,001;0,59;0,46;0,371;0,509
"action";0,557;0,353;0;0,46;0,371;0,509
"accident";0;0,353;0,59;0,46;0,371;0,509
"abduction";0,557;0,353;0,59;0,388;0,6;0,509
"41z";0,388;0,001;0,59;0,46;0,371;0,509
"38z";0,388;0,064;0,59;0,46;0,6;0,509
"37z";0,388;0,001;0,59;0,46;0,371;0,509
"23z";0,388;0,064;0,59;0,46;0,6;0,509
"21z";0,388;0,001;0,59;0,46;0,371;0,509
"12z";0,388;0,001;0,59;0,46;0,371;0,509
"06z";0,388;0,001;0,59;0,46;0,371;0,509
"04z";0,388;0,001;0,59;0,46;0,371;0,509
"*provider_wat";0;0;0;0;0;0
"*user_BTLVRadioTV";0,88;0,043;0,241;0,389;0;0,151
"*user_NURÉATVAucoeurdelinexpliqué";0,024;0,23;0,486;0,774;0,956;0,393
"*id_aPJbOb5lAa4";0,064;0;0,795;0,643;0,001;0,005
"*user_BTLVNuméro1surleMystèreetlInexpliqué";0,003;0;0,004;0,048;0,002;0
"*user_shamballah13";0;0,353;0,59;0,46;0,371;0,509
"*user_Gentside";0;0,353;0,59;0,46;0,371;0,509
"*id_weCpNpgemig";0,001;0;0;0,255;0,002;0,005
"*user_ÉNIGMESEN7SECONDES";0,481;0,448;0,04;0,174;0,465;0,59
"*user_ExtraterrestresTV";0,265;0;0,486;0,339;0,247;0,393
"*user_INTROCRATE";0;0,128;0,377;0,821;0,553;0,279
"*user_LesZinzinsdelespace";1;1;1;1;1;1
"*user_androbate";0,221;0,188;0,445;0;0,205;0,349
"*user_Lavéritéestailleurs";0,124;0,002;0,069;0;0,399;0,026
"*user_noriko";0;0,1;0,196;0,793;0,345;0,113
"*user_MikeCrissBlog";0;0;0,001;0;0;0
"*user_BTLVBobVousDitTouteLaVérité";0;0;0,397;0,084;0,001;0,03
"*user_secureteam10";0,024;0;0,16;0,227;0,075;0,716
"*provider_dailymotion";0;0,022;0,365;0,006;0,029;0,048
"*user_bySankahOfficiel";0,125;0,022;0;0,612;0,027;0,102
"*user_MrSamPointdinterrogation";0,768;0,546;0,005;0,999;0,616;0,166
"*user_Introcrate";0,013;0,609;0,409;0,331;0,171;0,311
"*user_Shamballahtreize";0;0,128;0,377;0,226;0,143;0,279
"*id_5pggPAvOhM";0,035;0;0,085;0,301;0,008;0,328
"*user_Brut";0,284;0,448;0,04;0,546;0,465;0,59
"*user_LeHuffPost";0,024;0,23;0,375;0,774;0,247;0,393
"*provider_youtube";0;0;0;0;0;0
"*user_ODHTv";0;0,002;0,258;0,003;0;0,007
"*user_TrèsCurieuxYouCuriousFrench";0,73;0,011;0,418;0;0,014;0,07
"*user_odezenne";1;1;1;1;1;1
"*user_BTLVLemédiacomplémentaire";0,18;0,001;0,089;0,489;0;0,068
"*user_FuriousJumper";0,265;0,23;0;0,774;0,247;0,393
"*user_Scicos";0,491;0,007;0,233;0;0,003;0,026
"*user_BobVousDitTouteLaVérité";0;0;0,018;0,013;0;0
"*user_GillusZG";0;0,013;0,369;0,048;0,017;0,077
"*id_xp18wTH8Kd0";0;0;0,007;0,102;0,009;0
