"";"X.typedemission_Collectiondémissionscomposites";"X.typedemission_Collectiondémissionssimples";"X.typedemission_Emissioncomposite";"X.typedemission_Emissionsimple";"X.typedemission_Emissionsimpleincluse";"X.typedemission_Episodeoupartiedunprogramme";"X.typedemission_Episodeoupartiedunprogrammeinclus";"X.typedemission_Tranchehoraire";"X.typedemission_Tranchehoraireincluse"
"coup";0;0;0,24;0,17;0,16;0,3;0;0;0
"autres";0;0,96;0,24;1,35;3,62;1,78;5,27;0;0
"pierre";0;0;0,8;0,3;0;0;0;6,31;0
"jouer";0;0,96;0,08;0,3;0,21;0,3;0;0;0
"jamais";0;0;0,4;0,43;0;0,3;0;0;0
"être";0;37,5;19,66;26,31;22,72;25,46;17,2;25,22;0
"hapsatou";0;0;0;0,48;0;0;0;0;0
"pauline";0;0;1,52;0;0;0;0;0;0
"cryogénisé";0;0;0;1,83;0,05;0;0;0;0
"rester";0;0;0,48;0,7;0,26;0,89;0,28;1,26;0
"visite";0;0;0,16;0,52;0,1;0,89;0;0;0
"structure";0;0;0;0,61;0;0;0;0;0
"peut_être";0;0,96;0;0,43;0,21;0;0;0;0
"utiliser";0;0;0,24;0,48;0,26;0,59;0;0;0
"rencontre";15,38;0,96;0,64;0,65;0,05;0,3;0;0;0
"supervilains";0;0;0;0;0;0;0;17,65;0
"suite";0;0,96;0,16;0,65;0;0;0;0;0
"scientologie";0;0;0;0;0,84;0;0;0;0
"apprendre";0;0;0,16;0,13;0,1;1,18;0;0;0
"avoir";61,54;9,62;18,86;20,44;27,55;15,39;37,17;8,83;0
"michael";0;0;0,4;0,13;0,16;0;0;0;0
"élection";0;0;1,04;0,04;0;0;0;0;0
"jump";0;0;0;0;3,25;0;5,55;0;0
"cela";0;0;0,32;0,3;0,05;0,3;0;0;0
"gens";0;0;0,08;0,61;0,05;0;0;1,26;0
"danger";0;1,92;0;0,09;3,52;1,18;5,27;0;0
"français";0;0;1,84;1;0,05;0;0;6,31;0
"gitan";0;0;0;0,61;0;0;0;0;0
"volant";0;0,96;0,08;0,65;0,63;0;0;0;0
"entrer";0;0;0,32;0,26;0,21;0,59;0;0;0
"heure";0;0;0,24;0,48;0,05;0;0,55;0;0
"également";15,38;0,96;0,48;0,26;0,21;0,3;0;0;0
"rencontrer";0;0,96;0;0,61;0,26;0,59;0,28;2,52;0
"représentant";0;0;0;0,43;0;0,3;0;0;0
"avocat";0;0;0,4;0,78;0,1;0;0;0;0
"cause";0;0;0,32;0,09;0,26;0;0;0;0
"université";0;0;0,72;0,09;0,1;0;0,55;0;0
"lancer";0;0;0,48;0,26;0,37;0,59;0;0;0
"ovni";0;0;1,28;1,78;0,63;0;0,55;0;0
"adopter";0;0;0,08;0,09;3,31;0,3;5,27;0;0
"sy";0;0;1,04;0,48;0;0;0;0;0
"liste";0;0;0,16;0,3;0,05;0,3;0;0;0
"âge";0;0;0,08;0,39;0,05;0,89;0;0;0
"jaune";0;0,96;0;0,96;0;0;0;0;0
"maintenant";0;0;0,08;0,26;0,05;0,89;0,55;0;0
"laurent";0;0;0,48;0,22;0;0;0;0;0
"réaliser";0;0;0,56;0,48;0,05;0;0;3,78;0
"courir";0;0;0;0,26;3,31;0,89;5,27;3,78;0
"rubrique";0;0;0,4;0,3;0;0;0;0;0
"trouver";0;1,92;0,24;1,13;0,47;3,85;1,11;0;0
"mohammed";0;0;0;0,48;0;0;0;0;0
"j";0;0;0;0,61;0;0;0;0;0
"média";0;0;0,56;0,26;0;0;0;0;0
