"";"banalfreq";"X.typedemission_Collectiondémissionscomposites";"X.typedemission_Collectiondémissionssimples";"X.typedemission_Emissioncomposite";"X.typedemission_Emissionsimple";"X.typedemission_Emissionsimpleincluse";"X.typedemission_Episodeoupartiedunprogramme";"X.typedemission_Episodeoupartiedunprogrammeinclus";"X.typedemission_Tranchehoraire";"X.typedemission_Tranchehoraireincluse"
"garçon";23;-0,0102;1,2672;-0,5105;0,3346;0,2512;0,4583;-0,584;-0,1256;-0,0069
"mystère";17;-0,0076;0,6111;-1,6206;1,7984;-1,7166;0,6419;0,6004;-0,0928;-0,0051
"victime";15;-0,0067;-0,1076;0,2285;0,3227;0,5547;-0,3562;-0,3809;-0,0819;-0,0045
"personnalité";11;-0,0049;-0,0789;-0,2026;0,4389;0,3656;-0,2612;-0,2793;-0,06;-0,0033
"t";28;-0,0125;-0,2009;-0,771;1,3422;-0,9492;0,733;0,3211;-0,1529;-0,0084
"ailleurs";18;-0,008;-0,1291;0,5645;0,509;-1,8498;0,2032;0,5647;0,6936;-0,0054
"meilleur";15;-0,0067;-0,1076;-0,3881;1,7911;-0,8978;-0,3562;0,2336;-0,0819;-0,0045
"menace";13;-0,0058;-0,0933;-0,2903;-0,3343;-1,1972;1,5405;1,4676;-0,071;-0,0039
"garder";10;-0,0044;-0,0717;0,504;-0,6271;-0,1876;1,0183;-0,2539;-0,0546;-0,003
"apparence";11;-0,0049;0,7795;-0,4803;-0,7509;-0,2448;1,745;0,3239;-0,06;-0,0033
"devant";10;-0,0044;-0,0717;0,2109;-0,318;-0,4175;1,0183;-0,2539;0,9277;-0,003
"pour";527;-0,2354;0,4393;0,7009;-1,2517;0,387;-0,6022;1,5709;-0,2902;-0,1593
"oeil";13;-0,0058;-0,0933;0,3121;-0,3343;-0,3766;1,5405;-0,3301;-0,071;-0,0039
"façon";10;-0,0044;0,8174;1,5104;-0,6271;-0,8267;-0,2375;-0,2539;0,9277;-0,003
"envoyer";16;-0,0071;0,634;0,4088;-0,9453;0,4676;0,2343;-0,4062;0,7395;-0,0048
"face";19;-0,0085;0,5696;-0,3298;0,6623;-0,8767;-0,4512;0,5317;0,6727;-0,0057
"rouge";11;-0,0049;0,7795;-0,2026;0,4389;-0,2448;-0,2612;-0,2793;-0,06;-0,0033
"montrer";15;-0,0067;-0,1076;-0,3881;1,2813;-0,5281;0,2521;-0,3809;-0,0819;-0,0045
"attaquer";10;-0,0044;-0,0717;-0,9532;0,9583;0,4549;-0,2375;-0,2539;-0,0546;-0,003
"manège";11;-0,0049;-0,0789;-0,2026;0,7692;-0,2448;-0,2612;-0,2793;-0,06;-0,0033
"nommer";10;-0,0044;-0,0717;0,2109;0,2847;-0,1876;0,3755;-0,2539;-0,0546;-0,003
"milieu";12;-0,0053;-0,0861;-0,5478;0,3445;-0,308;0,8821;-0,3047;0,8538;-0,0036
"participer";12;-0,0053;-0,0861;0,3653;-0,5026;0,2942;0,8821;-0,3047;-0,0655;-0,0036
"seul";28;-0,0125;0,4314;-0,4832;1,0226;-0,6584;0,3533;-0,2818;-0,1529;-0,0084
"communauté";15;-0,0067;-0,1076;0,8049;1,2813;-1,454;-0,3562;-0,3809;-0,0819;-0,0045
"nombre";12;-0,0053;-0,0861;0,7041;1,0004;-1,8602;0,3177;-0,3047;-0,0655;-0,0036
"enlever";16;-0,0071;-0,1148;-1,5252;-0,5929;1,5893;1,3;-0,4062;-0,0873;-0,0048
"plaindre";10;-0,0044;-0,0717;0,2109;-0,6271;0,8224;0,3755;-0,2539;-0,0546;-0,003
"the";19;-0,0085;-0,1363;1,6703;0,6623;-1,3366;-0,4512;-0,4824;-0,1037;-0,0057
"poser";18;-0,008;-0,1291;0,3131;-0,2964;0,5547;-0,4275;-0,1382;-0,0983;-0,0054
"bord";14;-0,0062;0,6852;-0,6875;-1,1515;1,501;-0,3325;0,728;-0,0764;-0,0042
"loin";12;-0,0053;0,7452;-0,245;-0,2615;-0,5979;1,6373;-0,3047;-0,0655;-0,0036
"rentrer";12;-0,0053;-0,0861;-0,245;0,3445;0,2942;0,3177;-0,3047;-0,0655;-0,0036
"donner";34;-0,0151;-0,2439;-0,5024;1,467;-0,5736;0,5682;-0,8634;-0,1856;-0,0102
"partager";12;-0,0053;-0,0861;1,7433;0,3445;-1,8602;0,3177;-0,3047;-0,0655;-0,0036
"car";19;-0,0085;0,5696;-0,3298;-0,5859;1,0751;-0,4512;-0,1512;-0,1037;-0,0057
"cours";22;-0,0098;-0,1578;-0,4627;1,2152;0,2954;-0,5225;-0,5586;-0,1201;-0,0066
"michel";18;-0,008;-0,1291;1,8269;0,509;-1,8498;-0,4275;-0,457;0,6936;-0,0054
"nom";12;-0,0053;0,7452;-0,245;0,3445;-0,5979;0,8821;-0,3047;-0,0655;-0,0036
"emmener";10;-0,0044;0,8174;-0,4148;-0,6271;0,4549;1,0183;-0,2539;-0,0546;-0,003
"nos";27;-0,012;1,1434;-0,2564;0,8586;-0,5923;-0,6412;-0,6856;0,5409;-0,0081
"marine";14;-0,0062;-0,1004;0,9081;-0,2195;-0,2338;-0,3325;-0,3555;-0,0764;-0,0042
"presque";10;-0,0044;-0,0717;1,5104;-0,318;-0,4175;-0,2375;-0,2539;-0,0546;-0,003
"deux";52;-0,0231;-0,3731;-0,2603;-0,5974;0,9186;0,8483;-1,3207;0,3188;-0,0157
"ligne";10;-0,0044;-0,0717;0,504;1,5003;-1,5501;-0,2375;-0,2539;-0,0546;-0,003
"sport";13;-0,0058;0,7139;0,6132;-0,3343;0,2366;-0,3087;-0,3301;-0,071;-0,0039
"vrai";16;-0,0071;-0,1148;0,7145;1,0864;-1,0039;-0,38;-0,4062;-0,0873;-0,0048
"près_de";17;-0,0076;0,6111;1,001;-1,0676;0,3939;0,218;-0,4316;-0,0928;-0,0051
"explication";12;-0,0053;-0,0861;0,3653;0,3445;-0,5979;0,8821;-0,3047;-0,0655;-0,0036
"fruit";11;-0,0049;0,7795;-1,0485;1,8135;-0,5054;-0,2612;-0,2793;-0,06;-0,0033
"ami";39;-0,0174;0,3233;-1,4383;-0,7171;1,2996;-0,4221;1,1658;-0,2129;1,5738
"certains";23;1,6329;-0,165;-0,2882;1,8547;-1,2705;-0,1858;-0,584;-0,1256;-0,0069
"vilain";10;-0,0044;-0,0717;0,2109;1,5003;-1,5501;-0,2375;0,3539;-0,0546;-0,003
"vendre";14;-0,0062;-0,1004;-0,6875;-0,4142;1,0293;0,7723;-0,3555;-0,0764;-0,0042
"intervention";10;-0,0044;0,8174;0,2109;0,5593;-0,4175;-0,2375;-0,2539;-0,0546;-0,003
"loi";11;-0,0049;-0,0789;1,966;0,4389;-1,7052;-0,2612;-0,2793;-0,06;-0,0033
"chambre";11;-0,0049;0,7795;-0,4803;-1,2885;1,1058;0,9463;-0,2793;-0,06;-0,0033
"vers";15;-0,0067;-0,1076;-0,7594;1,7911;-1,454;1,3732;-0,3809;-0,0819;-0,0045
"aimer";16;-0,0071;1,5586;-0,2147;1,0864;-1,5847;0,2343;-0,4062;-0,0873;-0,0048
"réalité";35;-0,0156;0,3574;0,6187;-0,6495;0,6427;0,25;-0,8888;-0,1911;-0,0105
"suivant";12;-0,0053;-0,0861;-0,245;0,6192;-0,308;0,3177;-0,3047;-0,0655;-0,0036
"fr";10;-0,0044;1,9564;-0,9532;1,5003;-1,5501;-0,2375;-0,2539;0,9277;-0,003
"invasion";14;-0,0062;-0,1004;-0,338;-0,4142;1,0293;-0,3325;0,2527;-0,0764;-0,0042
"dire";35;-0,0156;0,9508;0,6187;0,4194;-1,1891;0,9448;-0,8888;-0,1911;-0,0105
"charlotte";11;-0,0049;-0,0789;0,8106;1,2217;-1,7052;-0,2612;-0,2793;-0,06;-0,0033
"jour";35;-0,0156;-0,2511;1,1655;1,6577;-1,5727;-0,8313;-0,8888;-0,1911;-0,0105
"événement";16;-0,0071;-0,1148;-0,2147;1,0864;-0,6101;-0,38;0,2164;-0,0873;-0,0048
"portrait";14;-0,0062;-0,1004;0,2669;-1,1515;0,6579;0,7723;-0,3555;0,7922;-0,0042
"effet";14;-0,0062;-0,1004;0,5351;-0,2195;-0,2338;0,2717;-0,3555;-0,0764;-0,0042
"docteur";11;-0,0049;-0,0789;-0,4803;0,4389;-0,2448;0,9463;-0,2793;-0,06;-0,0033
"000";14;-0,0062;0,6852;-0,6875;-0,4142;1,501;-0,3325;-0,3555;-0,0764;-0,0042
