"";"*typedemission_Collectiondémissionscomposites";"*typedemission_Collectiondémissionssimples";"*typedemission_Emissioncomposite";"*typedemission_Emissionsimple";"*typedemission_Emissionsimpleincluse";"*typedemission_Episodeoupartiedunprogramme";"*typedemission_Episodeoupartiedunprogrammeinclus";"*typedemission_Tranchehoraire";"*typedemission_Tranchehoraireincluse"
"royal";0;0;5;6;0;0;0;0;0
"musique";0;0;5;7;0;0;0;2;0
"revel";0;0;0;12;0;0;0;0;0
"super";0;0;2;6;83;0;28;0;0
"magazine";0;0;8;7;0;0;0;0;0
"maître";0;0;6;1;8;0;0;0;0
"lieu";0;1;0;4;6;5;0;1;0
"batman";0;0;0;0;79;0;26;0;0
"très";0;5;14;27;32;1;0;1;0
"mystérieux";1;0;0;19;3;4;2;0;0
"petit";0;6;17;36;186;4;0;0;0
"décider";0;1;2;14;8;9;1;0;0
"corbière";0;0;0;13;0;0;0;0;0
"dieu";0;0;4;15;0;0;0;0;0
"chrono";0;0;2;0;26;0;0;0;0
"mazaurette";0;0;41;0;0;0;0;0;0
"laure";0;0;1;1;0;52;0;0;0
"ville";0;0;3;12;12;1;0;1;1
"etats";0;0;4;5;5;0;0;0;0
"accompagner";0;1;1;6;3;4;0;0;0
"voiture";0;0;4;1;1;6;0;1;0
"boy";0;4;0;0;45;0;10;0;0
"père";0;0;2;13;3;15;0;0;0
"bon";0;2;6;10;2;0;0;0;0
"margot";0;0;11;0;1;0;0;0;0
"univers";0;2;3;11;63;0;19;0;0
"france";0;1;68;33;4;1;0;0;0
"équipe";2;0;7;10;3;2;4;0;0
"vous";0;0;7;49;0;0;0;0;0
"militaire";0;0;2;6;4;12;0;1;0
"sous";0;0;4;16;1;10;0;1;0
"agent";0;1;3;6;2;1;0;0;0
"mal";0;0;2;6;4;1;0;0;0
"avant";0;1;4;11;5;2;0;0;0
"nous";0;1;15;66;1;12;0;1;2
"spécialiste";0;0;32;5;3;0;0;0;0
"mais";1;10;14;62;167;22;35;1;0
"main";0;0;2;4;3;4;0;0;0
"nouveau";0;1;30;75;15;4;4;0;1
"ancien";0;1;14;115;24;2;7;0;0
"agir";0;4;7;10;5;4;1;0;0
"homme";0;2;25;51;8;12;0;1;0
"ministre";0;0;16;12;0;0;0;0;0
"chanson";0;0;7;11;2;0;0;0;0
"11";0;0;18;6;1;0;0;0;0
"10";0;0;15;3;1;1;0;0;0
"13";0;0;11;9;0;0;0;0;0
"12";0;0;20;10;0;4;0;0;0
"15";0;0;17;9;0;0;0;0;0
"14";0;0;14;1;0;0;0;0;0
"17";0;0;10;11;0;0;0;0;0
"16";0;0;11;8;0;0;0;0;0
"19";0;0;219;2;0;0;0;0;0
