"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18"
"spectacle";0,781;1,127;-0,829;0,72;52,798;-0,491;-0,637;-0,637;-0,604;-0,373;-0,334;-0,531;-0,678;0,279;-0,396;-0,787;-0,596;-0,327
"signe";-0,203;-0,172;-0,367;3,399;-0,196;3,248;-0,282;-0,282;2,411;4,682;-0,148;-0,235;-0,3;-0,289;-0,175;-0,348;-0,264;-0,145
"says";18,732;1,438;-0,736;-0,422;-0,394;-0,436;-0,565;-0,565;-0,536;-0,331;-0,297;-0,472;-0,602;24,061;-0,352;-0,699;-0,529;-0,29
"république";-0,459;-0,389;-0,829;-0,475;-0,443;-0,491;-0,637;-0,637;-0,604;-0,373;-0,334;0,539;-0,678;97,644;-0,396;-0,787;-0,596;-0,327
"roswell";-0,408;8,913;-0,736;-0,422;-0,394;0,895;-0,565;0,463;26,325;-0,331;-0,297;-0,472;-0,602;-0,58;-0,352;-0,699;-0,529;-0,29
"relation";1,034;1,438;-0,736;0,962;-0,394;-0,436;0,463;4,465;0,538;-0,331;-0,297;-0,472;0,382;-0,58;-0,352;-0,699;-0,529;-0,29
"puissant";-0,459;-0,389;-0,829;-0,475;-0,443;0,663;53,414;0,306;-0,604;-0,373;-0,334;0,539;-0,678;-0,653;-0,396;-0,787;-0,596;-0,327
"pucine";0,781;-0,389;0,088;-0,475;-0,443;-0,491;-0,637;-0,637;-0,604;-0,373;-0,334;-0,531;-0,678;73,022;-0,396;-0,787;-0,596;-0,327
"prouver";1,034;1,438;0,178;0,962;-0,394;0,895;0,463;-0,565;0,538;-0,331;-0,297;-0,472;0,382;-0,58;-0,352;-0,699;-0,529;-0,29
"procès";-0,254;-0,215;-0,459;-0,263;-0,246;-0,272;-0,352;-0,352;1,622;-0,207;3,956;-0,294;-0,375;8,871;-0,22;-0,436;-0,33;4,081
"place";-0,254;-0,215;-0,459;-0,263;-0,246;-0,272;1,479;-0,352;46,638;-0,207;-0,185;-0,294;-0,375;-0,362;-0,22;-0,436;-0,33;-0,181
"pilote";-0,357;-0,302;-0,644;1,288;-0,344;-0,381;-0,494;-0,494;51,08;-0,29;2,361;-0,412;-0,526;-0,507;-0,308;-0,611;-0,463;-0,254
"perdre";-0,408;-0,345;-0,736;0,962;1,112;-0,436;-0,565;0,463;13,432;-0,331;-0,297;0,747;0,382;-0,58;-0,352;-0,699;-0,529;-0,29
"pays";-0,254;3,215;0,883;-0,263;-0,246;-0,272;9,155;-0,352;-0,334;-0,207;-0,185;-0,294;-0,375;1,413;-0,22;-0,436;-0,33;-0,181
"participer";-0,357;-0,302;36,447;1,288;-0,344;-0,381;-0,494;-0,494;-0,469;-0,29;2,361;-0,412;-0,526;-0,507;-0,308;-0,611;-0,463;-0,254
"monter";-0,357;50,223;-0,644;-0,369;-0,344;1,208;-0,494;-0,494;-0,469;-0,29;-0,26;-0,412;5,081;-0,507;-0,308;-0,611;-0,463;-0,254
"militaire";-0,459;-0,389;2,262;-0,475;-0,443;-0,491;3,626;3,626;3,952;1,224;-0,334;-0,531;-0,678;-0,653;-0,396;-0,787;-0,596;-0,327
"maître";-0,305;-0,258;-0,551;-0,316;-0,295;-0,327;-0,423;-0,423;-0,402;-0,248;-0,222;-0,353;0,878;56,456;-0,264;-0,523;-0,396;-0,217
"manifestation";-0,203;4,442;-0,367;3,399;3,732;-0,217;-0,282;-0,282;-0,267;-0,165;-0,148;-0,235;-0,3;-0,289;4,329;-0,348;-0,264;-0,145
"mai";17,845;4,442;-0,367;3,399;-0,196;-0,217;-0,282;-0,282;-0,267;-0,165;-0,148;-0,235;-0,3;-0,289;-0,175;-0,348;-0,264;-0,145
"machine";-0,357;-0,302;-0,644;-0,369;-0,344;-0,381;0,685;0,685;0,777;-0,29;58,913;-0,412;-0,526;-0,507;-0,308;-0,611;-0,463;-0,254
"jacky";-0,459;-0,389;-0,829;-0,475;-0,443;-0,491;-0,637;-0,637;-0,604;-0,373;-0,334;-0,531;-0,678;-0,653;207,286;-0,787;-0,596;-0,327
"intérieur";2,52;-0,215;-0,459;-0,263;-0,246;-0,272;-0,352;-0,352;-0,334;-0,207;3,956;-0,294;-0,375;-0,362;38,951;-0,436;-0,33;-0,181
"intéresser";-0,408;-0,345;-0,736;-0,422;-0,394;-0,436;-0,565;-0,565;-0,536;1,549;50,616;0,747;4,05;-0,58;-0,352;-0,699;-0,529;-0,29
"intervention";-0,408;-0,345;8,893;-0,422;1,112;6,516;0,463;-0,565;-0,536;1,549;-0,297;-0,472;-0,602;-0,58;-0,352;-0,699;-0,529;-0,29
"international";-0,459;89,991;0,088;-0,475;-0,443;-0,491;-0,637;-0,637;-0,604;-0,373;-0,334;-0,531;-0,678;3,476;-0,396;-0,787;-0,596;-0,327
"intelligent";-0,408;-0,345;2,897;-0,422;-0,394;-0,436;-0,565;-0,565;26,325;9,395;-0,297;-0,472;-0,602;-0,58;-0,352;-0,699;-0,529;-0,29
"garder";-0,459;-0,389;2,262;-0,475;0,847;0,663;-0,637;3,626;-0,604;-0,373;1,508;4,829;-0,678;-0,653;-0,396;-0,787;-0,596;-0,327
"fait";-0,357;-0,302;3,738;8,278;-0,344;7,93;-0,494;-0,494;-0,469;-0,29;-0,26;-0,412;-0,526;-0,507;1,787;-0,611;-0,463;-0,254
"existence";1,034;-0,345;2,897;0,962;-0,394;-0,436;0,463;4,465;-0,536;-0,331;1,877;-0,472;-0,602;-0,58;-0,352;-0,699;-0,529;-0,29
"entraîneur";-0,459;-0,389;-0,829;-0,475;-0,443;-0,491;-0,637;-0,637;-0,604;-0,373;-0,334;-0,531;-0,678;-0,653;207,286;-0,787;-0,596;-0,327
"elisabeth";-0,357;-0,302;-0,644;1,288;-0,344;-0,381;-0,494;-0,494;-0,469;-0,29;-0,26;1,031;45,204;-0,507;-0,308;-0,611;-0,463;-0,254
"elbaz";-0,254;-0,215;54,887;-0,263;-0,246;-0,272;-0,352;-0,352;-0,334;-0,207;-0,185;-0,294;-0,375;-0,362;-0,22;-0,436;-0,33;-0,181
"droite";-0,305;-0,258;-0,551;-0,316;-0,295;-0,327;-0,423;-0,423;-0,402;-0,248;-0,222;69,805;0,878;-0,434;-0,264;-0,523;-0,396;-0,217
"disparaître";-0,459;-0,389;2,262;-0,475;-0,443;0,663;-0,637;10,597;3,952;1,224;-0,334;-0,531;-0,678;-0,653;-0,396;-0,787;-0,596;-0,327
"dessin";-0,408;-0,345;0,178;0,962;1,112;0,895;0,463;4,465;0,538;-0,331;-0,297;-0,472;-0,602;-0,58;-0,352;-0,699;-0,529;-0,29
"demander";-0,305;-0,258;-0,551;1,74;-0,295;-0,327;1,004;7,048;1,118;-0,248;-0,222;-0,353;0,878;-0,434;-0,264;-0,523;-0,396;-0,217
"communauté";1,034;-0,345;-0,736;-0,422;-0,394;0,895;-0,565;-0,565;-0,536;-0,331;-0,297;-0,472;-0,602;0,429;68,193;-0,699;-0,529;-0,29
"cercle";1,843;2,411;-0,551;-0,316;52,122;-0,327;-0,423;-0,423;-0,402;-0,248;-0,222;-0,353;-0,451;-0,434;-0,264;-0,523;-0,396;-0,217
"centre";-0,305;-0,258;0,539;1,74;-0,295;-0,327;-0,423;18,555;-0,402;-0,248;-0,222;1,429;-0,451;-0,434;-0,264;-0,523;-0,396;-0,217
"centrale";1,034;-0,345;-0,736;0,962;1,112;-0,436;24,779;-0,565;0,538;-0,331;-0,297;-0,472;-0,602;-0,58;-0,352;-0,699;-0,529;-0,29
"cadre";10,678;13,061;0,539;-0,316;-0,295;-0,327;-0,423;-0,423;-0,402;-0,248;-0,222;1,429;-0,451;-0,434;-0,264;-0,523;-0,396;-0,217
"bertrand";-0,305;-0,258;-0,551;-0,316;-0,295;-0,327;-0,423;-0,423;-0,402;-0,248;-0,222;-0,353;-0,451;83,691;-0,264;-0,523;-0,396;-0,217
"autrement";-0,459;-0,389;-0,829;0,72;-0,443;-0,491;-0,637;-0,637;-0,604;-0,373;-0,334;-0,531;-0,678;97,644;-0,396;-0,787;-0,596;-0,327
"attaque";-0,459;-0,389;15,357;-0,475;-0,443;-0,491;0,306;-0,637;-0,604;-0,373;-0,334;26,254;-0,678;-0,653;-0,396;-0,787;-0,596;-0,327
"appel";18,732;1,438;-0,736;34,482;-0,394;-0,436;-0,565;-0,565;-0,536;-0,331;-0,297;-0,472;-0,602;-0,58;-0,352;-0,699;-0,529;-0,29
"apparaître";-0,357;-0,302;-0,644;1,288;23,092;-0,381;0,685;-0,494;0,777;1,98;-0,26;-0,412;-0,526;-0,507;-0,308;-0,611;-0,463;-0,254
"analyse";-0,459;7,543;-0,829;-0,475;-0,443;14,783;10,597;-0,637;-0,604;-0,373;-0,334;-0,531;0,242;-0,653;-0,396;-0,787;-0,596;-0,327
"aide";-0,408;1,438;0,178;-0,422;-0,394;0,895;-0,565;4,465;4,837;-0,331;1,877;-0,472;-0,602;-0,58;-0,352;-0,699;-0,529;-0,29
"accompagner";1,374;-0,302;-0,644;21,34;-0,344;-0,381;-0,494;0,685;-0,469;1,98;-0,26;-0,412;0,584;-0,507;-0,308;-0,611;-0,463;-0,254
"événement";7,142;-0,345;0,178;-0,422;-0,394;6,516;-0,565;-0,565;0,538;1,549;-0,297;0,747;-0,602;-0,58;-0,352;-0,699;-0,529;-0,29
"étoile";1,034;1,438;0,178;0,962;-0,394;0,895;0,463;-0,565;0,538;-0,331;-0,297;-0,472;-0,602;0,429;-0,352;-0,699;-0,529;-0,29
"énergie";-0,357;-0,302;-0,644;1,288;-0,344;-0,381;71,933;-0,494;-0,469;-0,29;-0,26;-0,412;-0,526;-0,507;-0,308;-0,611;-0,463;-0,254
"yann";-0,408;8,913;-0,736;6,819;1,112;-0,436;-0,565;-0,565;-0,536;-0,331;1,877;-0,472;-0,602;4,292;-0,352;-0,699;-0,529;-0,29
"vrai";-0,408;1,438;-0,736;6,819;-0,394;0,895;0,463;-0,565;0,538;-0,331;-0,297;0,747;0,382;-0,58;-0,352;-0,699;-0,529;-0,29
"vol";-0,305;-0,258;4,89;1,74;-0,295;-0,327;-0,423;1,004;7,555;-0,248;-0,222;-0,353;-0,451;-0,434;-0,264;-0,523;-0,396;-0,217
"user";-0,254;-0,215;-0,459;-0,263;2,655;-0,272;-0,352;-0,352;-0,334;-0,207;-0,185;2,01;21,821;-0,362;-0,22;-0,436;-0,33;-0,181
"ukraine";8,65;-0,302;0,32;-0,369;-0,344;-0,381;-0,494;-0,494;-0,469;-0,29;-0,26;-0,412;-0,526;28,553;-0,308;-0,611;-0,463;-0,254
"témoigner";-0,357;-0,302;-0,644;1,288;1,466;-0,381;-0,494;-0,494;-0,469;-0,29;58,913;-0,412;0,584;-0,507;-0,308;-0,611;-0,463;-0,254
"télévision";7,142;-0,345;-0,736;-0,422;1,112;-0,436;-0,565;-0,565;-0,536;-0,331;-0,297;5,836;0,382;4,292;-0,352;-0,699;-0,529;-0,29
"tuer";-0,305;-0,258;4,89;-0,316;-0,295;-0,327;-0,423;7,048;-0,402;2,567;-0,222;-0,353;-0,451;-0,434;-0,264;-0,523;-0,396;3,123
"transmettre";1,374;-0,302;0,32;1,288;-0,344;1,208;0,685;-0,494;0,777;-0,29;-0,26;-0,412;0,584;-0,507;-0,308;-0,611;-0,463;-0,254
"traducteur";-0,408;-0,345;0,178;-0,422;-0,394;-0,436;-0,565;-0,565;-0,536;-0,331;-0,297;-0,472;-0,602;83,818;-0,352;-0,699;-0,529;-0,29
"thevenot";1,034;-0,345;0,178;83,411;-0,394;-0,436;-0,565;-0,565;-0,536;-0,331;-0,297;-0,472;-0,602;-0,58;-0,352;-0,699;-0,529;-0,29
"technique";-0,203;-0,172;-0,367;3,399;-0,196;3,248;-0,282;-0,282;-0,267;-0,165;5,378;-0,235;2,018;-0,289;-0,175;-0,348;-0,264;-0,145
"surveillance";5,326;-0,129;-0,275;-0,158;-0,147;-0,163;-0,211;-0,211;3,769;-0,124;-0,111;-0,176;-0,225;3,398;-0,131;-0,261;-0,198;-0,108
"soirée";-0,305;2,411;0,539;-0,316;-0,295;-0,327;-0,423;-0,423;1,118;-0,248;-0,222;1,429;0,878;0,952;-0,264;-0,523;-0,396;-0,217
"réponse";-0,408;1,438;-0,736;-0,422;7,488;-0,436;-0,565;0,463;-0,536;1,549;-0,297;-0,472;0,382;4,292;-0,352;-0,699;-0,529;-0,29
"romain";-0,305;-0,258;-0,551;-0,316;-0,295;-0,327;-0,423;-0,423;-0,402;-0,248;-0,222;-0,353;-0,451;-0,434;137,861;-0,523;-0,396;-0,217
"robert";-0,152;-0,129;2,439;5,108;-0,147;-0,163;-0,211;-0,211;-0,2;6,838;-0,111;-0,176;-0,225;-0,217;-0,131;-0,261;-0,198;-0,108
"publier";-0,408;-0,345;0,178;0,962;7,488;-0,436;-0,565;-0,565;-0,536;23,867;-0,297;-0,472;0,382;-0,58;-0,352;-0,699;-0,529;-0,29
"présence";-0,408;-0,345;8,893;-0,422;-0,394;6,516;-0,565;-0,565;-0,536;-0,331;10,79;-0,472;0,382;-0,58;-0,352;-0,699;-0,529;-0,29
"problème";-0,305;-0,258;-0,551;115,022;-0,295;-0,327;-0,423;-0,423;-0,402;-0,248;-0,222;-0,353;-0,451;-0,434;-0,264;-0,523;-0,396;-0,217
"physique";-0,408;-0,345;-0,736;17,992;1,112;-0,436;-0,565;-0,565;-0,536;-0,331;1,877;-0,472;11,604;-0,58;-0,352;-0,699;-0,529;-0,29
"peuple";-0,357;-0,302;-0,644;-0,369;1,466;7,93;15,125;0,685;-0,469;-0,29;-0,26;-0,412;-0,526;-0,507;-0,308;-0,611;-0,463;-0,254
"personnalité";-0,254;-0,215;-0,459;-0,263;14,096;2,275;-0,352;-0,352;-0,334;-0,207;-0,185;-0,294;1,319;-0,362;3,126;-0,436;-0,33;-0,181
"partager";-0,408;-0,345;18,166;-0,422;-0,394;-0,436;0,463;-0,565;-0,536;-0,331;-0,297;-0,472;4,05;0,429;-0,352;-0,699;-0,529;-0,29
"oeil";-0,408;-0,345;46,543;-0,422;-0,394;-0,436;-0,565;-0,565;-0,536;1,549;-0,297;0,747;-0,602;-0,58;-0,352;-0,699;-0,529;-0,29
"nicolas";-0,305;-0,258;-0,551;-0,316;1,953;-0,327;-0,423;-0,423;-0,402;-0,248;3,02;22,803;-0,451;0,952;-0,264;-0,523;-0,396;-0,217
"mouvement";-0,305;2,411;-0,551;-0,316;1,953;-0,327;-0,423;1,004;-0,402;-0,248;-0,222;1,429;0,878;0,952;-0,264;-0,523;-0,396;-0,217
"mission";-0,408;-0,345;8,893;-0,422;-0,394;-0,436;-0,565;0,463;0,538;-0,331;1,877;5,836;-0,602;-0,58;-0,352;-0,699;-0,529;-0,29
"lisa";-0,357;-0,302;-0,644;-0,369;-0,344;-0,381;-0,494;0,685;-0,469;-0,29;-0,26;-0,412;67,455;-0,507;-0,308;-0,611;-0,463;-0,254
"lancer";35,803;-0,345;-0,736;-0,422;-0,394;-0,436;-0,565;-0,565;-0,536;-0,331;1,877;-0,472;11,604;-0,58;-0,352;-0,699;-0,529;-0,29
"isabelle";-0,254;-0,215;-0,459;-0,263;-0,246;-0,272;-0,352;-0,352;-0,334;-0,207;-0,185;-0,294;67,14;-0,362;-0,22;-0,436;-0,33;-0,181
"invasion";-0,408;-0,345;0,178;-0,422;-0,394;-0,436;-0,565;41,092;0,538;-0,331;-0,297;-0,472;-0,602;0,429;-0,352;-0,699;-0,529;-0,29
"géo";-0,408;-0,345;-0,736;-0,422;-0,394;-0,436;-0,565;-0,565;-0,536;-0,331;-0,297;-0,472;-0,602;111,766;-0,352;-0,699;-0,529;-0,29
"génération";-0,357;1,849;0,32;1,288;-0,344;-0,381;-0,494;-0,494;-0,469;-0,29;2,361;7,147;-0,526;0,643;-0,308;-0,611;-0,463;-0,254
"filmer";1,843;2,411;-0,551;-0,316;11,144;-0,327;-0,423;-0,423;1,118;-0,248;-0,222;1,429;-0,451;-0,434;-0,264;-0,523;-0,396;-0,217
"festival";-0,305;-0,258;-0,551;1,74;-0,295;-0,327;-0,423;-0,423;-0,402;-0,248;-0,222;1,429;0,878;18,017;-0,264;-0,523;-0,396;-0,217
"essayer";17,845;-0,172;1,444;3,399;-0,196;-0,217;-0,282;-0,282;-0,267;-0,165;-0,148;-0,235;-0,3;-0,289;-0,175;-0,348;-0,264;-0,145
"endroit";-0,357;-0,302;-0,644;-0,369;-0,344;1,208;-0,494;71,933;-0,469;-0,29;-0,26;-0,412;-0,526;-0,507;-0,308;-0,611;-0,463;-0,254
"encel";-0,408;-0,345;-0,736;-0,422;-0,394;-0,436;-0,565;-0,565;-0,536;-0,331;-0,297;-0,472;-0,602;111,766;-0,352;-0,699;-0,529;-0,29
"désormais";-0,254;3,215;-0,459;-0,263;14,096;-0,272;-0,352;1,479;-0,334;-0,207;-0,185;2,01;-0,375;-0,362;-0,22;-0,436;-0,33;-0,181
"début";-0,357;-0,302;-0,644;-0,369;70,564;-0,381;-0,494;-0,494;0,777;-0,29;-0,26;-0,412;0,584;-0,507;-0,308;-0,611;-0,463;-0,254
"docteur";17,845;-0,172;-0,367;-0,21;-0,196;-0,217;-0,282;-0,282;2,411;-0,165;5,378;-0,235;-0,3;-0,289;-0,175;-0,348;-0,264;-0,145
"didier";41,984;-0,302;-0,644;-0,369;-0,344;-0,381;-0,494;-0,494;-0,469;-0,29;-0,26;7,147;-0,526;-0,507;1,787;-0,611;-0,463;-0,254
"connaissance";-0,408;-0,345;-0,736;-0,422;-0,394;6,516;24,779;4,465;-0,536;-0,331;-0,297;-0,472;-0,602;-0,58;-0,352;-0,699;-0,529;-0,29
"confiance";-0,408;-0,345;-0,736;-0,422;-0,394;-0,436;-0,565;0,463;-0,536;-0,331;-0,297;5,836;38,374;-0,58;-0,352;-0,699;-0,529;-0,29
"concours";1,034;-0,345;-0,736;-0,422;-0,394;-0,436;-0,565;0,463;-0,536;-0,331;-0,297;15,738;11,604;-0,58;-0,352;-0,699;-0,529;-0,29
"compagnie";-0,408;-0,345;-0,736;-0,422;7,488;-0,436;-0,565;-0,565;-0,536;-0,331;27,036;-0,472;11,604;-0,58;-0,352;-0,699;-0,529;-0,29
"collectif";-0,305;-0,258;-0,551;-0,316;-0,295;-0,327;-0,423;-0,423;-0,402;-0,248;-0,222;-0,353;-0,451;-0,434;137,861;-0,523;-0,396;-0,217
"civilisation";-0,305;-0,258;0,539;-0,316;-0,295;46,822;1,004;-0,423;-0,402;-0,248;-0,222;-0,353;-0,451;-0,434;-0,264;-0,523;-0,396;-0,217
"choisir";-0,408;-0,345;-0,736;-0,422;-0,394;-0,436;-0,565;-0,565;-0,536;-0,331;1,877;49,98;0,382;-0,58;1,385;-0,699;-0,529;-0,29
"chiffre";-0,203;4,442;-0,367;-0,21;-0,196;16,568;2,225;-0,282;-0,267;-0,165;-0,148;-0,235;-0,3;-0,289;-0,175;-0,348;-0,264;-0,145
"changer";-0,357;-0,302;0,32;-0,369;1,466;1,208;5,562;5,562;-0,469;-0,29;-0,26;-0,412;-0,526;-0,507;-0,308;-0,611;-0,463;-0,254
"cerveau";-0,357;-0,302;0,32;-0,369;-0,344;1,208;15,125;0,685;-0,469;1,98;-0,26;-0,412;-0,526;-0,507;-0,308;-0,611;-0,463;-0,254
"avion";-0,408;1,438;-0,736;-0,422;-0,394;-0,436;0,463;0,463;0,538;-0,331;1,877;-0,472;-0,602;12,17;-0,352;-0,699;-0,529;-0,29
"astrobiologiste";-0,408;-0,345;-0,736;-0,422;-0,394;-0,436;-0,565;-0,565;-0,536;-0,331;-0,297;-0,472;-0,602;111,766;-0,352;-0,699;-0,529;-0,29
"artiste";-0,408;1,438;2,897;-0,422;1,112;-0,436;-0,565;-0,565;-0,536;-0,331;-0,297;5,836;0,382;0,429;-0,352;-0,699;-0,529;-0,29
"armée";-0,408;-0,345;0,178;-0,422;-0,394;-0,436;-0,565;-0,565;43,515;-0,331;-0,297;-0,472;0,382;0,429;-0,352;-0,699;-0,529;-0,29
"apprendre";-0,357;-0,302;0,32;-0,369;-0,344;1,208;-0,494;0,685;-0,469;-0,29;2,361;7,147;0,584;-0,507;-0,308;-0,611;-0,463;-0,254
"amour";-0,408;-0,345;-0,736;6,819;7,488;-0,436;-0,565;-0,565;-0,536;-0,331;-0,297;-0,472;23,045;-0,58;-0,352;-0,699;-0,529;-0,29
"air";-0,408;-0,345;0,178;-0,422;-0,394;-0,436;0,463;-0,565;0,538;1,549;50,616;-0,472;-0,602;-0,58;-0,352;-0,699;-0,529;-0,29
"agent";-0,254;3,215;-0,459;-0,263;-0,246;-0,272;1,479;-0,352;-0,334;-0,207;3,956;2,01;1,319;-0,362;-0,22;-0,436;-0,33;-0,181
"agence";1,374;1,849;10,899;-0,369;1,466;-0,381;-0,494;-0,494;-0,469;-0,29;-0,26;-0,412;0,584;-0,507;-0,308;-0,611;-0,463;-0,254
"actu";3,56;4,442;-0,367;-0,21;18,548;-0,217;-0,282;-0,282;-0,267;-0,165;-0,148;-0,235;-0,3;-0,289;-0,175;-0,348;-0,264;-0,145
"abolition";-0,305;-0,258;-0,551;-0,316;-0,295;-0,327;-0,423;-0,423;-0,402;-0,248;-0,222;-0,353;-0,451;-0,434;137,861;-0,523;-0,396;-0,217
"écraser";-0,357;-0,302;-0,644;-0,369;-0,344;-0,381;-0,494;-0,494;105,673;-0,29;-0,26;-0,412;-0,526;-0,507;-0,308;-0,611;-0,463;-0,254
"zeribi";-0,357;-0,302;-0,644;-0,369;-0,344;-0,381;-0,494;-0,494;-0,469;-0,29;-0,26;-0,412;-0,526;-0,507;160,966;-0,611;-0,463;-0,254
"youn";-0,305;-0,258;-0,551;-0,316;-0,295;-0,327;-0,423;-0,423;-0,402;-0,248;-0,222;-0,353;-0,451;83,691;-0,264;-0,523;-0,396;-0,217
"vérité";-0,357;-0,302;-0,644;1,288;-0,344;-0,381;5,562;15,125;0,777;-0,29;-0,26;-0,412;-0,526;-0,507;-0,308;-0,611;-0,463;-0,254
"voiture";-0,254;-0,215;0,883;-0,263;2,655;-0,272;-0,352;-0,352;9,769;-0,207;3,956;-0,294;-0,375;-0,362;-0,22;-0,436;-0,33;-0,181
"visiter";-0,357;-0,302;-0,644;-0,369;-0,344;93,757;-0,494;-0,494;0,777;-0,29;-0,26;-0,412;-0,526;-0,507;-0,308;-0,611;-0,463;-0,254
"téléspectateur";8,65;-0,302;-0,644;21,34;-0,344;-0,381;-0,494;-0,494;-0,469;1,98;-0,26;-0,412;-0,526;-0,507;1,787;-0,611;-0,463;-0,254
"troublant";-0,357;-0,302;-0,644;-0,369;1,466;-0,381;29,375;0,685;-0,469;1,98;-0,26;-0,412;-0,526;-0,507;-0,308;-0,611;-0,463;-0,254
"train";-0,305;-0,258;-0,551;-0,316;-0,295;-0,327;1,004;7,048;19,712;-0,248;-0,222;-0,353;-0,451;-0,434;-0,264;-0,523;-0,396;-0,217
"texte";-0,357;-0,302;-0,644;1,288;-0,344;7,93;5,562;-0,494;-0,469;-0,29;2,361;1,031;-0,526;-0,507;-0,308;-0,611;-0,463;-0,254
"style";2,52;-0,215;-0,459;-0,263;-0,246;-0,272;-0,352;-0,352;-0,334;-0,207;-0,185;-0,294;41,379;-0,362;-0,22;-0,436;-0,33;-0,181
"stratégique";-0,357;-0,302;-0,644;-0,369;-0,344;-0,381;-0,494;5,562;-0,469;-0,29;-0,26;-0,412;-0,526;47,024;-0,308;-0,611;-0,463;-0,254
"société";-0,357;1,849;0,32;1,288;-0,344;-0,381;0,685;-0,494;0,777;-0,29;-0,26;7,147;-0,526;-0,507;-0,308;-0,611;-0,463;-0,254
"situer";-0,203;-0,172;-0,367;-0,21;18,548;-0,217;2,225;-0,282;-0,267;-0,165;-0,148;2,909;-0,3;-0,289;-0,175;-0,348;-0,264;-0,145
"situation";-0,305;-0,258;-0,551;-0,316;1,953;-0,327;-0,423;35,525;-0,402;-0,248;-0,222;-0,353;-0,451;0,952;-0,264;-0,523;-0,396;-0,217
"seuil";-0,357;-0,302;-0,644;-0,369;-0,344;-0,381;-0,494;-0,494;-0,469;-0,29;-0,26;-0,412;-0,526;97,717;-0,308;-0,611;-0,463;-0,254
"science_fiction";-0,357;-0,302;10,899;-0,369;-0,344;-0,381;-0,494;0,685;-0,469;-0,29;-0,26;18,758;-0,526;-0,507;-0,308;-0,611;-0,463;-0,254
"salle";1,843;2,411;-0,551;-0,316;1,953;-0,327;-0,423;-0,423;-0,402;-0,248;-0,222;-0,353;6,48;0,952;-0,264;-0,523;-0,396;-0,217
"réussir";-0,254;-0,215;-0,459;-0,263;14,096;-0,272;-0,352;1,479;-0,334;-0,207;-0,185;11,408;-0,375;-0,362;-0,22;-0,436;-0,33;-0,181
"robbie";-0,203;-0,172;-0,367;17,186;-0,196;-0,217;-0,282;2,225;2,411;-0,165;-0,148;-0,235;-0,3;-0,289;-0,175;-0,348;-0,264;-0,145
"représenter";-0,305;-0,258;4,89;-0,316;-0,295;9,832;-0,423;-0,423;1,118;2,567;-0,222;-0,353;-0,451;-0,434;-0,264;-0,523;-0,396;-0,217
"reprise";8,65;1,849;0,32;-0,369;-0,344;-0,381;-0,494;5,562;-0,469;-0,29;2,361;-0,412;-0,526;-0,507;-0,308;-0,611;-0,463;-0,254
"rentrer";-0,305;-0,258;-0,551;-0,316;-0,295;1,644;-0,423;-0,423;1,118;-0,248;3,02;1,429;6,48;-0,434;-0,264;-0,523;-0,396;-0,217
"refuser";-0,305;-0,258;-0,551;1,74;1,953;-0,327;-0,423;1,004;1,118;-0,248;-0,222;-0,353;6,48;-0,434;-0,264;-0,523;-0,396;-0,217
"rapporter";-0,305;-0,258;0,539;-0,316;11,144;-0,327;1,004;1,004;-0,402;2,567;-0,222;-0,353;-0,451;-0,434;-0,264;-0,523;-0,396;-0,217
"raison";1,374;-0,302;0,32;-0,369;-0,344;1,208;-0,494;15,125;0,777;-0,29;-0,26;-0,412;-0,526;-0,507;-0,308;-0,611;-0,463;-0,254
"prétendre";-0,305;-0,258;-0,551;-0,316;-0,295;-0,327;7,048;1,004;19,712;-0,248;-0,222;-0,353;-0,451;-0,434;-0,264;-0,523;-0,396;-0,217
"planétologie";-0,357;-0,302;-0,644;-0,369;-0,344;-0,381;-0,494;-0,494;-0,469;-0,29;-0,26;-0,412;-0,526;97,717;-0,308;-0,611;-0,463;-0,254
"peur";-0,305;-0,258;0,539;-0,316;-0,295;-0,327;-0,423;-0,423;19,712;2,567;-0,222;-0,353;-0,451;-0,434;2,338;-0,523;-0,396;-0,217
"personnage";-0,254;3,215;0,883;-0,263;14,096;-0,272;-0,352;-0,352;1,622;-0,207;-0,185;-0,294;-0,375;-0,362;-0,22;-0,436;-0,33;-0,181
"particulier";-0,357;-0,302;-0,644;1,288;9,048;-0,381;-0,494;0,685;-0,469;-0,29;-0,26;18,758;-0,526;-0,507;-0,308;-0,611;-0,463;-0,254
"parisien";-0,152;-0,129;-0,275;-0,158;-0,147;-0,163;-0,211;-0,211;-0,2;-0,124;-0,111;4,446;3,232;3,398;-0,131;-0,261;-0,198;-0,108
"paraître";5,326;-0,129;-0,275;-0,158;-0,147;-0,163;3,516;-0,211;3,769;-0,124;-0,111;-0,176;-0,225;-0,217;-0,131;-0,261;-0,198;-0,108
"ordre";3,56;-0,172;-0,367;-0,21;-0,196;-0,217;-0,282;-0,282;2,411;-0,165;5,378;-0,235;-0,3;-0,289;4,329;-0,348;-0,264;-0,145
"off";-0,357;-0,302;3,738;1,288;43,597;-0,381;-0,494;-0,494;-0,469;-0,29;-0,26;-0,412;-0,526;-0,507;-0,308;-0,611;-0,463;-0,254
