"";"X.genregroupe_Animation";"X.genregroupe_Documentaire";"X.genregroupe_Feuilleton";"X.genregroupe_Longmétrage";"X.genregroupe_Magazine";"X.genregroupe_Série";"X.genregroupe_Tranchehoraire"
"mélenchon";-3,198;-2,0208;-0,183;-0,0834;7,0895;-0,348;-0,0223
"bernard";-2,9517;-1,8651;-0,1689;-0,077;6,5433;-0,3212;-0,0206
"beau";-1,4749;0,216;-0,0844;1,0716;0,5741;0,5101;-0,0103
"sembler";-0,6859;0,9724;0,6416;-0,0513;-3,0642;5,3375;-0,0137
"cacher";-2,3361;1,5932;2,4865;-0,061;-2,3827;3,6914;-0,0163
"annonce";-1,3519;-0,8543;-0,0774;-0,0353;2,9966;-0,1471;-0,0094
"agnès";-1,229;-0,7766;-0,0703;-0,0321;1,7359;-0,1337;1,7085
"moyen";-1,229;-0,7766;-0,0703;-0,0321;2,724;-0,1337;-0,0086
"provoquer";39,9179;-6,5473;-0,5926;-0,2703;-20,1882;-0,5654;-0,0723
"système";-2,3361;7,3137;-0,1337;-0,061;-1,8087;-0,2542;-0,0163
"membre";-2,9875;-2,5657;-0,2323;-0,1059;7,5261;-0,4418;-0,0283
"parole";-3,3212;-1,2993;0,4506;-0,0867;4,8948;-0,3614;-0,0232
"philippe";-1,4749;-0,932;-0,0844;-0,0385;3,2692;-0,1605;-0,0103
"mois";-1,4749;0,216;-0,0844;-0,0385;1,4782;-0,1605;-0,0103
"naître";9,5305;-2,6436;-0,2393;-0,1092;-3,4325;-0,4552;-0,0292
"enquête";-1,7911;0,5438;0,5232;-0,0706;-0,342;2,4048;-0,0189
"nouvelle";-0,2244;-0,4598;0,7216;-0,0417;0,2221;0,4816;-0,0112
"mettre";-0,9872;-0,4015;0,4775;-0,0802;0,4882;1,4114;-0,0215
"construire";-1,0722;3,7934;-0,1055;-0,0481;-1,0161;-0,2007;-0,0129
"émission";-5,5405;-2,5074;-0,3169;-0,1445;8,2676;0,4002;-0,0387
"coeur";0,3941;-0,4598;-0,0914;-0,0417;0,2221;0,4816;-0,0112
"claude";-1,4722;-2,41;-0,2182;-0,0995;4,9234;-0,415;-0,0266
"présidentiel";-1,7209;-1,0875;-0,0985;-0,0449;3,8146;-0,1873;-0,012
"âge";-1,5979;2,6702;0,7216;-0,0417;-1,0623;0,4816;-0,0112
"manquer";11,2103;-2,41;-0,2182;-0,0995;-4,6963;-0,415;-0,0266
"bande";-1,8439;-0,5697;-0,1055;0,9793;2,113;-0,2007;-0,0129
"humanité";-2,9517;13,461;-0,1689;-0,077;-4,4344;-0,3212;-0,0206
"gouvernement";-1,3745;5,5998;-0,1266;-0,0577;-1,5989;-0,2408;-0,0155
