"";"*chaine_6ter";"*chaine_ARTE";"*chaine_C8";"*chaine_Canal";"*chaine_CanalFamily";"*chaine_D17";"*chaine_Direct8";"*chaine_France2";"*chaine_France3";"*chaine_France4";"*chaine_France5";"*chaine_FranceO";"*chaine_Gulli";"*chaine_LaCinquième";"*chaine_M6";"*chaine_MonteCarloTMC";"*chaine_NRJ12";"*chaine_NT1";"*chaine_Numéro23";"*chaine_RMCDécouverteHD24";"*chaine_RMCStory";"*chaine_TF1";"*chaine_TFX";"*chaine_W9"
"signe";0;0;0;1;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0
"visuel";0;2;25;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
"boucherie";0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"recette";0;0;0;0;0;0;4;8;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
"comprendre";2;0;14;10;0;0;0;5;0;2;1;0;1;0;1;3;0;1;1;0;0;8;0;0
"jeu";0;1;0;1;0;0;3;3;6;0;0;0;1;1;2;0;1;1;0;0;0;3;0;0
"diffusion";0;0;0;0;0;0;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0;0
"dernier";0;3;1;13;0;0;4;4;0;1;0;0;1;0;4;4;0;1;0;0;7;7;0;1
"leçon";0;0;0;2;0;0;0;0;0;1;1;0;0;0;0;8;0;2;0;0;0;0;0;0
"grandir";0;0;0;1;0;0;0;4;0;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"plan";0;1;0;6;0;0;0;1;0;1;2;0;1;0;1;2;0;0;0;0;3;8;0;0
"ahmed";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0
"secte";0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"notamment";0;3;0;0;0;0;1;1;0;0;3;0;0;0;0;2;0;0;0;1;0;0;0;0
"europe";0;4;4;2;0;0;1;1;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0
"incident";0;0;0;0;0;0;0;0;0;80;0;0;0;0;1;0;0;0;0;0;3;3;0;0
"recherche";0;21;0;14;0;0;3;1;3;1;0;0;1;0;3;1;0;0;0;2;1;8;0;0
"garçon";0;0;0;1;0;0;2;0;4;0;3;0;0;0;4;0;0;0;0;0;0;8;1;0
"environnement";0;0;0;1;0;0;0;2;2;0;2;0;0;0;0;0;24;0;0;0;0;0;0;0
"robin";0;0;0;0;0;0;0;0;0;160;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"vol";0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;8;0;0
"belhousse";0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"consacrer";0;0;0;5;0;0;5;11;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"témoin";0;0;13;0;0;0;0;2;0;0;0;0;0;0;0;1;2;0;0;1;5;2;0;0
"mystère";0;0;0;2;0;0;0;1;2;1;0;0;0;0;1;0;0;0;4;1;1;4;0;0
"kelly";0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"hôpital";0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;6;0;0
"retrouver";1;1;0;10;0;0;1;9;3;3;1;0;3;0;6;0;1;2;0;2;1;21;0;0
"couple";0;0;0;16;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0
"victime";0;0;0;2;0;0;1;8;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0
"personnalité";0;0;1;0;0;0;2;6;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"alexandre";0;0;15;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
"frère";0;3;0;0;0;0;1;4;1;0;2;0;0;0;0;5;0;0;0;0;0;1;0;0
"directeur";0;8;0;1;0;0;1;1;0;0;6;0;0;0;2;3;0;0;0;0;0;0;0;0
"millénaire";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;42;0;0;2;0;0;0;0
"bientôt";0;0;0;3;0;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0
"meilleur";0;0;6;1;0;0;1;2;0;1;0;0;1;0;0;1;0;0;0;0;0;1;1;0
"menace";1;2;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;3;0;0
"coda";0;0;0;15;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"tirailleur";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0
"astronaute";0;1;0;0;1;0;0;0;1;0;5;0;0;0;0;1;0;0;4;8;20;0;0;0
"découverte";0;0;2;9;1;0;0;1;1;0;1;0;0;0;0;2;1;0;0;0;9;7;0;0
"millier";0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;10;0;0;0
"continuer";1;0;0;1;0;0;1;3;0;0;1;0;1;0;0;2;0;0;0;0;7;1;0;0
"garder";0;1;0;0;0;0;1;0;3;0;0;0;0;0;0;1;0;0;1;0;1;2;0;0
"apparence";0;0;0;2;0;0;1;0;0;3;0;0;0;0;2;0;0;0;0;0;0;3;0;0
"marc";0;2;0;2;0;0;0;3;0;0;1;0;0;0;0;6;0;0;0;0;0;1;0;0
"laëtitia";0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"animal";0;1;4;2;0;0;0;4;1;0;2;0;1;0;0;1;0;1;0;0;4;2;0;0
"pyramide";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13;0;0;0
"robot";0;0;0;3;0;0;0;1;1;1;1;0;1;0;1;0;26;0;0;0;0;2;0;0
"temps";1;0;0;3;0;0;0;3;1;1;2;0;1;0;0;2;0;1;0;2;6;4;0;0
"oeil";0;1;0;1;0;0;0;1;1;0;2;0;0;0;2;0;0;0;0;0;1;4;0;0
"david";0;2;0;13;0;0;1;9;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
"façon";0;1;0;3;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;0;0
