"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"mass";"chi.distance";"inertie"
"*duree_00063300";-5,04138918926675;2,49736859219832;0,0449825094749619;-0,094672471197435;0,125034139969151;-0,895702903209942;0,443707124056158;0,00799203608723021;-0,0168204445485265;0,0222147979388626;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5,01931752204389;NA
"*chaine_NT1";0,344695194631321;0,192483732811624;-0,412008730502257;-0,715299538406878;0,2130787438926;0,366889741564059;0,204877550039757;-0,438537522456001;-0,761356894074737;0,22679865138;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,666756445090092;NA
"*notice_71520906";-1,40188228432725;-3,47816200246002;0,472327109479209;-0,0667699588446359;0,0278155946614958;-0,370831870575043;-0,920058221688886;0,12494197800319;-0,0176622737967312;0,00735789952893918;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,32019457320632;NA
"*audiencehomme_64";0,299280830935767;0,152045053021766;-0,737369606501901;1,72502310145836;0,0839086292099857;0,156884183100081;0,0797026119686487;-0,386532034133876;0,904263862322492;0,0439852318890462;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,26834366485346;NA
"*duree_00095400";-1,40188228432725;-3,47816200246002;0,472327109479209;-0,0667699588446359;0,0278155946614958;-0,370831870575043;-0,920058221688886;0,12494197800319;-0,0176622737967312;0,00735789952893918;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,32019457320632;NA
"*duree_00242800";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"*partdemarche_179";0,345641013704143;0,192091087365895;-0,409699742489474;-0,624608169382783;0,424082991489473;0,36551682532011;0,203137132581058;-0,433259200360411;-0,660525765432516;0,448469546655623;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,660159076336732;NA
"*notice_4514919001";0,299280830935767;0,152045053021766;-0,737369606501901;1,72502310145836;0,0839086292099857;0,156884183100081;0,0797026119686487;-0,386532034133876;0,904263862322492;0,0439852318890462;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,26834366485346;NA
"*duree_00583500";0,299280830935767;0,152045053021766;-0,737369606501901;1,72502310145836;0,0839086292099857;0,156884183100081;0,0797026119686487;-0,386532034133876;0,904263862322492;0,0439852318890462;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,26834366485346;NA
"*notice_1163341012";0,299280830935767;0,152045053021766;-0,737369606501901;1,72502310145836;0,0839086292099857;0,156884183100081;0,0797026119686487;-0,386532034133876;0,904263862322492;0,0439852318890462;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,26834366485346;NA
"*chaine_C8";0,389556489652311;0,217850874812584;-0,143350996287091;-1,45511823692565;2,80012607480084;0,12210759542648;0,0682859795473103;-0,044933779627776;-0,456110971558437;0,877707523728041;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,83724437525388;NA
"*duree_00525600";0,299280830935767;0,152045053021766;-0,737369606501901;1,72502310145836;0,0839086292099857;0,156884183100081;0,0797026119686487;-0,386532034133876;0,904263862322492;0,0439852318890462;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,26834366485346;NA
