"";"X.mediamatgroupe_Cultureconnaissance";"X.mediamatgroupe_Fiction";"X.mediamatgroupe_Information";"X.mediamatgroupe_Jeunesse";"X.mediamatgroupe_Variétésdivertissement"
"passer";2,6366;-2,2276;-0,0618;-0,0299;-0,3937
"professeur";-0,4529;0,5616;-0,0254;-0,0123;-0,1619
"maison";0,2783;0,2358;-0,0242;-0,0117;-0,1542
"arriver";-0,9791;1,135;-0,0194;-0,0094;-0,1233
"tourner";0,227;-0,415;-0,0121;-0,0058;0,789
"vincent";1,1938;-1,0669;-0,0145;-0,007;-0,0925
"matin";2,0187;-1,8546;-0,0145;-0,007;-0,0925
"raconter";2,998;-3,4992;-0,0363;-0,0176;0,384
"année";5,1903;-5,4863;-0,0618;-0,0299;0,2247
"plateau";2,5939;-5,726;1,0086;-0,0217;1,5715
"réveiller";-19,8143;21,1165;-0,0533;-0,0258;-0,3396
"anne";3,7029;-3,4019;-0,0266;-0,0129;-0,1696
"question";3,1397;-4,7959;-0,0375;-0,0181;0,9888
"long";1,3324;-2,0092;-0,0157;-0,0076;0,6861
"présentation";2,8606;-2,628;-0,0206;-0,0099;-0,131
"nasa";1,4729;-1,3195;-0,0169;-0,0082;-0,1079
"yves";2,05;-2,7828;-0,0218;-0,0105;0,5631
"théâtre";2,0187;-1,8546;-0,0145;-0,007;-0,0925
"chose";-0,9818;1,1117;-0,0133;-0,0064;-0,0848
"olivier";0,9133;-2,7828;-0,0218;-0,0105;2,4446
"claviere";2,5238;-2,3186;-0,0181;-0,0088;-0,1156
"figure";-9,0583;9,8;-0,0363;-0,0176;-0,2314
"patron";0,9078;-0,7903;-0,0169;-0,0082;-0,1079
"fédération";1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"nuit";0,5826;-0,5024;-0,0133;-0,0064;-0,0848
"permettre";1,6406;-1,4451;-0,0242;-0,0117;-0,1542
"tsoukalos";3,029;-2,7828;-0,0218;-0,0105;-0,1387
"polémiste";2,3554;-2,1639;-0,0169;-0,0082;-0,1079
"galley";1,682;-1,5453;-0,0121;-0,0058;-0,0771
"pomart";2,5238;-2,3186;-0,0181;-0,0088;-0,1156
"xavier";-0,3904;0,4579;-0,0121;-0,0058;-0,0771
"rendre";-1,1895;1,193;-0,0521;-0,0252;0,2723
"partie";2,3456;-2,1117;-0,0242;-0,0117;-0,1542
"partir";1,3287;-1,1299;-0,0315;-0,0152;-0,2005
"marier";0,3523;-0,5246;-0,0181;-0,0088;0,6313
"joe";2,5238;-2,3186;-0,0181;-0,0088;-0,1156
"disciple";-11,3717;12,0733;-0,0278;-0,0135;-0,1773
"préparer";0,227;-0,823;-0,0121;1,8736;0,789
"mère";-0,7248;0,827;-0,0121;-0,0058;-0,0771
"américain";3,2822;-3,7829;-0,0387;1,3745;-0,2468
"conquérant";-12,8582;13,6516;-0,0315;-0,0152;-0,2005
"val";2,6922;-2,4733;-0,0194;-0,0094;-0,1233
"humain";0,2596;0,3256;-0,046;-0,0223;-0,2932
"courant";0,6869;-1,8546;-0,0145;-0,007;1,743
"décrire";1,1938;-1,8546;-0,0145;-0,007;0,7172
"fantôme";1,8504;-1,6999;-0,0133;-0,0064;-0,0848
