"";"";"";"";"super";""
"86";"agathe";"-0.86831089326185";"0.785218433106819";"0.635040936831089";"222"
"87";"jimmy";"-0.86831089326185";"0.785218433106819";"0.635040936831089";"223"
"88";"auproux";"-0.86831089326185";"0.785218433106819";"0.635040936831089";"224"
"89";"philippe";"-0.86831089326185";"0.785218433106819";"0.635040936831089";"225"
"90";"matin";"-0.86831089326185";"0.785218433106819";"0.635040936831089";"226"
"91";"théâtre";"-0.86831089326185";"0.785218433106819";"0.635040936831089";"227"
"92";"objet";"-0.547484510548692";"0.709273958503248";"0.629018851184606";"229"
"93";"semaine";"-0.605816580132903";"0.723082044794806";"0.626200002584124";"230"
"94";"mythe";"-0.86831089326185";"0.785218433106819";"0.622356118128922";"237"
"95";"notamment";"-0.86831089326185";"0.785218433106819";"0.622356118128922";"238"
"96";"observation";"-0.86831089326185";"0.785218433106819";"0.622356118128922";"239"
"97";"hapsatou";"-0.86831089326185";"0.785218433106819";"0.622356118128922";"241"
"98";"structure";"-0.86831089326185";"0.785218433106819";"0.622356118128922";"242"
"99";"représentant";"-0.86831089326185";"0.785218433106819";"0.622356118128922";"243"
"100";"mohammed";"-0.86831089326185";"0.785218433106819";"0.622356118128922";"244"
"101";"cabrol";"-0.86831089326185";"0.785218433106819";"0.622356118128922";"245"
"102";"handicapé";"-0.86831089326185";"0.785218433106819";"0.622356118128922";"246"
"103";"margot";"-0.86831089326185";"0.785218433106819";"0.622356118128922";"247"
"104";"rugby";"-0.86831089326185";"0.785218433106819";"0.622356118128922";"248"
"105";"ex_membre";"-0.86831089326185";"0.785218433106819";"0.622356118128922";"249"
"106";"avenir";"-0.86831089326185";"0.785218433106819";"0.622356118128922";"250"
"107";"annonce";"-0.86831089326185";"0.785218433106819";"0.622356118128922";"251"
"108";"entrepreneur";"-0.86831089326185";"0.785218433106819";"0.622356118128922";"252"
"109";"boucher";"-0.86831089326185";"0.785218433106819";"0.622356118128922";"253"
"110";"cnrs";"-0.86831089326185";"0.785218433106819";"0.622356118128922";"254"
"111";"fédération";"-0.86831089326185";"0.785218433106819";"0.622356118128922";"255"
"112";"fantôme";"-0.86831089326185";"0.785218433106819";"0.622356118128922";"256"
"113";"examiner";"-0.687846052985699";"0.74249966614231";"0.615444663137902";"265"
"114";"comportement";"-0.687846052985699";"0.74249966614231";"0.615444663137902";"266"
"115";"découverte";"-0.52181839993164";"0.703198400534962";"0.610741557451537";"272"
"116";"chaîne";"-0.86831089326185";"0.78521843310682";"0.609663762398412";"275"
"117";"boucherie";"-0.86831089326185";"0.78521843310682";"0.609663762398412";"276"
"118";"astrophysicien";"-0.86831089326185";"0.78521843310682";"0.609663762398412";"277"
"119";"secte";"-0.86831089326185";"0.78521843310682";"0.609663762398412";"278"
"120";"nucléaire";"-0.86831089326185";"0.78521843310682";"0.609663762398412";"279"
"121";"tirailleur";"-0.86831089326185";"0.78521843310682";"0.609663762398412";"280"
"122";"déage";"-0.86831089326185";"0.78521843310682";"0.609663762398412";"281"
"123";"message";"-0.86831089326185";"0.78521843310682";"0.609663762398412";"282"
