"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18"
"scully";0,696;0,011;0,6;0,691;0,701;0,687;0,646;0,646;0,654;0,725;0;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"schi";0,652;0,678;0,003;0,065;0,053;0,641;0,596;0,596;0,605;0,684;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"sceptique";0,652;0,678;0,545;0,647;0,658;0,641;0,596;0,136;0,121;0,03;0,02;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"saveur";0,652;0,678;0,545;0;0;0,641;0,596;0,596;0,605;0,684;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"sauvage";0,696;0,72;0;0,691;0,701;0,687;0,646;0,646;0,052;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"samedi";0,021;0,72;0,118;0,691;0,701;0,687;0,646;0,646;0,654;0,725;0,739;0,035;0,635;0,642;0,717;0,609;0,657;0,742
"rôle";0,652;0,678;0,545;0,647;0,658;0,641;0,596;0,596;0,605;0,684;0,7;0;0,584;0,591;0,675;0,555;0,608;0,704
"révélation";0,652;0,678;0,545;0,647;0,658;0,641;0,596;0;0,121;0,684;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"réunir";0,059;0,678;0,545;0,647;0,658;0,641;0,596;0,596;0,605;0,03;0,7;0,628;0,584;0,001;0,675;0,555;0,608;0,704
"récupérer";0,652;0,678;0,545;0,647;0,658;0,641;0,596;0,596;0,121;0,684;0,02;0;0,584;0,591;0,675;0,555;0,608;0,704
"récemment";0,652;0,678;0,545;0,647;0,658;0,072;0,596;0,596;0,605;0,03;0,7;0,088;0,155;0,591;0,675;0,555;0,608;0,704
"russie";0,696;0,72;0,118;0,691;0,701;0,027;0,646;0,646;0,052;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"royal";0,696;0,011;0,6;0,691;0,701;0,687;0,061;0,646;0,654;0,725;0,739;0,675;0,635;0,065;0,717;0,609;0,657;0,742
"rouch";0,652;0,678;0;0,647;0,658;0,641;0,596;0,596;0,605;0,03;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"roman";0,652;0,678;0,003;0,647;0,658;0,641;0,596;0;0,605;0,684;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"ressentir";0,652;0,678;0,545;0,065;0,053;0,641;0,596;0,136;0,605;0,684;0,7;0,628;0,155;0,591;0,675;0,555;0,608;0,704
"ressembler";0,652;0,678;0,545;0,647;0,658;0,072;0,596;0,596;0,605;0,03;0,02;0,088;0,584;0,591;0,675;0,555;0,608;0,704
"religion";0,652;0,678;0,23;0,647;0,658;0,641;0;0,596;0,605;0,03;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"rejoindre";0,696;0,72;0,6;0,691;0,701;0,687;0,646;0,646;0,654;0,009;0,005;0,035;0,635;0,642;0,717;0,609;0,657;0,742
"regarder";0,652;0,678;0,545;0,647;0,658;0,641;0,596;0,596;0,605;0,03;0,7;0;0,584;0,591;0,675;0,555;0,608;0,704
"regard";0,652;0,678;0,23;0,065;0,658;0,641;0,596;0,136;0,121;0,684;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"radar";0,652;0,678;0,23;0,647;0,658;0,641;0;0,596;0,605;0,684;0,02;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"quartier";0,696;0,011;0,6;0,691;0,701;0,687;0,646;0,061;0,654;0,009;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"prêt";0,652;0,035;0,545;0,647;0,658;0,641;0,136;0,596;0;0,684;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"proximité";0,652;0,678;0,23;0,647;0,053;0,641;0,596;0,596;0;0,684;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"projeter";0,696;0,72;0,6;0,691;0,701;0,687;0,646;0,061;0,654;0,009;0,739;0,035;0,635;0,642;0,717;0,609;0,657;0,742
"produit";0,652;0,678;0,545;0,647;0,658;0,641;0,596;0,596;0,605;0;0,02;0,628;0,155;0,591;0,675;0,555;0,608;0,704
"producteur";0,652;0,678;0,545;0,065;0;0,641;0,596;0,596;0,605;0,684;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"prochain";0,696;0,72;0,6;0,691;0,018;0,687;0,061;0,061;0,654;0,725;0,739;0,675;0,635;0,642;0,717;0,609;0,657;0,742
"printemps";0,021;0,011;0,6;0,691;0,701;0,687;0,646;0,646;0,654;0,725;0,739;0,035;0,635;0,642;0,717;0,609;0,657;0,742
"poste";0,021;0,72;0,118;0,691;0,701;0,687;0,646;0,646;0,654;0,725;0,739;0,675;0,072;0,642;0,717;0,609;0,657;0,742
"population";0,652;0,678;0,545;0,647;0,658;0,641;0,596;0,596;0;0,684;0,7;0,628;0,584;0,144;0,675;0,555;0,608;0,704
"planet";0,652;0,678;0,23;0,647;0,658;0,641;0,596;0,596;0;0,684;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,019
"placer";0,652;0,678;0,545;0,647;0,658;0,641;0,596;0,596;0;0,684;0,7;0,088;0,584;0,591;0,675;0,555;0,608;0,704
"physicien";0,652;0,678;0,545;0,065;0,658;0,641;0;0,596;0,605;0,684;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"passage";0,652;0,678;0,23;0,647;0,658;0,641;0,596;0,596;0,605;0,684;0;0,628;0,584;0,591;0,675;0,555;0,608;0,704
