"";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_CanalFamily";"X.chaine_D17";"X.chaine_Direct8";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_FranceO";"X.chaine_Gulli";"X.chaine_LaCinquième";"X.chaine_M6";"X.chaine_MonteCarloTMC";"X.chaine_NRJ12";"X.chaine_NT1";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1";"X.chaine_TFX";"X.chaine_W9"
"convaincre";-0,0236;-0,222;-0,3024;0,3101;-0,0078;-0,0054;-0,306;-0,5553;0,4181;-1,7706;-0,2494;-0,005;-0,0895;-0,0043;3,4437;-0,4311;0,4874;-0,0527;-0,03;-0,0976;-0,4949;3,2459;-0,0094;-0,0053
"si";-0,0843;-0,3366;-1,0803;0,4562;-0,0277;-0,0192;-0,539;0,3516;-0,3071;-5,0725;1,3038;-0,0178;0,283;-0,0154;-0,2015;-0,8701;-0,611;0,4537;1,5977;1,3427;3,4258;1,2648;-0,0336;-0,0188
"sa";2,0671;-0,2629;-4,4346;2,6954;-0,1138;-0,0787;-1,2222;4,012;-0,7569;-21,2107;0,6901;-0,0731;0,2381;-0,0632;1,3845;-0,4582;0,2972;1,4773;-0,4393;-0,4387;-5,9928;16,2141;-0,1378;0,7878
"se";1,3256;-1,8663;-5,2874;5,3569;0,4443;-0,1337;-1,1184;-0,4325;1,5418;-9,5348;-0,3336;-0,1242;1,4743;-0,1075;0,9224;-2,021;17,5673;-0,3759;-0,7466;-0,4578;-0,4248;1,5907;0,3802;0,5834
"extraterrestre";-0,23;-8,1871;-11,5172;0,7838;0,2702;-0,231;-10,4607;-12,0735;2,0852;6,1934;-7,2534;1,0614;1,4854;-0,1856;0,8243;-9,9183;3,3933;0,8215;3,0612;14,6349;15,0323;-6,7969;0,6254;-0,2269
"internet";-0,0455;0,5983;-0,5832;-0,2053;-0,015;-0,0103;1,3845;-0,2389;-0,4029;-3,4152;0,5287;-0,0096;0,484;-0,0083;0,8144;0,5519;-0,3299;0,6804;-0,0578;-0,1883;-0,4374;1,6609;-0,0181;-0,0102
"million";-0,0371;-0,3489;-0,4752;-1,166;-0,0122;-0,0084;1,0419;-0,3807;0,7716;-2,7827;0,2259;-0,0078;-0,1407;-0,0068;-0,2499;0,3467;-0,2688;-0,0828;-0,0471;0,5264;7,802;-0,8346;-0,0148;-0,0083
"city";-0,2802;-2,6353;-3,5898;-7,4547;-0,0922;-0,0637;-3,6328;-6,5924;-2,4798;92,1645;-2,9604;-0,0591;-1,0629;-0,0512;-1,888;-5,1176;-2,0305;-0,6258;-0,3556;-1,1587;-5,8759;-4,1883;-0,1115;-0,0626
"2";-0,0776;-0,2964;-0,2127;-2,4386;-0,0255;-0,0176;23,1706;0,6783;-0,6865;-5,8196;0,9487;-0,0164;-0,2943;-0,0142;-0,5227;1,0355;-0,5621;-0,1732;-0,0984;-0,3208;-1,6267;-1,7455;-0,0309;-0,0173
"plein";-0,1704;-1,6026;-2,183;-1,697;-0,056;-0,0387;-2,2092;-1,2712;-0,4778;30,1221;-1,0813;-0,036;-0,2483;-0,0311;-1,1481;-2,1861;-1,2348;0,6636;-0,2163;-0,7047;-3,5732;-1,1672;-0,0678;-0,038
