"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"intelligence";-1,185;-1,249;20,265;-0,929;-0,251;-0,565
"incroyable";-2,381;-0,561;6,543;1,856;-0,503;-1,135
"fantôme";-2,081;-0,346;-1,4;20,732;-0,44;-0,992
"face";1,619;0,092;0,739;-1,632;-0,44;-0,992
"extra_terrestre";0,135;8,886;-1,4;-1,632;-0,44;-0,992
"expérience";4,742;0,092;-0,026;-1,632;-0,44;-0,992
"enlever";-2,081;-2,193;35,59;-1,632;-0,44;-0,992
"black";-2,081;8,886;-0,026;-0,093;-0,44;-0,992
"bande_annonce";-0,484;11,746;-1,602;-1,867;0,643;-1,135
"archéologie";15,902;-2,193;-1,4;-0,093;-0,44;-0,992
"voyage";-2,081;-0,346;15,392;-0,093;-0,44;-0,992
"user";-1,483;8,811;0,043;-1,163;-0,314;-0,707
"tiktok";-0,888;9,688;-0,597;-0,696;-0,188;-0,423
"this";-0,888;9,688;-0,597;-0,696;-0,188;-0,423
"spazio";-2,081;-2,193;-1,4;-1,632;-0,44;50,213
"social";4,742;1,431;-1,4;-1,632;-0,44;-0,992
"réponse";0,191;0,154;0,614;-0,696;-0,188;-0,423
"retour";0,383;0,309;0;-1,397;1,275;-0,849
"odh";-2,081;22,711;-1,4;-1,632;-0,44;-0,992
"octobre";-1,185;12,932;-0,797;-0,929;-0,251;-0,565
"obama";-2,081;-2,193;-1,4;-1,632;-0,44;50,213
"numéro";3,299;0,154;-0,597;-0,696;-0,188;-0,423
"nufologie";-2,081;22,711;-1,4;-1,632;-0,44;-0,992
"more";-1,483;16,184;-0,997;-1,163;-0,314;-0,707
"ly";-1,483;16,184;-0,997;-1,163;-0,314;-0,707
"lune";-2,081;-0,346;24,448;-1,632;-0,44;-0,992
"list";-1,782;19,444;-1,198;-1,397;-0,377;-0,849
"juin";-1,483;16,184;-0,997;-1,163;-0,314;-0,707
"inganno";-2,081;-2,193;-1,4;-1,632;-0,44;50,213
"info";0,849;0,738;-0,997;0,005;-0,314;-0,707
"illuminati";-2,081;-2,193;-1,4;-1,632;-0,44;50,213
"el";-1,185;1,536;-0,797;2,568;-0,251;-0,565
"earth";-0,888;0,154;0,614;-0,696;-0,188;1,23
"direct";-1,782;19,444;-1,198;-1,397;-0,377;-0,849
"devenir";15,902;-0,346;-1,4;-1,632;-0,44;-0,992
"dello";-2,081;-2,193;-1,4;-1,632;-0,44;50,213
"della";-1,782;-0,166;-1,198;-1,397;-0,377;28,198
"curieux";-2,081;-0,346;15,392;-0,093;-0,44;-0,992
"conquista";-2,081;-2,193;-1,4;-1,632;-0,44;50,213
"bit";-1,483;16,184;-0,997;-1,163;-0,314;-0,707
"base";-1,782;11,876;0;-1,397;-0,377;-0,849
"bande";-0,289;15,002;-1,4;-1,632;-0,44;-0,992
"américain";-0,289;-0,346;-0,026;6,81;-0,44;-0,992
"alex";-2,081;-2,193;-1,4;-1,632;-0,44;50,213
"actu";0,849;3,662;-0,997;-1,163;-0,314;-0,707
"00z";-2,081;22,711;-1,4;-1,632;-0,44;-0,992
"uc3fuhiuhkxvrs8pqghegz4a";0,383;6,165;-1,198;-1,397;-0,377;-0,849
"tomber";-0,128;0,309;1,233;-0,018;-0,377;-0,849
"super";-0,128;-0,166;-1,198;-1,397;40,433;-0,849
"santé";20,495;-1,878;-1,198;-1,397;-0,377;-0,849
"revenir";17,059;-1,563;-0,997;-1,163;-0,314;-0,707
"programme";-1,483;8,811;0,043;-1,163;-0,314;-0,707
"poser";20,495;-1,878;-1,198;-1,397;-0,377;-0,849
"playlist";-1,185;12,932;-0,797;-0,929;-0,251;-0,565
"opération";-0,888;9,688;-0,597;-0,696;-0,188;-0,423
"nsur";-1,185;12,932;-0,797;-0,929;-0,251;-0,565
"npour";0,191;3,072;-0,597;-0,696;-0,188;-0,423
"nmusique";-1,483;16,184;-0,997;-1,163;-0,314;-0,707
"nitw";-1,782;19,444;-1,198;-1,397;-0,377;-0,849
"nel";-1,782;-0,166;-1,198;-1,397;-0,377;28,198
"ndocu";-1,782;19,444;-1,198;-1,397;-0,377;-0,849
"militaire";-1,483;3,662;-0,997;1,485;-0,314;-0,707
"michel";12,604;-1,878;0;-1,397;-0,377;-0,849
"invasion";-1,782;19,444;-1,198;-1,397;-0,377;-0,849
"inconnu";-0,022;0,738;2,003;-1,163;-0,314;-0,707
"ichon";1,695;0,004;-0,797;0,102;-0,251;-0,565
"humain";0,383;-1,878;10,99;-1,397;-0,377;-0,849
"hack";-0,888;9,688;-0,597;-0,696;-0,188;-0,423
"esprit";0,191;0,154;-0,597;0,418;-0,188;-0,423
"episodes";-1,782;-1,878;-1,198;-1,397;96,923;-0,849
"envoyer";-1,483;-0,038;14,662;-1,163;-0,314;-0,707
"enquête";0,849;-0,038;0,043;0,005;-0,314;-0,707
"enlèvement";-1,782;-1,878;19,514;-0,018;-0,377;-0,849
"développement";20,495;-1,878;-1,198;-1,397;-0,377;-0,849
"dessin";-1,185;12,932;-0,797;-0,929;-0,251;-0,565
"crash";-0,888;0,154;5,475;-0,696;-0,188;-0,423
"complémentaire";20,495;-1,878;-1,198;-1,397;-0,377;-0,849
"circle";-1,782;11,876;-1,198;-1,397;-0,377;0,105
"chi";-1,185;-1,249;-0,797;-0,929;-0,251;28,591
"changer";3,964;-0,038;0,043;-1,163;-0,314;-0,707
"cerchi";-1,782;-1,878;-1,198;-1,397;-0,377;42,988
"cas";-1,483;-1,563;0,043;12,359;-0,314;-0,707
"bien_être";20,495;-1,878;-1,198;-1,397;-0,377;-0,849
"arte";-1,782;19,444;-1,198;-1,397;-0,377;-0,849
"antenne";20,495;-1,878;-1,198;-1,397;-0,377;-0,849
"animation";-1,185;12,932;-0,797;-0,929;-0,251;-0,565
"affaire";-1,185;-1,249;-0,797;17,382;-0,251;-0,565
"évoquer";-0,888;-0,936;5,475;0,418;-0,188;-0,423
"âme";-1,185;12,932;-0,797;-0,929;-0,251;-0,565
"vrai";-1,483;-1,563;25,362;-1,163;-0,314;-0,707
"voyager";-0,888;9,688;-0,597;-0,696;-0,188;-0,423
"volant";-1,185;-1,249;9,942;0,102;-0,251;-0,565
"utiliser";-1,483;-0,038;14,662;-1,163;-0,314;-0,707
"truth";-0,888;3,072;0,614;-0,696;-0,188;-0,423
"tracks";-0,888;3,072;-0,597;0,418;-0,188;-0,423
"teaser";-1,185;1,536;3,256;-0,929;-0,251;-0,565
"suricate";-1,185;12,932;-0,797;-0,929;-0,251;-0,565
"suivre";3,964;0,738;-0,997;-1,163;-0,314;-0,707
"studio";-0,022;3,662;-0,997;-1,163;-0,314;0,274
"seconde";-1,185;1,536;3,256;-0,929;-0,251;-0,565
"scientifique";-0,022;-1,563;0,043;1,485;1,818;-0,707
"roblox";-1,185;-1,249;20,265;-0,929;-0,251;-0,565
"rendlesham";-0,888;9,688;-0,597;-0,696;-0,188;-0,423
"quotidiennement";17,059;-1,563;-0,997;-1,163;-0,314;-0,707
"qumran";-0,888;-0,936;-0,597;-0,696;-0,188;21,418
"proposer";17,059;-1,563;-0,997;-1,163;-0,314;-0,707
"projet";-1,483;-1,563;14,662;0,005;-0,314;-0,707
"pieces";-0,888;9,688;-0,597;-0,696;-0,188;-0,423
"patrice";17,059;-1,563;-0,997;-1,163;-0,314;-0,707
"one";-1,185;12,932;-0,797;-0,929;-0,251;-0,565
"occulter";-1,483;-1,563;-0,997;-1,163;-0,314;35,781
"nterre";-1,483;16,184;-0,997;-1,163;-0,314;-0,707
"nsurnaturel";-1,483;16,184;-0,997;-1,163;-0,314;-0,707
"no";-0,888;3,072;-0,597;0,418;-0,188;-0,423
"nle";-1,483;8,811;0,043;-1,163;-0,314;-0,707
"nla";-1,483;8,811;-0,997;-1,163;-0,314;0,274
"nfacebook";-1,483;16,184;-0,997;-1,163;-0,314;-0,707
"ncropcircle";-1,483;16,184;-0,997;-1,163;-0,314;-0,707
"nazismo";-1,483;-1,563;-0,997;-1,163;-0,314;35,781
"namateur";-1,483;16,184;-0,997;-1,163;-0,314;-0,707
"moteur";-0,888;3,072;0,614;-0,696;-0,188;-0,423
"moon";-1,483;8,811;0,043;-1,163;-0,314;-0,707
"metz";-1,483;16,184;-0,997;-1,163;-0,314;-0,707
"message";-0,022;-1,563;14,662;-1,163;-0,314;-0,707
"mer";0,849;-0,038;2,003;-1,163;-0,314;-0,707
"los";-1,185;12,932;-0,797;-0,929;-0,251;-0,565
"invasione";-1,483;-1,563;-0,997;-1,163;-0,314;35,781
"interstellaire";0,011;5,845;-0,797;-0,929;-0,251;-0,565
"image";-1,483;-1,563;25,362;-1,163;-0,314;-0,707
"grano";-1,483;-1,563;-0,997;-1,163;-0,314;35,781
"goo";-1,185;12,932;-0,797;-0,929;-0,251;-0,565
"gl";-1,185;12,932;-0,797;-0,929;-0,251;-0,565
"gesù";-0,888;-0,936;-0,597;-0,696;-0,188;21,418
"gde";-1,185;12,932;-0,797;-0,929;-0,251;-0,565
"freedom";-1,483;-1,563;-0,997;-1,163;-0,314;35,781
"for";-0,888;9,688;-0,597;-0,696;-0,188;-0,423
"fonder";10,211;-0,936;-0,597;-0,696;-0,188;-0,423
"fin";-0,888;0,154;-0,597;-0,696;-0,188;8,228
"fascism";-1,483;-1,563;-0,997;-1,163;-0,314;35,781
"exemple";-0,022;0,738;0,043;0,005;-0,314;-0,707
"edition";-1,185;12,932;-0,797;-0,929;-0,251;-0,565
"décrypter";13,631;-1,249;-0,797;-0,929;-0,251;-0,565
"dossier";-0,022;-0,038;0,043;1,485;-0,314;-0,707
"dernier";-1,483;0,738;0,043;1,485;-0,314;-0,707
"cultur";-1,185;1,536;-0,797;2,568;-0,251;-0,565
"content";0,191;3,072;-0,597;-0,696;-0,188;-0,423
"consommation";17,059;-1,563;-0,997;-1,163;-0,314;-0,707
"compte_rendu";-1,185;12,932;-0,797;-0,929;-0,251;-0,565
"chose";-1,483;-0,038;0,043;5,603;-0,314;-0,707
"blanc";0,191;0,154;-0,597;0,418;-0,188;-0,423
"artiste";-1,185;-1,249;-0,797;17,382;-0,251;-0,565
"art";3,964;-0,038;-0,997;0,005;-0,314;-0,707
"année";1,695;0,004;0,208;-0,929;-0,251;-0,565
"and";-1,483;16,184;-0,997;-1,163;-0,314;-0,707
"analyser";13,631;-1,249;-0,797;-0,929;-0,251;-0,565
"aliena";-1,483;-1,563;-0,997;-1,163;-0,314;35,781
"abonné";13,631;-1,249;-0,797;-0,929;-0,251;-0,565
"10z";-1,483;16,184;-0,997;-1,163;-0,314;-0,707
"état";0,191;0,154;0,614;-0,696;-0,188;-0,423
"ép";-1,185;-1,249;0,208;8,328;-0,251;-0,565
"vérifier";-1,185;-1,249;3,256;2,568;-0,251;-0,565
"visiter";0,011;1,536;0,208;-0,929;-0,251;-0,565
"ville";-1,185;12,932;-0,797;-0,929;-0,251;-0,565
"videos";-0,888;9,688;-0,597;-0,696;-0,188;-0,423
"ufologiques";-1,185;12,932;-0,797;-0,929;-0,251;-0,565
"thanatosdu14";-1,185;12,932;-0,797;-0,929;-0,251;-0,565
