no	de
145547.022	école (L'Ecole de L'amour. Paris)
145547.022	travaux pratiques
145547.022	cinéma
145547.022	pornographie
145547.022	film (X)
145547.022	carrière professionnelle
145547.022	acteur
145547.022	réalisateur
145547.022	débat
145547.022	temps-durée (relation sexuelle)
145547.022	magazine de presse (érotique)
145547.022	rédacteur
145547.022	Handson Diane
145547.022	sexualité
145547.022	comportement humain
145547.022	comportement psychologique
145547.022	fantasme (Gynarchie)
89716.019.009	recherche scientifique
89716.019.009	planète
89716.019.009	extraterrestre
170041.024	économie
170041.024	service minimum
170041.024	pain
170041.024	tradition
170041.024	ovni
170041.024	sport (yamakasi)
170041.024	femme (battue)
170041.024	violence
175320.014.013	espace
175320.014.013	navette spatiale (Discovery)
175320.014.013	ovni
165315.022	Nouvelle Guinée
165315.022	ethnographie
165315.022	ethnie (Wodani)
165315.022	conte
165315.022	photographie
186286.038.007	Alpes Maritimes
186286.038.007	Grande Bretagne
186286.038.007	surnaturel
186286.038.007	ovni
186286.038.007	champ
186286.038.007	dessin (crop circle)
96846.025	cinéma
96846.025	film (Destricted)
96846.025	pornographie
96846.025	livre (Vallauris Plage)
96846.025	bande dessinée (Le journal du lutin)
96846.025	disque (Enemies like this)
96846.025	Cannes
96846.025	festival (international du film
96846.025	59eme)
96846.025	prix-récompense (Palme d'or)
283725.058	mode (canine)
283725.058	film (Green Lantern)
283725.058	concours insolite
283725.058	comédie musicale (Jurassic Parc)
287645.044	média
287645.044	actualité
287645.044	audience-média
287645.044	émission télévisée
287645.044	documentaire (Ovnis vérités et illusions)
287645.044	ovni
287645.044	livre (Le visage de Dieu)
287645.044	polémique
287645.044	reportage
287645.044	sécurité
287645.044	aéroport
287645.044	Internet
287645.044	nudité
287645.044	vedette de spectacle
287645.044	émission radiophonique
287645.044	Mélenchon Jean Luc
287645.044	Demorand Nicolas
283511.142	Etats Unis
283511.142	Nasa
283511.142	recherche scientifique
283511.142	bactérie
283511.142	élément naturel (arsenic)
283316.021.015	Etats Unis
283316.021.015	Nasa
283316.021.015	sciences de l'univers
283316.021.015	recherche scientifique
283316.021.015	espace
283316.021.015	vie
283316.021.015	bactérie
283316.021.015	extraterrestre
318977.007	vie politique
318977.007	PS-France
318977.007	élection présidentielle (2012)
318977.007	élection primaire
318977.007	programme politique
318977.007	candidat
318977.007	Aubry Martine
318977.007	Royal Ségolène
318977.007	Hollande François
318977.007	Montebourg Arnaud
318977.007	Valls Manuel
318977.007	Baylet Jean Michel
318735.007	procès
318735.007	scandale financier
318735.007	scandale politique
318735.007	banque (Clearstream)
318735.007	relaxe
318735.007	Villepin Dominique de
318735.007	Libye
318735.007	relations diplomatiques (France Libye)
318735.007	voyage
318735.007	Sarkozy Nicolas
318735.007	vie politique
318735.007	PS-France
318735.007	élection présidentielle (2012)
318735.007	élection primaire
318735.007	programme politique
318735.007	candidat
318735.007	Strauss Kahn Dominique
318735.007	Aubry Martine
318735.007	Royal Ségolène
324657.023.013	surnaturel (phénomènes paranornaux)
324657.023.013	espace
324657.023.013	ovni
324657.023.013	extraterrestre
327803.031.002	bande dessinée (Trois secondes)
327803.031.002	dessin
324657.023.014	surnaturel (phénomènes paranornaux)
324657.023.014	espace
324657.023.014	ovni
324657.023.014	extraterrestre
324657.023.014	témoignage
325219.009	vie politique
325219.009	élection présidentielle (2012)
325219.009	candidat
325219.009	Chevènement Jean Pierre
325219.009	MRC-France
325219.009	politique économique
325219.009	crise économique
325219.009	plan économique (plan de rigueur)
325219.009	finance
325219.009	dette
325219.009	déficit
325219.009	fiscalité
325219.009	fortune
325219.009	taxe
325219.009	TVA
325219.009	impôt (barême)
325219.009	retraite
325219.009	âge (age légal)
325219.009	Fillon François
310765.010.004	mode
310765.010.004	présentation de mode
310765.010.004	Armani Giorgio
343139.013	émission télévisée (Koh Lanta
343139.013	Koh Lanta le retour des héros)
343139.013	télé réalité
343139.013	comportement humain
343139.013	notoriété (célébrité)
343139.013	famille
343139.013	rapports humains
343139.013	relation parent enfant
343139.013	Sébastien Patrick
340881.014	média
340881.014	actualité
340881.014	enquête d'investigation
340881.014	politique
340881.014	financement
340881.014	campagne électorale
340881.014	surnaturel (paranormal)
340881.014	envoûtement
340881.014	exorcisme
340881.014	télé réalité
340881.014	émission télévisée (Top chef)
340881.014	cuisinier
341133.016	extraterrestre
341133.016	ovni
341133.016	armée de l'air
341133.017	univers
341133.017	extraterrestre
341021.014	média
341021.014	actualité
341021.014	documentaire
341021.014	Russie
341021.014	politique intérieure
341021.014	chef d'Etat
341021.014	Poutine Vladimir
341021.014	émission télévisée (A la recherche du nouveau Claude François)
341021.014	François Claude
341021.014	concours-spectacle
341021.014	relation parent enfant
341021.014	homosexualité
347591.007	vie politique
347591.007	élection présidentielle (2012)
347591.007	campagne électorale
347591.007	programme politique
347591.007	candidat
347591.007	sondage d'opinion
347591.007	Front de gauche-France
347591.007	PS-France
347591.007	Mélenchon Jean Luc
347591.007	Hollande François
341133.014	média
341133.014	actualité
341133.014	humour
341133.014	humoriste
341133.014	émission télévisée
341133.014	obésité
355142.018.017	Missouri-état
355142.018.017	ovni
355142.018.017	astronomie
355142.018.017	témoignage
353477.064	coiffeur (bar à chignon)
353477.064	coiffure (chignon)
353477.064	cinéma
353477.064	film (Men in black 3)
343315.014	fiction
343315.014	série télévisée (Clem)
343315.014	émission télévisée (The Voice)
343315.014	chanson
332211.009.009	Afrique
332211.009.009	musique
332211.009.009	chanson
332211.009.009	chanteur
340976.007	vie politique
340976.007	élection présidentielle (2012)
340976.007	UMP-France
340976.007	candidat
340976.007	Internet
340976.007	réseau social en ligne
340976.007	sondage d'opinion
340976.007	Sarkozy Nicolas
374281.025	cinéma
374281.025	film
374281.025	DVD ROM
374281.025	bande annonce
57811.030	musique
57811.030	disque compact (Satellite
57811.030	8ème album)
57811.030	chanteur
57811.030	Hallyday David
82441.024	enseignement
82441.024	orientation professionnelle
82441.024	réforme (mesure gouvernementale)
82441.024	apprentissage
82441.024	mineur-âge
82441.024	Villepin Dominique de
82441.024	téléphone
82441.024	téléphone portable
82441.024	concurrence
82441.024	amende
82441.024	système solaire
82441.024	planète
82441.024	extraterrestre
79149.015	cinéma
79149.015	film (Combien tu m'aimes ?
79149.015	Match Point)
79149.015	littérature
