"";"*baseid_SA";"*baseid_TV"
"européen";13;14
"ami";8;31
"certains";16;7
"faire";157;157
"héros";2;11
"vilain";1;9
"vendre";8;6
"intervention";5;5
"loi";6;5
"chambre";3;8
"giorgio";19;0
"vers";4;11
"aile";81;0
"médecin";12;7
"iran";0;18
"aimer";5;11
"vidéo";17;5
"réalité";15;20
"visage";9;6
"posséder";30;6
"suivant";2;10
"fr";3;7
"invasion";2;12
"documentaire";5;6
"cet";11;16
"ces";111;28
"base";5;10
"dire";8;27
"selon";36;5
"diffuser";10;18
"tf1";32;14
"téléspectateur";4;6
"véritable";7;11
"charlotte";0;11
"aussi";122;36
"jour";21;14
"justice";10;1
"international";7;4
"événement";8;8
"voler";84;5
"culture";16;15
"portrait";1;13
"effet";8;6
"sophia";0;10
"créature";28;6
"planète";109;50
"docteur";1;10
"grand";37;44
"000";5;9
"coup";4;7
"autres";99;30
"pierre";6;16
"jouer";2;12
"jamais";9;7
"être";837;654
"hapsatou";11;0
"pauline";0;19
"cryogénisé";42;1
"rester";16;16
"visite";14;5
"structure";12;2
"peut_être";7;8
"utiliser";11;10
"rencontre";13;14
"supervilains";0;14
"suite";12;6
"scientologie";0;16
"apprendre";4;7
"avoir";1035;403
"michael";3;8
"élection";7;7
"jump";82;0
"cela";5;8
"gens";14;3
"danger";81;13
"français";25;27
"gitan";14;0
"volant";11;18
"entrer";12;4
"heure";1;16
"également";7;12
"rencontrer";8;17
"représentant";10;1
"avocat";20;5
"cause";6;5
"université";1;14
"lancer";9;12
"ovni";25;46
"adopter";82;4
"sy";24;0
"liste";2;9
"âge";8;6
"jaune";23;0
"maintenant";3;10
"laurent";6;5
"réaliser";10;12
"courir";81;13
"rubrique";2;10
"trouver";20;37
"mohammed";11;0
"j";0;14
"média";10;3
"preuve";31;2
"macron";8;7
"luc";26;4
"lui";30;104
"ukrainien";10;1
"police";30;6
"animateur";10;6
"paranormal";5;5
"vinci";26;0
"carrière";3;7
"examiner";15;1
"46";10;4
"femme";8;42
"région";5;5
"moins";6;5
"persuader";6;19
"yacine";0;15
"général";28;14
"eau";53;5
"étude";1;9
"laporte";12;0
"inconnu";3;8
"chercher";12;16
"eric";39;8
"pernin";0;10
"arrêter";4;8
"star";15;12
"fois";62;18
"parole";24;4
"aider";8;7
"aux";77;119
"siècle";9;3
"voix";6;9
"réputation";1;19
"voir";22;35
"légende";9;9
"force";7;12
"histoire";29;24
"new";10;4
"propre";85;9
"aujourd_hui";96;17
"omar";13;0
"arme";6;4
"dettinger";43;0
"quotidien";4;21
"géant";10;9
"quoi";28;3
"suggérer";12;1
"afin";4;17
"famille";5;32
"vivre";12;30
"comportement";15;2
"aide";5;12
"créer";9;15
"acteur";26;11
"surprise";4;6
"sauver";110;15
"entraîner";83;2
"attaque";4;20
"école";3;22
"chroniqueur";57;67
"syndicat";14;0
"avion";4;7
"terrestre";1;14
"don";6;4
"doo";1;10
"christopher";1;13
"traverser";0;16
"julien";49;5
"cabrol";11;12
"02";20;2
"03";13;1
"00";32;2
"01";26;0
"07";19;0
"04";15;2
"05";17;1
"08";10;7
"09";17;3
"sorte";3;10
"confronter";1;9
"une";631;456
"scientifique";25;13
"mathieu";2;10
"il";386;264
"amour";6;8
"théoricien";28;0
"quand";3;31
"livre";14;20
"elle";89;182
"vieux";3;12
"kid";0;13
"neptuna";0;10
"nicolas";4;6
"royal";3;8
"musique";6;8
"revel";12;0
"super";110;9
"magazine";4;11
"maître";1;14
"lieu";7;10
"batman";105;0
"très";38;42
"mystérieux";17;12
"petit";173;76
"décider";8;27
"corbière";13;0
"dieu";17;2
"chrono";26;2
"mazaurette";41;0
"laure";1;53
"ville";10;20
"etats";8;6
"accompagner";0;15
"voiture";1;12
"boy";59;0
"père";5;28
"bon";8;12
"margot";1;11
"univers";89;9
"france";64;43
"équipe";16;12
"vous";19;37
"militaire";6;19
"sous";18;14
"agent";6;7
"mal";2;11
"avant";5;18
"nous";35;63
"spécialiste";18;22
"mais";203;109
"main";2;11
"nouveau";85;45
"ancien";150;13
"agir";15;16
"homme";37;62
"ministre";21;7
"chanson";9;11
"11";20;5
"10";15;5
"13";11;9
"12";21;13
"15";18;8
"14";9;6
"17";11;10
"16";12;7
"19";180;41
"18";51;4
"spectacle";4;8
"trace";4;23
"extraire";86;62
"fille";170;33
"show";1;16
"aventure";162;14
"étranger";5;6
"débarquer";3;15
"43";15;4
"parent";85;28
"jt";14;6
"je";1;18
"lopez";14;2
"rugby";11;2
"tour";4;11
"tous";104;48
"capable";8;4
"côté";89;29
"ex_membre";11;0
"lorsque";86;11
"dessin";3;7
"mars";5;7
"quatre";6;20
"par";192;211
"pas";224;90
"tout";31;90
"autour";12;17
"entourer";1;9
"starfire";137;0
"new_yorkais";42;1
"4";9;4
"mot";1;13
"mon";4;14
"luthor";11;0
"christine";12;0
"journée";7;5
"titan";109;0
"soudain";0;11
"gorg";0;14
"venir";35;54
"fils";9;23
"citation";38;6
"pourquoi";8;7
"eliot";0;22
"film";12;36
"important";6;8
"emily";1;15
"revenir";19;17
"poilu";0;15
"révéler";13;4
"public";7;14
"à";518;641
"agathe";12;0
"des";773;495
"csa";14;0
"civilisation";13;3
"delage";13;0
"trois";1;15
"théâtre";9;7
"24";15;6
"25";10;10
"26";16;8
"27";14;8
"22";29;7
"23";34;6
"28";15;8
"29";11;7
"etienne";40;1
"robbie";5;11
"porte";27;18
"président";28;9
"troisième";15;5
"dont";4;24
"donc";3;12
"cirque";82;2
"pari";13;15
"part";4;13
"john";2;11
"gasnier";48;0
"recevoir";6;19
"relation";1;9
"témoignage";6;11
"express";10;0
"expert";1;10
"point";12;20
"léo";27;0
"secret";15;17
"cyborg";55;0
"puissant";8;4
"mener";5;12
"puis";3;12
"moment";7;13
"travers";6;10
"entre";14;26
"salvatore";0;11
"y";39;45
"délirant";0;16
"source";419;187
"ça";3;12
"peu";9;14
"depuis";28;22
"jimmy";11;0
"aliens";13;14
"dewalle";15;0
"avenir";3;10
"conseil";5;8
"travailler";6;8
"lointain";89;4
"elles";22;13
"armée";4;8
"invité";37;36
"brainiac";14;0
"ennemi";0;13
"objet";13;6
"lorenzo";0;11
"crop";0;10
"39";11;6
"38";12;3
"33";18;4
"32";13;6
"31";15;6
"30";20;9
"37";10;3
"36";13;2
"34";11;3
"composer";6;5
"train";4;9
"souvent";9;10
"terrien";86;9
"laurie";0;10
"extrait";13;21
"le";567;760
"la";881;887
"eux";7;12
"oggy";0;14
"image";14;19
"tuer";8;9
"identifier";12;13
"lfi";15;0
"expliquer";9;10
"réseau";3;7
"là";9;18
"que";189;198
"qui";522;279
"parvenir";3;13
"publier";7;4
"auproux";12;0
"seines";14;0
"tromper";27;2
"mélenchon";26;1
"bernard";12;2
"beau";6;13
"sembler";8;18
"crabe";26;0
"cacher";10;22
"fatou";79;0
"bruno";18;3
"françois";7;27
"comment";64;22
"concours";8;3
"colocataire";56;0
"parisien";4;6
"raven";136;0
"provoquer";83;5
"système";12;5
"brigitte";14;0
"adolescent";23;4
"toutes";32;27
"oise";15;0
"monter";2;10
"48";19;0
"49";12;4
"47";21;2
"44";21;5
"45";18;6
"42";14;5
"40";14;18
"41";9;4
"membre";31;11
"inédit";0;19
"direct";10;9
"air";2;8
"philippe";5;13
"même";30;29
"changer";9;6
"pendant";14;13
"actualité";14;19
"m6";15;5
"assez";1;16
"mois";3;14
"me";15;7
"ma";3;7
"naître";81;10
"mi";11;0
"enquête";13;23
"entretien";8;6
"laquelle";3;9
