"";"X.anneedediff_1995";"X.anneedediff_1996";"X.anneedediff_1997";"X.anneedediff_1998";"X.anneedediff_1999";"X.anneedediff_2000";"X.anneedediff_2001";"X.anneedediff_2002";"X.anneedediff_2004";"X.anneedediff_2005";"X.anneedediff_2006";"X.anneedediff_2007";"X.anneedediff_2008";"X.anneedediff_2009";"X.anneedediff_2010";"X.anneedediff_2011";"X.anneedediff_2012";"X.anneedediff_2013";"X.anneedediff_2014";"X.anneedediff_2015";"X.anneedediff_2016";"X.anneedediff_2017";"X.anneedediff_2018";"X.anneedediff_2019";"X.anneedediff_2020";"X.anneedediff_2021";"X.anneedediff_2022";"X.anneedediff_2023"
"affirmer";0;0;0;0;0;0;0;0;0;0;0;0,36;0,64;0;0,74;0;0,69;0,88;1,41;0,72;2,6;0;0;0;0;0,12;0,36;0,28
"semaine";0;0;0;0;0;0;1,49;0;0;0;0;0;0;1,52;0,5;0,47;0,69;0;0;0;1,3;3,34;1,58;0,19;0,55;0,12;0;0,14
"comédien";0;0;0;0;0;0;0;0;0;6,13;0;0;0;3,05;0,25;0,47;0,23;0;0;0,72;0;0,56;0;0;0;0,6;0;0,14
"différent";0;0;0;0;0;0;0;0;0;0;0;0,36;0;1,52;0;0;0,23;0,88;0,94;1,44;0;0;0,59;0,19;0,55;0;0,12;0,14
"extra_terrestre";0;0;3,14;0;11,57;0;0;18,52;8,33;1,75;1,66;1,07;1,91;1,52;0;1,41;0;0;0,47;1,44;2,6;0;0,79;0,77;0,55;0,36;0;0,14
"inattendu";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,56;0,23;0;0;0;0;0;0;0;0;0;0;0
"monde";0;0;0;8,47;4,63;0;0;0;16,67;2,63;0;1,43;3,18;4,57;1,98;2,81;1,15;5,3;4,69;1,44;0,65;0;6,71;0,96;3,32;5,66;6,22;2,81
"roger";0;0;0;0;0;0;0;0;0;0;0;6,07;0;0;0,25;0;0,69;0;0;0;0;0;0;15,2;0;0;0;0
"visiteur";0;0;0;0;0;0;0;0;0;0;0;0,36;0;0;1,73;0;0;0;0;0;0;0;0;0;0;1,08;0,24;0,98
"naulleau";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;2,12;0;0;0;0
"lilia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,32;0;0
"désert";0;0;3,14;0;4,63;0;0;0;0;0,88;0;0;0;0;0,5;0,47;0,92;0;0,47;0;0;1,11;0;0;0;0,12;1,31;0,28
"humoriste";0;0;0;0;0;0;0;0;0;0,88;0;0;0;0;0;0;0,69;0;0;0;0;1,11;0,2;0;0;0,24;0;1,12
"s";6,62;0;22,01;8,47;4,63;5;8,96;0;8,33;3,5;0;11,42;9,55;1,52;4,96;3,28;3,68;5,3;7,5;5,77;4,55;2,78;2,37;2,31;2,21;1,69;1,2;1,41
