"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"nouveau";0,117;0,099;0;0,303;0,911;0,762;0,171
"facebook";0,393;0,369;0;0,575;0,585;0,621;0,456
"annonce";0,1;0,324;0,001;0,28;0,001;0,341;0,151
"émission";0,393;0,369;0;0,575;0,585;0,621;0,456
"us";0,324;0,299;0,003;0,517;0,262;0,568;0,389
"univers";0,226;0,788;0,002;0,543;0,439;0,484;0,29
"nasa";0,161;0,141;0,001;0,766;0,371;0,418;0,461
"vérité";0,085;0,296;0;0,259;0,936;0,32;0,133
"phénomène";0,054;0;0,113;0,206;0,218;0,265;0,092
"nufo";0,324;0,299;0;0,517;0,528;0,568;0,389
"enfant";0,269;0,033;0,194;0,469;0,48;0,523;0,335
"zone";0,117;0,929;0,857;0;0,316;0,364;0,171
"temps";0,117;0,385;0;0,952;0,316;0,13;0,171
"nteaser";0,393;0,369;0;0,575;0,585;0,621;0,456
"mars";0,269;0,245;0,899;0;0,48;0,523;0,335
"homme";0,161;0,141;0,017;0;0,371;0,418;0,221
"extraire";0,073;0,23;0,334;0,24;0;0,3;0,118
"terre";0,137;0,118;0;0,329;0,823;0,39;0,194
"r";0,122;0,299;0,092;0,517;0,528;0,568;0,389
"premier";0,269;0,3;0,013;0,469;0,48;0,523;0,335
"planète";0,727;0,157;0,082;0,39;0,403;0,449;0,253
"partir";0,1;0,083;0,976;0,28;0,293;0,341;0
"média";0,78;0,299;0,092;0,517;0,262;0,568;0,389
"venir";0,324;0,299;0;0,517;0,528;0,568;0,389
"témoignage";0,78;0,85;0,092;0,517;0,528;0,568;0,389
"rencontre";0,803;0;0,385;0,894;0,272;0,32;0,133
"question";0,226;0,203;0;0,427;0,439;0,484;0,29
"nparanormal";0,324;0,299;0;0,517;0,528;0,568;0,389
"mystérieux";0,161;0,547;0,017;0,006;0,371;0,418;0,221
"mort";0,226;0;0,94;0,427;0,439;0,484;0,29
"jean";0,191;0;0,805;0,39;0,403;0,449;0,253
"dimensione";0,1;0,083;0,445;0,28;0,293;0,341;0
"ciel";0;0,118;0,73;0,329;0,342;0,39;0,194
"étrange";0,692;0,547;0,017;0,766;0,371;0,418;0,221
"portali";0,117;0,099;0,514;0,303;0,316;0,364;0
"p";0,544;0,369;0,027;0,575;0,585;0,621;0,456
"over";0,269;0,245;0,899;0;0,48;0,523;0,335
"mission";0,191;0,168;0;0,39;0,403;0,449;0,341
"incident";0;0,299;0,35;0,517;0,528;0,568;0,389
"filmer";0;0,099;0,857;0,303;0,911;0,364;0,171
"dei";0,137;0,118;0,595;0,329;0,823;0,39;0
"ancien";0,117;0,385;0;0,303;0,22;0,364;0,171
"altra";0,117;0,099;0,514;0,303;0,316;0,364;0
"série";0,324;0,299;0;0,517;0,528;0,568;0,389
"science";0,191;0,157;0,006;0,39;0,403;0,449;0,253
"réseau";0,393;0,369;0;0,575;0,585;0,621;0,456
"nextraterrestre";0,324;0,299;0;0,517;0,528;0,568;0,389
"nalien";0,393;0,369;0;0,575;0,585;0,621;0,456
"meilleur";0,226;0,203;0;0,427;0,439;0,392;0,29
"matin";0;0,099;0,138;0,303;0,316;0,364;0,171
"live";0,616;0;0,185;0,358;0,371;0,418;0,221
"libre";0,137;0;0,73;0,329;0,342;0,39;0,194
"jour";0,324;0,299;0,003;0,286;0,528;0,568;0,389
"cospirazione";0,117;0,099;0,138;0,303;0,316;0,364;0
"contact";0,226;0,788;0,002;0,543;0,439;0,484;0,29
"cacher";0,523;0,118;0;0,187;0,342;0,39;0,194
"épisode";0,393;0,369;0,027;0,575;0,585;0,089;0,456
"spécialiste";0,324;0,156;0,092;0,517;0,528;0,568;0,389
"répondre";0,269;0,245;0;0,469;0,48;0,523;0,335
"retrouver";0,324;0,299;0;0,517;0,528;0,568;0,389
"recherche";0,324;0,299;0;0,517;0,528;0,568;0,389
"propos";0,393;0,604;0,027;0,575;0,585;0,621;0,456
"passer";0,191;0,168;0;0,39;0,403;0,493;0,253
"noir";0,191;0,168;0;0,39;0,403;0,449;0,253
"janvier";0,226;0,082;0,319;0,543;0,439;0,484;0,29
"jacques";0,161;0,004;0,691;0,358;0,111;0,418;0,221
