"";"X";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19"
"212";212;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"213";213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"214";214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"215";215;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"216";216;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"217";217;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"218";218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"219";219;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"220";220;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"221";221;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"222";222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"223";223;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"224";224;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"225";225;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"226";226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"227";227;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"228";228;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"229";229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"230";230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"231";231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"232";232;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"233";233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"234";234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"235";235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"236";236;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"237";237;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"238";238;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"239";239;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"240";240;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"241";241;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5
"242";242;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"243";243;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"244";244;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"245";245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"246";246;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"247";247;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"248";248;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"249";249;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"250";250;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"251";251;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"252";252;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"253";253;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"254";254;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"255";255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"256";256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"257";257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"258";258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"259";259;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"260";260;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"261";261;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"262";262;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"263";263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"264";264;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"265";265;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"266";266;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"267";267;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"268";268;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"269";269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"270";270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"271";271;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"272";272;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5
"273";273;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5
"274";274;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"275";275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"276";276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3
"277";277;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"278";278;0;0;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
"279";279;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3
"280";280;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3
"281";281;0;0;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
"282";282;0;0;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
"283";283;0;0;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
"284";284;0;0;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
"285";285;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3
"286";286;0;0;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
"287";287;0;0;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
"288";288;0;0;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
"289";289;0;0;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
"290";290;0;0;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
"291";291;0;0;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
"292";292;0;0;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
"293";293;0;0;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
"294";294;0;0;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
"295";295;0;0;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
"296";296;0;0;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
"297";297;0;0;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
"298";298;0;0;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
"299";299;0;0;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
"300";300;0;0;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
"301";301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"302";302;0;0;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
"303";303;0;0;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
"304";304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3
"305";305;0;0;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
"306";306;0;0;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
"307";307;0;0;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
"308";308;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"309";309;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"310";310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"311";311;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"312";312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"313";313;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"314";314;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
"315";315;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3
"316";316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3
"317";317;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3
