"";"";"";"";"mohammed";""
"92";"xxe";"0.245306647030146";"-0.655084832735877";"0.833628971491858";"325"
"93";"partisan";"0.245306647030146";"-0.655084832735877";"0.833628971491858";"327"
"94";"egypte";"0.245306647030146";"-0.655084832735877";"0.833628971491858";"328"
"95";"céleste";"0.245306647030146";"-0.655084832735877";"0.833628971491858";"329"
"96";"continent";"0.245306647030146";"-0.655084832735877";"0.833628971491858";"330"
"97";"prêt";"0.245306647030146";"-0.655084832735877";"0.833628971491858";"331"
"98";"indice";"0.245306647030146";"-0.655084832735877";"0.833628971491858";"333"
"99";"identique";"0.245306647030146";"-0.655084832735877";"0.833628971491858";"334"
"100";"globe";"0.245306647030146";"-0.655084832735877";"0.833628971491858";"336"
"101";"gigantesque";"0.245306647030146";"-0.655084832735877";"0.833628971491858";"337"
"102";"disséminer";"0.245306647030146";"-0.655084832735877";"0.833628971491858";"338"
"103";"coin";"0.245306647030146";"-0.655084832735877";"0.833628971491858";"339"
"104";"handicapé";"0.297711967523221";"-0.469275164751133";"0.833497956614556";"340"
"105";"illustrer";"0.297711967523221";"-0.469275164751133";"0.833497956614556";"341"
"106";"entourer";"0.297711967523221";"-0.469275164751133";"0.833497956614556";"342"
"107";"user";"0.297711967523221";"-0.469275164751133";"0.833497956614556";"343"
"108";"témoigner";"0.297711967523221";"-0.469275164751133";"0.833497956614556";"344"
"109";"duplex";"0.297711967523221";"-0.469275164751133";"0.833497956614556";"345"
"110";"compagnie";"0.297711967523221";"-0.469275164751133";"0.833497956614556";"346"
"111";"frère";"0.288554023719087";"-0.4476390898941";"0.833468842197378";"347"
"112";"exister";"0.266481062785621";"-0.559135770131525";"0.832766456882954";"348"
"113";"connaissance";"0.24589658674472";"-0.63774578000919";"0.832766456882954";"349"
"114";"aller";"0.302782420777097";"-0.365263068953232";"0.832480771664393";"350"
"115";"prétendre";"0.245699940173195";"-0.643525464251419";"0.832140496913624";"351"
"116";"savant";"0.245699940173195";"-0.643525464251419";"0.832140496913624";"352"
"117";"présent";"0.267616218174547";"-0.538844732628131";"0.832140496913624";"353"
"118";"armstrong";"0.254040867112325";"-0.62411655473842";"0.832140496913624";"355"
"119";"yves";"0.299526664136532";"-0.459589421852749";"0.831603699846901";"356"
