"";"*chaine_6ter";"*chaine_ARTE";"*chaine_C8";"*chaine_Canal";"*chaine_France2";"*chaine_France3";"*chaine_France4";"*chaine_France5";"*chaine_Gulli";"*chaine_M6";"*chaine_NRJ12";"*chaine_Numéro23";"*chaine_RMCDécouverteHD24";"*chaine_RMCStory";"*chaine_TF1"
"ex";0;0;11;0;1;0;0;0;0;0;3;0;0;0;0
"album";0;6;0;0;2;3;0;0;0;6;0;0;0;0;0
"marine";0;2;0;0;0;0;0;0;0;2;0;0;0;2;0
"toulouse";0;0;0;7;1;0;1;1;0;0;0;0;0;0;2
"message";0;0;0;0;2;2;0;0;0;0;0;2;0;2;2
"incroyable";0;0;0;0;1;3;0;0;0;0;0;0;1;12;1
"premier";0;3;4;4;6;6;0;5;2;3;1;0;0;7;3
"déguiser";0;0;0;0;9;0;0;2;0;2;0;0;0;0;2
"ligne";0;1;0;0;3;0;0;0;0;0;0;0;0;4;4
"étrange";0;0;0;0;5;5;2;0;0;0;0;0;2;28;4
"secrétaire";0;0;27;0;1;1;0;0;0;0;0;0;0;0;0
"bruno";0;0;15;0;1;0;0;0;0;0;0;0;0;0;1
"sport";0;0;0;0;5;0;0;0;0;0;0;0;0;0;1
"près_de";0;1;0;0;2;5;0;1;0;1;0;0;1;0;1
"tropical";0;0;0;0;0;0;77;0;0;0;0;0;0;0;0
"maïa";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"prétexte";0;0;0;0;0;0;77;0;0;0;0;0;0;0;0
"explication";0;0;0;1;4;2;0;0;0;0;0;1;0;2;0
"ami";0;0;0;3;2;9;0;0;3;4;0;0;0;0;1
"héros";0;1;0;1;5;1;1;2;0;0;0;0;0;0;1
"vilain";0;0;0;1;7;1;1;0;0;0;0;0;0;0;0
"vendre";0;0;0;0;1;2;3;0;1;0;0;0;0;0;2
"loi";0;0;4;3;0;0;0;1;0;0;0;0;0;0;0
"giorgio";0;0;0;0;0;0;0;0;0;0;0;0;0;19;0
"aile";0;0;0;0;0;0;26;0;0;0;0;0;0;0;0
"iran";0;17;0;0;0;1;0;1;0;0;0;0;0;0;0
"aimer";0;0;0;1;4;1;0;0;1;0;0;0;0;0;2
"vidéo";0;0;2;1;2;1;0;1;0;0;1;0;0;1;1
"réalité";0;0;0;4;3;1;3;0;3;0;0;0;0;4;2
"visage";0;0;0;0;4;1;0;0;0;0;0;0;0;3;2
"posséder";0;2;0;0;2;1;23;0;0;0;0;0;5;2;0
"diffuser";0;1;0;0;6;0;0;0;0;0;0;0;0;0;2
"base";0;0;0;0;1;5;0;0;0;0;0;0;3;2;0
"véritable";1;1;0;0;0;1;1;0;0;0;0;0;0;4;3
"jour";0;0;1;2;6;3;0;1;2;0;0;1;0;3;0
"justice";0;0;7;0;1;0;1;0;0;0;0;0;0;0;0
"voler";0;0;0;0;0;4;26;0;2;0;0;0;0;0;0
"culture";0;0;0;0;10;0;1;0;0;0;0;2;2;8;0
"portrait";0;1;0;0;9;0;0;0;0;0;0;0;0;0;3
"effet";1;0;0;0;1;1;0;1;3;1;0;0;0;1;0
"planète";1;0;0;1;6;4;27;1;4;3;2;0;3;4;3
"grand";0;1;4;2;6;7;2;4;3;1;0;0;1;9;5
"pierre";0;0;0;1;4;1;0;5;0;0;0;0;0;1;10
"jouer";0;1;0;0;4;3;0;1;0;2;1;0;0;0;0
"hapsatou";0;0;11;0;0;0;0;0;0;0;0;0;0;0;0
"univers";0;3;0;1;2;2;27;0;0;0;0;0;0;6;2
"info";0;0;5;2;0;0;0;3;0;0;0;0;0;0;0
"cryogénisé";0;0;0;1;0;0;0;0;0;0;42;0;0;0;0
"rester";0;0;0;0;0;3;1;1;0;2;0;0;0;10;3
"visite";0;1;0;0;5;1;0;0;1;0;0;0;3;7;1
"structure";0;0;0;0;1;0;0;0;0;0;0;0;0;10;0
"utiliser";0;0;0;0;6;4;1;0;0;0;0;0;1;5;0
"rencontre";0;0;0;1;8;0;0;0;0;0;0;0;2;5;6
"suite";0;0;9;0;3;2;0;0;0;0;0;0;0;1;2
"scientologie";0;0;0;0;16;0;0;0;0;0;0;0;0;0;0
"brigitte";0;0;14;0;0;0;0;0;0;0;0;0;0;0;0
"élection";0;7;1;0;0;0;0;0;0;0;0;0;0;0;0
"jump";0;0;0;0;0;0;27;0;0;0;0;0;0;0;0
"gens";0;0;11;0;2;0;0;0;0;0;0;0;1;1;3
"danger";0;0;0;0;2;0;26;0;0;0;0;0;0;0;1
"gitan";0;0;14;0;0;0;0;0;0;0;0;0;0;0;0
"volant";0;0;0;0;0;5;1;4;2;3;0;0;0;4;2
"entrer";0;0;0;1;1;0;0;0;3;0;0;1;0;5;0
"heure";0;0;0;2;1;0;0;9;0;1;0;0;0;0;0
"également";0;0;1;0;3;0;0;0;0;1;0;0;0;2;1
"rencontrer";0;0;0;0;3;2;0;0;1;0;0;0;0;5;3
"représentant";0;0;0;0;0;1;0;0;0;0;0;0;0;10;0
"avocat";0;1;16;0;2;0;0;1;0;0;0;0;0;0;0
"université";0;0;0;7;6;0;0;0;0;1;0;0;0;0;1
"adopter";0;0;0;0;2;0;26;0;0;0;0;0;0;0;0
"sy";0;0;11;0;0;0;0;0;0;0;0;0;0;0;0
"jaune";0;0;21;0;0;0;0;0;0;0;0;0;0;0;0
"médecin";0;0;11;0;6;0;0;0;0;0;0;0;0;0;1
"réaliser";1;0;0;0;7;0;1;0;0;0;1;0;0;1;1
"trouver";0;0;0;0;7;2;1;0;2;1;2;0;0;12;5
"mohammed";0;0;11;0;0;0;0;0;0;0;0;0;0;0;0
"preuve";0;0;0;0;4;0;0;0;0;1;0;0;2;27;4
"luc";0;1;23;0;3;0;0;1;0;0;0;0;0;0;2
