"";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_Gulli";"X.chaine_M6";"X.chaine_NRJ12";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1"
"clair";3,8052;-0,112;-0,6383;0,4282;-0,3003;2,5489;-1,1092;-0,1499;-0,0576;-0,0911;-0,2379;-0,0281;-0,0668;-0,5411;0,7487
"spécialiste";-0,0225;13,6754;-1,7248;-0,5479;1,2316;-0,7983;-2,9973;0,2172;-0,1556;0,3638;-0,6427;-0,076;1,1982;-1,4621;-0,1862
"police";-0,0276;-0,3701;20,7969;-0,6699;-0,7108;-0,976;-3,6645;-0,4952;-0,1902;-0,301;-0,7857;-0,0929;-0,2207;-1,7875;-0,5794
"main";-0,0083;0,6432;-0,6383;-0,2028;-0,3003;4,8786;-1,1092;-0,1499;-0,0576;-0,0911;-0,2379;-0,0281;-0,0668;-0,5411;0,7487
"ancien";-0,1267;-1,0037;3,0039;-3,0815;-5,0221;-2,0539;-1,782;-0,6168;-0,8749;-0,7567;-3,6145;1,7877;2,0764;18,8818;-1,3302
"agir";-0,015;-0,2018;-1,1494;-0,3651;-0,7309;1,5678;-0,402;0,3345;-0,1037;0,5023;-0,4283;-0,0506;0,6163;0,8195;0,7995
"ministre";-0,01;-0,1345;3,4316;-0,2434;0,2204;-0,3546;-1,3311;0,4696;-0,0691;-0,1093;-0,2854;-0,0338;-0,0802;0,3782;-0,4202
"chanson";-0,0117;-0,1569;-0,8938;-0,2839;2,4611;1,2233;-1,5532;-0,2099;-0,0806;2,5668;-0,3331;-0,0394;-0,0935;-0,7577;-0,1525
"trace";-0,0083;4,1159;-0,6383;-0,2028;0,3018;0,3067;-1,1092;-0,1499;-0,0576;-0,0911;-0,2379;-0,0281;-0,0668;0,4809;0,2569
"extraire";-0,0502;-0,6738;-0,568;0,5342;-0,6529;-1,0569;-6,6717;6,2021;-0,3462;1,4474;-1,4303;-0,1691;-0,4017;-3,2542;13,3041
"aventure";-0,0896;-1,2041;-6,8611;-2,1792;-4,2899;-3,1753;61,0708;-1,6111;-0,6188;-0,979;-2,5562;-0,3022;-0,7179;-5,816;-3,763
"nouveau";-0,0779;0,3732;-3,8628;0,3774;-0,6218;-0,5855;-8,9059;0,4112;0,9066;0,5171;28,461;-0,2625;-0,2339;0,2724;-1,672
"débarquer";-0,0092;-0,1233;-0,7022;-0,2231;-0,3494;4,5611;-0,5966;-0,1649;-0,0633;0,686;-0,2617;-0,0309;-0,0735;-0,5952;0,6832
"parent";-0,0418;-0,5612;-3,1975;0,3974;2,373;-0,4527;5,3009;-0,3095;-0,2884;-0,1416;-1,1914;-0,1409;-0,3346;-2,7106;-1,0365
"jt";-0,0117;-0,1569;2,9035;-0,2839;-1,0753;-0,4137;-1,5532;5,4569;-0,0806;-0,1276;-0,3331;-0,0394;-0,0935;-0,7577;-0,1525
"lopez";-0,0134;-0,1793;10,1625;-0,3245;-1,229;-0,4729;-1,7752;0,9968;-0,0922;-0,1458;-0,3807;-0,045;-0,1069;-0,866;-0,5604
"rugby";-0,0092;-0,1233;9,5222;-0,2231;-0,8447;-0,325;-1,2202;-0,1649;-0,0633;-0,1002;-0,2617;-0,0309;-0,0735;-0,5952;-0,3852
"côté";-0,0376;-0,1665;-1,9657;-0,914;-1,2829;0,766;6,4768;-0,6757;0,3469;0,2136;-1,072;-0,1267;-0,3011;-1,0489;0,5731
"capable";-0,0083;-0,112;-0,6383;-0,2028;-0,7679;1,6204;-0,2214;-0,1499;-0,0576;-0,0911;-0,2379;-0,0281;-0,0668;2,4795;-0,3501
"mars";-0,0117;-0,1569;-0,3861;-0,2839;3,2531;-0,4137;-0,8475;0,4165;-0,0806;-0,1276;-0,3331;-0,0394;0,7127;-0,7577;0,5284
"delage";-0,0108;-0,1457;11,2567;-0,2637;-0,9984;-0,3841;-1,4421;-0,1949;-0,0749;-0,1185;-0,3093;-0,0366;-0,0869;-0,7035;-0,4552
"starfire";-0,0217;-0,2915;-1,6608;-0,5276;-1,9981;-0,7687;16,8705;-0,3901;-0,1498;-0,237;-0,6189;-0,0732;-0,1738;-1,4079;-0,911
"new_yorkais";-0,0359;-0,4825;-2,7489;-0,3872;-3,3072;-1,2723;-4,7773;-0,6456;-0,248;-0,3923;52,4682;-0,1211;-0,2877;-2,3303;-1,5078
"davant";-0,0083;-0,112;-0,6383;-0,2028;7,9136;-0,2955;-1,1092;-0,1499;-0,0576;-0,0911;-0,2379;-0,0281;-0,0668;-0,5411;-0,3501
"mot";-0,0092;-0,1233;-0,7022;-0,2231;0,2575;1,5034;-1,2202;2,2828;-0,0633;1,681;-0,2617;-0,0309;-0,0735;-0,2042;-0,3852
"christine";-0,0108;-0,1457;9,3335;-0,2637;-0,4523;-0,3841;-1,4421;-0,1949;-0,0749;-0,1185;-0,3093;-0,0366;-0,0869;-0,7035;-0,4552
"titan";-0,0435;-0,5837;-3,3257;-1,0565;-4,0011;-1,5393;33,8302;-0,781;-0,3;-0,4746;-1,2392;-0,1465;-0,348;-2,8192;-1,8242
"rappeler";-0,0108;-0,1457;-0,3442;-0,2637;1,9594;-0,3841;-0,7622;-0,1949;-0,0749;0,6221;0,293;-0,0366;-0,0869;-0,268;0,5742
"ex_membre";-0,0092;-0,1233;9,5222;-0,2231;-0,8447;-0,325;-1,2202;-0,1649;-0,0633;-0,1002;-0,2617;-0,0309;-0,0735;-0,5952;-0,3852
"fils";-0,0083;-0,112;-0,6383;-0,2028;-0,3003;-0,2955;-1,1092;0,5347;-0,0576;1,7622;1,8656;-0,0281;-0,0668;-0,5411;1,4345
"citation";-0,0234;0,2885;20,0973;-0,1988;-2,152;-0,8279;-3,1085;-0,4201;-0,1614;-0,2553;-0,6665;-0,0788;-0,1872;-1,5164;-0,9812
"film";-0,0376;-0,505;-2,8771;-0,1789;5,7902;1,5798;-5;-0,6757;-0,2595;1,1788;-1,072;-0,1267;-0,3011;-1,5942;3,3054
"important";-0,0092;-0,1233;-0,7022;-0,2231;1,057;-0,325;-1,2202;0,5004;-0,0633;-0,1002;-0,2617;-0,0309;-0,0735;2,2599;0,2306
"revenir";-0,0225;-0,3028;-1,0018;0,9098;0,3467;0,5843;-2,9973;-0,4051;-0,1556;0,3638;-0,6427;-0,076;-0,1805;3,2195;0,8176
"révéler";-0,015;-0,2018;-0,5635;-0,3651;-0,7309;1,5678;-1,9973;-0,2699;-0,1037;-0,1641;-0,4283;0,9584;-0,1203;5,0733;-0,2303
"public";-0,0117;0,5183;-0,8938;-0,2839;3,2531;0,2116;-1,5532;0,4165;-0,0806;-0,1276;-0,3331;-0,0394;-0,0935;-0,3014;0,5284
"agathe";-0,01;-0,1345;10,3893;-0,2434;-0,9216;-0,3546;-1,3311;-0,1799;-0,0691;-0,1093;-0,2854;-0,0338;-0,0802;-0,6494;-0,4202
"récit";-0,0083;-0,112;-0,6383;0,4282;-0,3003;-0,2955;-1,1092;-0,1499;-0,0576;-0,0911;-0,2379;-0,0281;0,846;3,4531;0,2569
"csa";-0,01;-0,1345;10,3893;-0,2434;-0,9216;-0,3546;-1,3311;-0,1799;-0,0691;-0,1093;-0,2854;-0,0338;-0,0802;-0,6494;-0,4202
"rapport";-0,0058;-0,0784;-0,4467;-0,1419;-0,1656;-0,2068;-0,7763;-0,1049;-0,0403;-0,0638;-0,1665;-0,0197;-0,0468;2,3107;1,0137
"etienne";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"association";-0,0092;-0,1233;-0,7022;-0,2231;3,2825;0,2783;-1,2202;1,2878;-0,0633;-0,1002;-0,2617;-0,0309;-0,0735;-0,5952;0,2306
"porte";-0,0184;0,3632;8,1726;-0,4464;-0,5465;-0,6504;-2,4416;0,2739;-0,1267;-0,2005;-0,5236;-0,0619;-0,147;-0,288;-0,3159
"président";-0,0175;0,3784;5,4425;-0,4261;0,347;-0,6208;-2,3305;0,8009;-0,121;-0,1914;-0,4997;-0,0591;-0,1404;-0,5582;-0,2938
