"";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_Gulli";"X.chaine_M6";"X.chaine_NRJ12";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1"
"yacine";0;0;0;28,68;0;0;0;0;0;0;0;0;0;0;0
"thierry";0;23,97;8,93;0;0,54;6,63;0;5,14;0;0;0;0;0;0;1,13
"carbonnier";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"jerry";0;0;0;0;0;2,65;3,1;0;0;0;0;0;0;0;0
"raid";0;0;9,57;0;0;0;0;0;0;0;0;0;0;0;0
"déclaration";0;3,42;4,47;0;0;0;0;0;0;0;0;0;0;0;0
"contact";0;0;0;1,91;1,08;2,65;0;0;0;0;0;0;11,43;8,94;1,13
"the";0;13,7;0;1,91;0,54;0;0;0;0;8,4;0;0;0;0,74;1,13
"photo";0;3,42;0;0;3,23;5,31;0;0;0;0;0;0;0;1,49;10,14
"transformer";0;0;0;5,74;1,61;3,98;0;0;0;4,2;0;0;0;0;0
"lci";0;0;8,3;0;0;0;0;0;0;0;0;0;0;0;0
"bord";0;0;0;0;0,54;11,94;0;0;0;0;0;0;0;0;2,25
"jacques";0;0;0;3,82;4,84;1,33;0;0;6,62;0;0;0;0;0;5,63
"connaître";0;3,42;0;0;6,46;5,31;0;5,14;0;4,2;0;0;0;3,72;1,13
"peupler";0;0;0;1,91;0;0;0;2,57;0;0;39,28;0;0;0;0
"commencer";0;0;0,64;0;3,23;0;0;0;0;4,2;0;0;5,71;1,49;1,13
"archive";0;0;0;5,74;0;3,98;0;0;0;0;0;0;0;0;5,63
"sujet";0;0;3,19;3,82;3,77;1,33;0;7,71;0;0;0;0;0;0;4,5
"zone";0;3,42;0;0;1,61;1,33;0;0;0;0;0;0;0;1,49;0
"donner";0;3,42;0;7,65;7,53;2,65;0;2,57;33,11;8,4;0;0;0;2,23;5,63
"urgentiste";0;0;7,02;0;0;0;0;0;0;0;0;0;0;0;0
"gilet";0;0;13,4;0;0;0;0;0;0;0;0;0;0;0;0
"ciel";0;0;0;1,91;1,61;1,33;0,39;5,14;6,62;0;0;0;0;12,66;2,25
"cas";0;23,97;0,64;0;2,15;7,96;0;0;0;0;0;0;5,71;1,49;2,25
"discussion";0;0;5,74;0;0;0;0;0;0;0;0;0;0;0;2,25
"cours";0;0;0;0;4,31;1,33;0,39;5,14;0;0;0;0;0;2,23;4,5
"découvrir";0;0;0;1,91;4,84;10,61;0,39;2,57;0;21,01;0;13,51;0;8,19;6,76
"forme";0;0;0,64;1,91;3,77;2,65;0;2,57;13,25;4,2;0;0;5,71;10,42;1,13
"nom";0;3,42;0;0;0,54;1,33;0;0;0;0;0;0;0;2,98;2,25
"ex";0;0;7,02;0;0,54;0;0;0;0;0;4,91;0;0;0;0
"album";0;20,55;0;0;1,08;3,98;0;0;0;25,21;0;0;0;0;0
"marine";0;6,85;0;0;0;0;0;0;0;8,4;0;0;0;1,49;0
"toulouse";0;0;0;13,38;0,54;0;0,39;2,57;0;0;0;0;0;0;2,25
"message";0;0;0;0;1,08;2,65;0;0;0;0;0;27,03;0;1,49;2,25
"incroyable";0;0;0;0;0,54;3,98;0;0;0;0;0;0;5,71;8,94;1,13
"premier";0;10,27;2,55;7,65;3,23;7,96;0;12,85;13,25;12,61;1,64;0;0;5,21;3,38
"déguiser";0;0;0;0;4,84;0;0;5,14;0;8,4;0;0;0;0;2,25
"ligne";0;3,42;0;0;1,61;0;0;0;0;0;0;0;0;2,98;4,5
"étrange";0;0;0;0;2,69;6,63;0,77;0;0;0;0;0;11,43;20,85;4,5
"secrétaire";0;0;17,23;0;0,54;1,33;0;0;0;0;0;0;0;0;0
"bruno";0;0;9,57;0;0,54;0;0;0;0;0;0;0;0;0;1,13
"sport";0;0;0;0;2,69;0;0;0;0;0;0;0;0;0;1,13
"près_de";0;3,42;0;0;1,08;6,63;0;2,57;0;4,2;0;0;5,71;0;1,13
"tropical";0;0;0;0;0;0;29,8;0;0;0;0;0;0;0;0
"maïa";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"prétexte";0;0;0;0;0;0;29,8;0;0;0;0;0;0;0;0
"explication";0;0;0;1,91;2,15;2,65;0;0;0;0;0;13,51;0;1,49;0
"ami";0;0;0;5,74;1,08;11,94;0;0;19,87;16,81;0;0;0;0;1,13
"héros";0;3,42;0;1,91;2,69;1,33;0,39;5,14;0;0;0;0;0;0;1,13
"vilain";0;0;0;1,91;3,77;1,33;0,39;0;0;0;0;0;0;0;0
"vendre";0;0;0;0;0,54;2,65;1,16;0;6,62;0;0;0;0;0;2,25
"loi";0;0;2,55;5,74;0;0;0;2,57;0;0;0;0;0;0;0
"giorgio";0;0;0;0;0;0;0;0;0;0;0;0;0;14,15;0
"aile";0;0;0;0;0;0;10,06;0;0;0;0;0;0;0;0
"iran";0;58,22;0;0;0;1,33;0;2,57;0;0;0;0;0;0;0
"aimer";0;0;0;1,91;2,15;1,33;0;0;6,62;0;0;0;0;0;2,25
"vidéo";0;0;1,28;1,91;1,08;1,33;0;2,57;0;0;1,64;0;0;0,74;1,13
"réalité";0;0;0;7,65;1,61;1,33;1,16;0;19,87;0;0;0;0;2,98;2,25
"visage";0;0;0;0;2,15;1,33;0;0;0;0;0;0;0;2,23;2,25
"posséder";0;6,85;0;0;1,08;1,33;8,9;0;0;0;0;0;28,57;1,49;0
"diffuser";0;3,42;0;0;3,23;0;0;0;0;0;0;0;0;0;2,25
"base";0;0;0;0;0,54;6,63;0;0;0;0;0;0;17,14;1,49;0
"véritable";45,45;3,42;0;0;0;1,33;0,39;0;0;0;0;0;0;2,98;3,38
"jour";0;0;0,64;3,82;3,23;3,98;0;2,57;13,25;0;0;13,51;0;2,23;0
"justice";0;0;4,47;0;0,54;0;0,39;0;0;0;0;0;0;0;0
"voler";0;0;0;0;0;5,31;10,06;0;13,25;0;0;0;0;0;0
"culture";0;0;0;0;5,38;0;0,39;0;0;0;0;27,03;11,43;5,96;0
"portrait";0;3,42;0;0;4,84;0;0;0;0;0;0;0;0;0;3,38
"effet";45,45;0;0;0;0,54;1,33;0;2,57;19,87;4,2;0;0;0;0,74;0
"planète";45,45;0;0;1,91;3,23;5,31;10,45;2,57;26,49;12,61;3,27;0;17,14;2,98;3,38
"grand";0;3,42;2,55;3,82;3,23;9,28;0,77;10,28;19,87;4,2;0;0;5,71;6,7;5,63
"pierre";0;0;0;1,91;2,15;1,33;0;12,85;0;0;0;0;0;0,74;11,26
"jouer";0;3,42;0;0;2,15;3,98;0;2,57;0;8,4;1,64;0;0;0;0
"hapsatou";0;0;7,02;0;0;0;0;0;0;0;0;0;0;0;0
"univers";0;10,27;0;1,91;1,08;2,65;10,45;0;0;0;0;0;0;4,47;2,25
"info";0;0;3,19;3,82;0;0;0;7,71;0;0;0;0;0;0;0
"cryogénisé";0;0;0;1,91;0;0;0;0;0;0;68,74;0;0;0;0
"rester";0;0;0;0;0;3,98;0,39;2,57;0;8,4;0;0;0;7,45;3,38
"visite";0;3,42;0;0;2,69;1,33;0;0;6,62;0;0;0;17,14;5,21;1,13
"structure";0;0;0;0;0,54;0;0;0;0;0;0;0;0;7,45;0
"utiliser";0;0;0;0;3,23;5,31;0,39;0;0;0;0;0;5,71;3,72;0
"rencontre";0;0;0;1,91;4,31;0;0;0;0;0;0;0;11,43;3,72;6,76
"suite";0;0;5,74;0;1,61;2,65;0;0;0;0;0;0;0;0,74;2,25
"scientologie";0;0;0;0;8,61;0;0;0;0;0;0;0;0;0;0
"brigitte";0;0;8,93;0;0;0;0;0;0;0;0;0;0;0;0
"élection";0;23,97;0,64;0;0;0;0;0;0;0;0;0;0;0;0
"jump";0;0;0;0;0;0;10,45;0;0;0;0;0;0;0;0
"gens";0;0;7,02;0;1,08;0;0;0;0;0;0;0;5,71;0,74;3,38
"danger";0;0;0;0;1,08;0;10,06;0;0;0;0;0;0;0;1,13
"gitan";0;0;8,93;0;0;0;0;0;0;0;0;0;0;0;0
"volant";0;0;0;0;0;6,63;0,39;10,28;13,25;12,61;0;0;0;2,98;2,25
"entrer";0;0;0;1,91;0,54;0;0;0;19,87;0;0;13,51;0;3,72;0
"heure";0;0;0;3,82;0,54;0;0;23,14;0;4,2;0;0;0;0;0
"également";0;0;0,64;0;1,61;0;0;0;0;4,2;0;0;0;1,49;1,13
"rencontrer";0;0;0;0;1,61;2,65;0;0;6,62;0;0;0;0;3,72;3,38
"représentant";0;0;0;0;0;1,33;0;0;0;0;0;0;0;7,45;0
"avocat";0;3,42;10,21;0;1,08;0;0;2,57;0;0;0;0;0;0;0
"université";0;0;0;13,38;3,23;0;0;0;0;4,2;0;0;0;0;1,13
"adopter";0;0;0;0;1,08;0;10,06;0;0;0;0;0;0;0;0
"sy";0;0;7,02;0;0;0;0;0;0;0;0;0;0;0;0
"jaune";0;0;13,4;0;0;0;0;0;0;0;0;0;0;0;0
"médecin";0;0;7,02;0;3,23;0;0;0;0;0;0;0;0;0;1,13
"réaliser";45,45;0;0;0;3,77;0;0,39;0;0;0;1,64;0;0;0,74;1,13
"trouver";0;0;0;0;3,77;2,65;0,39;0;13,25;4,2;3,27;0;0;8,94;5,63
"mohammed";0;0;7,02;0;0;0;0;0;0;0;0;0;0;0;0
"preuve";0;0;0;0;2,15;0;0;0;0;4,2;0;0;11,43;20,1;4,5
"luc";0;3,42;14,68;0;1,61;0;0;2,57;0;0;0;0;0;0;2,25
"ukrainien";0;3,42;0;0;0;0;0;0;0;0;0;0;0;0;0
"carrière";0;0;0;1,91;1,61;2,65;0;0;0;0;0;0;0;0;5,63
"examiner";0;0;0;0;0;0;0;0;0;0;0;0;0;11,17;1,13
"femme";0;3,42;0;1,91;4,84;7,96;0;0;0;16,81;0;0;0;0;3,38
"journal";0;0;0;1,91;0,54;2,65;0;2,57;0;0;0;0;0;0;10,14
"persuader";0;0;0;0;0,54;2,65;1,16;0;6,62;21,01;0;0;0;0;4,5
"général";0;0;17,23;0;2,69;0;0;0;0;0;0;0;0;0;1,13
"he";0;3,42;0;1,91;2,15;1,33;0;7,71;0;0;0;0;0;0;1,13
"étude";0;0;0;7,65;3,77;2,65;0;0;0;8,4;0;0;0;0;1,13
"laporte";0;0;7,66;0;0;0;0;0;0;0;0;0;0;0;0
"chercher";0;0;0;1,91;1,08;2,65;1,55;0;19,87;0;0;0;5,71;0;3,38
"eric";0;3,42;15,32;1,91;1,08;1,33;0;0;0;0;0;0;0;0;1,13
"homme";0;0;1,28;17,21;5,38;11,94;0;17,99;0;12,61;0;0;17,14;12,66;6,76
"star";0;0;0;1,91;3,23;1,33;0,39;0;0;0;0;0;0;0;1,13
"fois";0;6,85;0,64;0;2,15;5,31;0;5,14;0;8,4;0;0;0;1,49;4,5
"aider";45,45;0;0;0;1,08;0;0,39;0;19,87;4,2;0;0;0;0;0
"siècle";0;0;0;0;0;2,65;0;0;0;0;0;0;11,43;4,47;1,13
"voix";0;6,85;0;0;0;7,96;0;0;0;8,4;0;0;0;0;2,25
"réputation";0;0;0;32,5;0;0;0;0;0;8,4;0;0;0;0;0
"voir";45,45;10,27;0,64;7,65;7;5,31;0,39;0;13,25;16,81;1,64;54,05;5,71;1,49;15,77
"légende";0;0;0;0;0;0;0;5,14;0;0;0;0;17,14;2,98;3,38
"force";0;0;1,28;0;1,08;1,33;0;2,57;0;4,2;0;0;5,71;0;1,13
"histoire";0;6,85;0;0;3,23;2,65;0;5,14;0;4,2;0;0;11,43;11,91;3,38
"propre";0;0;0;0;2,15;2,65;10,06;2,57;0;0;0;0;5,71;1,49;3,38
"omar";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"dettinger";0;0;27,44;0;0;0;0;0;0;0;0;0;0;0;0
"quotidien";0;0;1,28;1,91;4,31;0;0;2,57;0;4,2;0;0;0;0;0
"géant";0;0;0;0;0;1,33;0,39;7,71;0;0;0;0;0;6,7;0
"suggérer";0;3,42;0;0;0;0;0;0;0;0;0;0;11,43;7,45;0
"famille";0;0;0;3,82;5,38;3,98;1,16;0;0;0;0;0;0;0;5,63
"vivre";0;0;0;3,82;9,15;1,33;0;0;0;0;0;0;5,71;2,98;4,5
"comportement";0;0;8,93;0;0;0;0;0;0;4,2;0;0;0;0;1,13
"créer";0;3,42;0;5,74;2,15;0;0;0;33,11;0;0;0;0;0;0
"acteur";0;0;0;1,91;1,08;2,65;0;0;0;0;0;0;0;0;1,13
"sauver";0;0;0;0;0;3,98;19,35;2,57;13,25;8,4;0;0;0;0;1,13
"entraîner";0;0;0;0;0;0;10,06;0;0;0;0;0;0;0;1,13
"école";0;0;0;13,38;2,69;0;0;2,57;0;0;0;0;0;0;1,13
"syndicat";0;0;8,93;0;0;0;0;0;0;0;0;0;0;0;0
"julien";0;0;0;0;0,54;0;0;0;0;0;0;0;0;0;0
"cabrol";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"voyage";0;0;7,02;0;2,15;5,31;0;2,57;0;0;0;0;0;0;2,25
