"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"pen";-3,128;-0,028;1,838;8,638;-0,445;-0,337
"parcours";-2,5;6,066;-0,832;2,069;-0,356;-0,269
"nde";-0,065;6,42;-1,25;-0,444;-0,535;-0,405
"médium";-0,065;6,42;-1,25;-0,444;-0,535;-0,405
"musique";-3,128;3,833;1,838;-0,369;-0,445;-0,337
"monstre";2,274;0,008;-0,832;-0,295;-0,356;-0,269
"mondial";0,006;0,802;0,028;-0,369;-0,445;-0,337
"modifier";9,677;-1,816;-1,25;-0,444;-0,535;-0,405
"ministère";0,229;0,008;0,173;-0,295;-0,356;-0,269
"milieu";-0,718;-0,028;1,838;1,359;-0,445;-0,337
"menace";9,677;-1,816;-1,25;-0,444;-0,535;-0,405
"mathématique";0,006;0,802;0,028;-0,369;-0,445;-0,337
"manon";-1,203;-1,816;-1,25;55,23;-0,535;-0,405
"lumière";0,992;-0,028;0,028;-0,369;-0,445;-0,337
"louis";-3,756;0,352;4,566;0,909;-0,535;-0,405
"levallois";-3,756;-1,816;-1,25;81,926;-0,535;-0,405
"julia";-0,065;6,42;-1,25;-0,444;-0,535;-0,405
"islamique";-3,756;-1,816;-0,001;55,23;-0,535;-0,405
"installer";-1,203;-1,816;18,548;-0,444;-0,535;-0,405
"inspirer";2,039;0,352;-1,25;-0,444;-0,535;-0,405
"inexplicable";8,058;-1,512;-1,041;-0,369;-0,445;-0,337
"indiquer";8,058;-1,512;-1,041;-0,369;-0,445;-0,337
"inde";2,039;-0,142;-0,001;-0,444;-0,535;-0,405
"imaginer";0,992;-0,028;0,028;-0,369;-0,445;-0,337
"hypothèse";0,992;0,802;-1,041;-0,369;-0,445;-0,337
"homosexuel";-3,756;6,42;-0,001;0,909;-0,535;-0,405
"habitant";2,039;-1,816;1,106;-0,444;-0,535;-0,405
"futur";0,344;0,352;-0,001;-0,444;-0,535;-0,405
"fred";-2,5;1,627;3,039;-0,295;-0,356;-0,269
"fr";-1,874;-0,906;14,5;-0,221;-0,267;-0,202
"fondation";-3,756;-0,142;-1,25;55,23;-0,535;-0,405
"fondateur";-2,5;-1,209;9,431;2,069;-0,356;-0,269
"fameux";-0,065;2,444;-0,001;-0,444;-0,535;-0,405
"exposer";-0,065;-1,816;10,379;-0,444;-0,535;-0,405
"euro";-1,874;0,175;0,552;3,302;-0,267;-0,202
"espèce";5,15;-1,816;-0,001;-0,444;-0,535;-0,405
"entendre";0,344;0,352;-0,001;-0,444;-0,535;-0,405
"enfance";0,006;-0,028;1,838;-0,369;-0,445;-0,337
"eau";0,006;0,802;0,028;-0,369;-0,445;-0,337
"détruire";3,676;-1,512;0,028;-0,369;-0,445;-0,337
"droit";1,017;-0,906;-0,624;3,302;-0,267;-0,202
"dominique";-0,304;1,627;0,173;-0,295;-0,356;-0,269
"célèbre";-0,065;-0,142;4,566;-0,444;-0,535;-0,405
"couple";-3,128;16,67;-1,041;-0,369;-0,445;-0,337
"coup";-0,718;-1,512;13,927;-0,369;-0,445;-0,337
"coronavirus";-3,756;-1,816;-1,25;81,926;-0,535;-0,405
"contenir";2,039;-1,816;-0,001;0,909;-0,535;-0,405
"conséquence";-3,128;16,67;-1,041;-0,369;-0,445;-0,337
"code";8,058;-1,512;-1,041;-0,369;-0,445;-0,337
"coach";-3,756;12,279;-0,001;-0,444;-0,535;-0,405
"château";-1,203;-1,816;18,548;-0,444;-0,535;-0,405
"choix";-3,128;16,67;-1,041;-0,369;-0,445;-0,337
"chemin";0,992;-1,512;1,838;-0,369;-0,445;-0,337
"chat";-2,5;-1,209;19,349;-0,295;-0,356;-0,269
"caville";-3,756;-1,816;-1,25;81,926;-0,535;-0,405
"capacité";8,058;-1,512;-1,041;-0,369;-0,445;-0,337
"canular";-3,756;0,352;10,379;-0,444;-0,535;-0,405
"bois";-0,065;-0,142;4,566;-0,444;-0,535;-0,405
"bermudes";6,441;-1,209;-0,832;-0,295;-0,356;-0,269
"bender";4,827;-0,906;-0,624;-0,221;-0,267;-0,202
"beaugé";-3,128;-1,512;-1,041;68,216;-0,445;-0,337
"ballon";3,676;-1,512;-1,041;1,359;-0,445;-0,337
"aérien";3,676;-0,028;-1,041;-0,369;-0,445;-0,337
"avouer";-0,718;9,123;-1,041;-0,369;-0,445;-0,337
"attirer";5,15;-1,816;-0,001;-0,444;-0,535;-0,405
"atout";-0,065;6,42;-1,25;-0,444;-0,535;-0,405
"art";0,344;0,352;-0,001;-0,444;-0,535;-0,405
"armstrong";5,15;-1,816;-0,001;-0,444;-0,535;-0,405
"armin";-3,756;-1,816;-1,25;81,926;-0,535;-0,405
"application";-0,718;9,123;-1,041;-0,369;-0,445;-0,337
"antenne";-2,5;0,008;0,173;11,7;-0,356;-0,269
"animer";-3,128;9,123;0,028;-0,369;-0,445;-0,337
"afrique";-1,203;12,279;-1,25;-0,444;-0,535;-0,405
"activité";3,676;-0,028;-1,041;-0,369;-0,445;-0,337
"étonnant";0,992;-1,512;1,838;-0,369;-0,445;-0,337
"émettre";8,058;-1,512;-1,041;-0,369;-0,445;-0,337
"éloigner";-0,032;3,202;-0,624;-0,221;-0,267;-0,202
"électrique";4,827;-0,906;-0,624;-0,221;-0,267;-0,202
"zarzavatdjian";-3,128;16,67;-1,041;-0,369;-0,445;-0,337
"xxe";6,441;-1,209;-0,832;-0,295;-0,356;-0,269
"www";-3,128;-1,512;24,206;-0,369;-0,445;-0,337
"voyager";0,992;0,802;-1,041;-0,369;-0,445;-0,337
"volcanique";3,676;-0,028;-1,041;-0,369;-0,445;-0,337
"vitesse";0,229;0,008;0,173;-0,295;-0,356;-0,269
"vendredi";-3,128;0,802;1,838;1,359;-0,445;-0,337
"uzeel";-2,5;-1,209;-0,832;54,529;-0,356;-0,269
"téléphone";-3,128;9,123;0,028;-0,369;-0,445;-0,337
"triangle";6,441;-1,209;-0,832;-0,295;-0,356;-0,269
"toucher";-2,5;1,627;3,039;-0,295;-0,356;-0,269
"totalement";-3,128;0,802;6,471;-0,369;-0,445;-0,337
"thomas";-3,128;0,802;1,838;1,359;-0,445;-0,337
"tesla";4,827;-0,906;-0,624;-0,221;-0,267;-0,202
"surveiller";2,274;-1,209;-0,832;2,069;-0,356;-0,269
"suivant";-2,5;0,008;9,431;-0,295;-0,356;-0,269
"statue";8,058;-1,512;-1,041;-0,369;-0,445;-0,337
"spécialiser";-2,5;13,325;-0,832;-0,295;-0,356;-0,269
"souvenir";0,006;-0,028;1,838;-0,369;-0,445;-0,337
"souffle";-3,128;-1,512;-1,041;68,216;-0,445;-0,337
"soleil";2,274;0,008;-0,832;-0,295;-0,356;-0,269
"sol";6,441;-1,209;-0,832;-0,295;-0,356;-0,269
