"";"*anneedediff_1995";"*anneedediff_1996";"*anneedediff_1997";"*anneedediff_1998";"*anneedediff_1999";"*anneedediff_2000";"*anneedediff_2001";"*anneedediff_2002";"*anneedediff_2004";"*anneedediff_2005";"*anneedediff_2006";"*anneedediff_2007";"*anneedediff_2008";"*anneedediff_2009";"*anneedediff_2010";"*anneedediff_2011";"*anneedediff_2012";"*anneedediff_2013";"*anneedediff_2014";"*anneedediff_2015";"*anneedediff_2016";"*anneedediff_2017";"*anneedediff_2018";"*anneedediff_2019";"*anneedediff_2020";"*anneedediff_2021";"*anneedediff_2022";"*anneedediff_2023"
"semaine";0;0;0;0;0;0;1;0;0;0;0;0;0;1;2;1;3;0;0;0;2;6;8;1;1;1;0;1
"comédien";0;0;0;0;0;0;0;0;0;7;0;0;0;2;1;1;1;0;0;1;0;1;0;0;0;5;0;1
"différent";0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;2;2;0;0;3;1;1;0;1;1
"extra_terrestre";0;0;1;0;5;0;0;1;2;2;1;3;3;1;0;3;0;0;1;2;4;0;4;4;1;3;0;1
"inattendu";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;1;0;0;0;0;0;0;0;0;0;0;0
"monde";0;0;0;2;2;0;0;0;4;3;0;4;5;3;8;6;5;6;10;2;1;0;34;5;6;47;52;20
"roger";0;0;0;0;0;0;0;0;0;0;0;17;0;0;1;0;3;0;0;0;0;0;0;79;0;0;0;0
"visiteur";0;0;0;0;0;0;0;0;0;0;0;1;0;0;7;0;0;0;0;0;0;0;0;0;0;9;2;7
"naulleau";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11;0;0;0;0
"lilia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0
"désert";0;0;1;0;2;0;0;0;0;1;0;0;0;0;2;1;4;0;1;0;0;2;0;0;0;1;11;2
"humoriste";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;2;1;0;0;2;0;8
"s";1;0;7;2;2;1;6;0;2;4;0;32;15;1;20;7;16;6;16;8;7;5;12;12;4;14;10;10
"seulement";0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0
"ceux";0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;1;0;0;1;1;0;0;0;3;0;1;0;0
"former";0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;2;0;27
"situation";1;0;0;1;0;0;1;0;2;0;0;0;0;1;1;2;0;1;0;3;0;0;0;0;1;1;0;0
"perquisition";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0
"twiste";0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0
"esprit";0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;2;0;2;0;0;0;0;1;0;0;1;0
"succès";0;0;0;0;0;0;0;0;0;0;0;0;1;0;6;0;2;0;0;0;0;0;0;0;0;1;1;3
"tomber";0;0;0;2;1;0;1;0;0;1;0;0;1;1;4;0;4;1;3;1;4;0;1;0;0;0;2;2
"vouloir";1;0;0;0;0;1;1;0;0;0;0;4;4;2;13;1;3;1;1;0;0;5;2;0;0;0;1;5
