"";"X.anneedediff_1995";"X.anneedediff_1996";"X.anneedediff_1997";"X.anneedediff_1998";"X.anneedediff_1999";"X.anneedediff_2000";"X.anneedediff_2001";"X.anneedediff_2002";"X.anneedediff_2004";"X.anneedediff_2005";"X.anneedediff_2006";"X.anneedediff_2007";"X.anneedediff_2008";"X.anneedediff_2009";"X.anneedediff_2010";"X.anneedediff_2011";"X.anneedediff_2012";"X.anneedediff_2013";"X.anneedediff_2014";"X.anneedediff_2015";"X.anneedediff_2016";"X.anneedediff_2017";"X.anneedediff_2018";"X.anneedediff_2019";"X.anneedediff_2020";"X.anneedediff_2021";"X.anneedediff_2022";"X.anneedediff_2023"
"ligue";-0,0238;-0,0096;-0,0502;-0,0372;-0,0682;-0,0315;-0,106;-0,0085;-0,0378;-0,1813;-0,095;-0,4509;1,7326;-0,1038;11,0909;-0,3414;-0,2785;1,2015;-0,3414;-0,2207;-0,2448;0,8631;-0,8304;-0,8532;-0,2886;-0,7513;-1,4116;-1,1873
"corps";-0,0259;-0,0104;-0,0545;-0,0404;-0,0741;-0,0343;-0,1152;-0,0092;-0,0411;-0,1971;-0,1033;1,6418;-0,2721;-0,1128;1,7243;3,8361;-0,77;-0,1955;0,2407;0,3722;1,6596;-0,3116;0,873;-0,4182;-0,3137;-1,5228;-1,5344;-1,2905
"minute";-0,0352;-0,0142;-0,0742;-0,055;-0,1008;-0,0466;0,5187;-0,0126;-0,0559;-0,2681;-0,1405;-0,6667;0,6875;-0,1534;-0,9698;-0,1658;-1,0473;-0,266;-0,5047;-0,3262;-0,362;0,2054;-1,2277;-1,2614;0,2037;-1,2843;-2,087;19,3005
"cette";-0,0994;1,0545;0,4171;0,5218;-0,2849;-0,1316;-0,1361;-0,0355;-0,158;-0,3162;-0,3968;3,5103;-0,5089;-0,4333;0,3868;-1,4258;0,9172;-0,3124;0,3937;2,9079;0,3857;0,8649;0,6291;-1,0087;-0,3163;-0,4122;-1,6221;-1,1158
"solère";-0,0145;-0,0058;-0,0305;-0,0226;-0,0415;-0,0192;-0,0645;-0,0052;-0,023;-0,1104;-0,0578;-0,2745;-0,1524;-0,0632;-0,3993;-0,2078;-0,4312;-0,1095;-0,2078;-0,1343;-0,149;-0,1745;-0,5054;15,2243;-0,1757;-0,8527;-0,8592;-0,7226
"égyptien";-0,0114;-0,0046;-0,024;-0,0178;-0,0326;-0,0151;-0,0507;-0,0041;-0,0181;-0,0867;-0,0454;-0,2156;-0,1197;-0,0496;-0,3137;-0,1633;-0,3388;0,7454;0,504;-0,1055;-0,1171;-0,1371;-0,3971;-0,408;-0,138;-0,67;6,2924;-0,5678
"sommaire";-0,0165;-0,0067;-0,0349;-0,0259;-0,0474;-0,0219;-0,0737;-0,0059;-0,0263;-0,1261;0,8502;-0,3137;-0,1741;-0,0722;0,5678;0,3755;-0,1551;-0,1251;-0,2375;-0,1535;-0,1703;0,4339;0,4333;0,4188;1,1266;-0,1871;-0,982;0,2603
"nadia";-0,0186;-0,0075;-0,0393;-0,0291;-0,0534;-0,0247;-0,0829;-0,0067;-0,0296;-0,1419;-0,0744;-0,3529;-0,1959;-0,0812;-0,5134;-0,2672;-0,5544;-0,1408;-0,2672;-0,1727;-0,1916;-0,2244;-0,6499;-0,6677;10,9151;2,9584;-1,1047;-0,9291
"daam";-0,0186;-0,0075;-0,0393;-0,0291;-0,0534;-0,0247;-0,0829;-0,0067;-0,0296;-0,1419;-0,0744;-0,3529;-0,1959;-0,0812;-0,5134;-0,2672;-0,5544;-0,1408;-0,2672;-0,1727;-0,1916;-0,2244;-0,6499;-0,6677;10,9151;2,9584;-1,1047;-0,9291
"reportage";-0,0352;-0,0142;-0,0742;-0,055;-0,1008;-0,0466;-0,1567;-0,0126;-0,0559;-0,2681;-0,1405;-0,6667;-0,3701;-0,1534;3,6887;0,9785;-0,2323;0,9105;0,9785;2,2046;0,7018;1,822;-1,2277;-1,2614;0,2037;-1,2843;-2,087;-0,3357
"explorer";-0,0145;-0,0058;-0,0305;-0,0226;-0,0415;-0,0192;-0,0645;-0,0052;-0,023;-0,1104;-0,0578;-0,2745;-0,1524;-0,0632;-0,3993;-0,2078;-0,4312;0,652;-0,2078;-0,1343;-0,149;-0,1745;-0,5054;-0,5193;0,478;0,5621;-0,3643;4,4008
