"";"banalfreq";"X.anneedediff_1995";"X.anneedediff_1996";"X.anneedediff_1997";"X.anneedediff_1998";"X.anneedediff_1999";"X.anneedediff_2000";"X.anneedediff_2001";"X.anneedediff_2002";"X.anneedediff_2004";"X.anneedediff_2005";"X.anneedediff_2006";"X.anneedediff_2007";"X.anneedediff_2008";"X.anneedediff_2009";"X.anneedediff_2010";"X.anneedediff_2011";"X.anneedediff_2012";"X.anneedediff_2013";"X.anneedediff_2014";"X.anneedediff_2015";"X.anneedediff_2016";"X.anneedediff_2017";"X.anneedediff_2018";"X.anneedediff_2019";"X.anneedediff_2020";"X.anneedediff_2021";"X.anneedediff_2022";"X.anneedediff_2023"
"media";10;-0,0103;-0,0042;-0,0218;-0,0162;-0,0297;-0,0137;-0,0461;-0,0037;-0,0164;-0,0788;-0,0413;-0,196;-0,1088;-0,0451;0,8879;0,5384;-0,308;-0,0782;-0,1484;-0,0959;-0,1064;-0,1246;0,2483;0,2408;1,504;0,8772;-0,6137;-0,5161
"vers";15;-0,0155;-0,0063;-0,0327;-0,0243;-0,0445;-0,0206;-0,0691;-0,0055;-0,0247;-0,1183;-0,062;1,5811;0,504;-0,0677;0,6084;-0,2226;-0,1392;0,6258;-0,2226;-0,1439;0,512;0,4562;-0,5415;-0,5564;-0,1882;0,2201;-0,4051;0,2895
"aimer";16;-0,0165;-0,0067;-0,0349;-0,0259;-0,0474;-0,0219;-0,0737;-0,0059;-0,0263;-0,1261;-0,0661;0,2887;0,4811;-0,0722;-0,4563;1,0034;0,5224;-0,1251;1,0034;1,3304;1,2506;1,1316;-0,5777;-0,5935;-0,2008;-0,9745;-0,982;0,2603
"fr";10;-0,0103;-0,0042;-0,0218;-0,0162;-0,0297;-0,0137;-0,0461;-0,0037;-0,0164;-0,0788;-0,0413;-0,196;1,6174;-0,0451;0,3175;0,5384;0,2942;-0,0782;0,5384;-0,0959;-0,1064;0,603;0,2483;0,7105;-0,1255;-0,609;-0,6137;-0,5161
"téléspectateur";10;-0,0103;-0,0042;-0,0218;-0,0162;-0,0297;-0,0137;-0,0461;-0,0037;-0,0164;-0,0788;-0,0413;-0,196;-0,1088;-0,0451;0,3175;1,3722;0,2942;-0,0782;-0,1484;-0,0959;-0,1064;0,603;1,4006;0,2408;0,6004;-0,609;-0,6137;-0,5161
"véritable";18;-0,0186;-0,0075;-0,0393;-0,0291;-0,0534;-0,0247;0,7598;1,8181;-0,0296;0,5548;-0,0744;0,2547;0,44;0,7682;-0,5134;-0,2672;1,5097;-0,1408;-0,2672;-0,1727;0,4477;-0,2244;-0,2415;-0,6677;-0,2259;-0,2403;-0,2439;-0,1725
"international";11;-0,0114;-0,0046;-0,024;-0,0178;-0,0326;-0,0151;-0,0507;-0,0041;-0,0181;0,7423;-0,0454;-0,2156;-0,1197;-0,0496;0,2887;-0,1633;-0,3388;-0,086;-0,1633;-0,1055;-0,1171;0,5675;-0,3971;-0,408;-0,138;1,3454;-0,6751;1,5657
"événement";16;-0,0165;-0,0067;-0,0349;1,2377;-0,0474;-0,0219;-0,0737;-0,0059;-0,0263;-0,1261;0,8502;-0,3137;-0,1741;-0,0722;-0,4563;-0,2375;-0,4928;-0,1251;1,0034;-0,1535;-0,1703;-0,1994;0,4333;-0,5935;-0,2008;-0,1871;0,4506;1,5736
"effet";14;-0,0145;-0,0058;-0,0305;-0,0226;-0,0415;-0,0192;-0,0645;-0,0052;-0,023;-0,1104;-0,0578;0,3293;-0,1524;-0,0632;-0,3993;1,1046;0,6052;-0,1095;0,4199;-0,1343;0,5369;-0,1745;-0,5054;-0,1674;-0,1757;0,5621;-0,3643;0,3224
"docteur";11;-0,0114;-0,0046;1,2697;1,3964;-0,0326;-0,0151;-0,0507;-0,0041;-0,0181;-0,0867;-0,0454;1,0851;-0,1197;-0,0496;1,5409;-0,1633;-0,3388;0,7454;-0,1633;-0,1055;0,6265;0,5675;0,2224;-0,408;-0,138;-0,67;-0,6751;-0,5678
