"";"banalfreq";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_Gulli";"X.chaine_LaCinquième";"X.chaine_M6";"X.chaine_MonteCarloTMC";"X.chaine_NRJ12";"X.chaine_NT1";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1";"X.chaine_TFX"
"force";11;-0,0135;-0,1254;0,7546;-0,1941;-0,1717;0,2159;-0,7097;0,4526;-0,0688;-0,0054;0,6069;-0,148;-0,1912;-0,0424;-0,037;0,8161;-0,6156;0,1939;1,6088
"nes";15;-0,0185;-0,1711;-0,4707;-0,2647;1,38;0,9268;-0,4359;-0,2576;0,7113;-0,0074;-0,1682;1,2999;-0,2607;-0,0578;-0,0504;-0,0981;-0,8396;-0,6049;-0,0148
"08";17;-0,0209;-0,1939;1,57;-0,3;1,1282;-0,6292;-1,0969;-0,2919;-0,1064;-0,0084;-0,1906;0,6514;-0,2955;-0,0655;-0,0571;-0,1112;-0,9515;1,2396;-0,0167
"scientifique";38;-0,0468;-0,4335;-1,1927;0,3468;1,1308;-0,2054;-1,6018;0,3602;-0,2379;-0,0187;-0,4262;-0,9749;-0,6606;-0,1465;1,4602;1,7205;1,0921;0,6121;-0,0374
"quand";21;-0,0258;-0,2395;-0,659;1,3091;1,5757;0,2832;-0,7151;0,7103;-0,1314;-0,0103;1,8074;-0,9284;-0,365;1,8348;-0,0706;-0,1374;-1,1755;-0,8469;-0,0207
"décider";19;-0,0234;-0,2167;-0,5962;-0,3353;-0,275;-0,2734;-1,2259;-0,3263;1,5267;1,672;1,9286;-0,3576;1,4378;-0,0732;-0,0638;-0,1243;-1,0635;1,6557;-0,0187
"ville";14;-0,0172;0,512;-0,4393;-0,2471;-0,2896;0,4963;-0,3924;0,3715;0,7383;-0,0069;0,5181;-0,2209;0,3676;-0,054;-0,047;-0,0916;0,2854;-0,1912;-0,0138
"père";16;-0,0197;-0,1825;-0,502;-0,2824;0,813;0,4201;-1,0323;0,8997;-0,1001;-0,0079;-0,1794;-0,7073;1,6383;-0,0617;-0,0538;-0,1047;-0,8955;1,3256;-0,0157
"mal";11;-0,0135;0,6005;-0,3451;-0,1941;1,4474;0,2159;-0,7097;-0,1889;-0,0688;-0,0054;0,6069;-0,148;-0,1912;-0,0424;-0,037;-0,072;-0,6156;0,5945;-0,0108
"agir";21;-0,0258;-0,2395;-0,659;-0,3706;-1,0883;1,0608;0,2447;0,2486;-0,1314;-0,0103;0,3783;-0,1753;-0,365;0,7694;-0,0706;0,5666;0,613;0,5468;-0,0207
"4";11;-0,0135;-0,1254;-0,3451;-0,1941;-0,1717;0,2159;1,2715;-0,1889;-0,0688;-0,0054;-0,1233;0,5394;-0,1912;-0,0424;-0,037;-0,072;-0,6156;0,5945;-0,0108
"rappeler";13;-0,016;-0,1483;0,2153;-0,2294;1,7019;-0,4811;-0,3498;-0,2232;-0,0814;-0,0064;0,545;-0,5747;0,3919;-0,0501;-0,0437;-0,0851;-0,2822;0,4914;-0,0128
"pourquoi";17;-0,0209;-0,1939;-0,1766;-0,3;0,7284;1,3497;-1,0969;-0,2919;-0,1064;-0,0084;-0,1906;-0,301;-0,2955;-0,0655;0,9093;-0,1112;0,8507;-0,2615;-0,0167
"rapport";10;-0,0123;-0,114;-0,3137;-0,1765;-0,3676;-0,3701;-0,6452;-0,1717;-0,0626;-0,0049;-0,1121;1,1891;-0,1738;-0,0385;-0,0336;-0,0654;1,6103;0,657;-0,0098
"travail";11;-0,0135;-0,1254;0,7546;-0,1941;0,9006;0,6477;-0,7097;-0,1889;-0,0688;-0,0054;-0,1233;-0,148;-0,1912;-0,0424;-0,037;-0,072;-0,6156;0,5945;-0,0108
"part";14;-0,0172;0,512;0,1963;-0,2471;0,3127;1,641;-0,9033;0,3715;-0,0876;-0,0069;0,5181;-0,2209;-0,2433;-0,054;0,9887;-0,0916;-0,7836;-0,1912;-0,0138
"dossier";12;-0,0148;-0,1369;0,6949;1,0955;0,7891;-0,4441;-0,7742;-0,2061;-0,0751;-0,0059;-0,1345;-0,5304;-0,2085;-0,0463;-0,0403;-0,0785;0,3611;0,5398;-0,0118
"mener";11;-0,0135;-0,1254;-0,3451;-0,1941;0,9006;-0,4071;-0,2685;-0,1889;-0,0688;-0,0054;-0,1233;-0,4862;-0,1912;-0,0424;-0,037;-0,072;0,8572;1,1745;-0,0108
"puis";19;-0,0234;-0,2167;-0,2117;-0,3353;1,8571;1,797;-0,6191;-0,3263;-0,1189;-0,0093;-0,2131;-0,8399;-0,3302;-0,0732;-0,0638;-0,1243;-1,0635;1,0885;-0,0187
"moment";14;-0,0172;-0,1597;0,1963;-0,2471;0,6107;0,4963;-0,9033;0,9981;-0,0876;-0,0069;-0,157;0,8316;-0,2433;-0,054;-0,047;0,7209;-0,7836;-0,1912;-0,0138
