"";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_Gulli";"X.chaine_LaCinquième";"X.chaine_M6";"X.chaine_MonteCarloTMC";"X.chaine_NRJ12";"X.chaine_NT1";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1";"X.chaine_TFX"
"chef";0;2,08;0;0,68;0,59;0;0;0,69;0;0;0;0;0;0;0;1,8;0,45;0,3;0
"appeler";0;1,04;0;0;0,29;0;0;0,69;0;0;0;0,28;0;0;0;0;0,67;0,61;0
"qui";9,52;8,32;2,71;11,5;13,39;13,19;36,1;10,42;18,83;0;20,08;7,24;0;18,29;13,99;5,41;13,81;8,81;0
"falloir";0;0;1,16;0;1,03;0;0;0;0;0;1,06;0;0;0;0;0;0;0;0
"françois";0;3,12;0,39;2,71;0,44;0,66;0;2,08;0;0;0;1,39;0;0;0;0;0;0,61;0
"soucoupe";0;0;0;0;0,15;1,32;0,2;2,78;3,77;0;2,11;0;0;0;0;0;0;0,3;0
"nombre";0;0;0;0;0,29;0;0;0;0;0;0;0,28;0;0;6,99;0;0,89;0,3;0
"pizza";0;0;0;0,68;0;0;0;0;0;0;0;0;28,85;0;0;0;0;0;0
"l";9,52;42,62;19,33;38,57;30,16;44,85;27,71;44,48;28,25;71,43;22,2;27;2,75;27,44;24,48;18,02;27,63;22,79;35,71
"alexis";0;0;5,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"enlever";0;0;0;0;0;0;0,39;0;3,77;0;3,17;0;0;0;0;0;0;0,91;0
"prendre";0;0;0;0,68;1,62;2,64;0,78;0,69;0;0;3,17;0,28;28,85;3,05;0;0;0,45;1,82;0
"alors";9,52;0;0,39;0;0,59;2,64;0,59;0,69;0;0;4,23;0,56;2,75;3,05;0;0;0,22;1,82;11,9
"livreur";0;0;0;0,68;0;0;0;0;0;0;0;0;28,85;0;0;0;0;0;0
"état";0;2,08;0;0;0,15;0,33;0;0,69;0;0;0;0;0;0;0;0;3,12;0;0
"grave";0;1,04;0;0;0;0;9,56;0;0;0;0;0;0;0;0;0;0;0;0
"de";38,1;100,83;90,84;69,69;84,45;67,61;60,11;92,43;64,03;95,24;57,08;66,82;83,79;42,68;83,92;43,24;55,7;86,6;83,33
"du";0;32,22;32,86;13,53;15,89;13,85;0,59;21,54;11,3;23,81;11,63;14,2;1,37;12,2;0;10,81;12,92;22,49;0
"déage";0;0;0;6,77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bien";0;1,04;0,39;0;0,59;1,65;5,07;1,39;0;0;1,06;0;0;3,05;17,48;3,6;1,11;0,91;0
