"";"*chaine_6ter";"*chaine_ARTE";"*chaine_C8";"*chaine_Canal";"*chaine_France2";"*chaine_France3";"*chaine_France4";"*chaine_France5";"*chaine_Gulli";"*chaine_LaCinquième";"*chaine_M6";"*chaine_MonteCarloTMC";"*chaine_NRJ12";"*chaine_NT1";"*chaine_Numéro23";"*chaine_RMCDécouverteHD24";"*chaine_RMCStory";"*chaine_TF1";"*chaine_TFX"
"réputation";0;0;0;17;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
"voir";1;3;1;4;13;4;1;0;2;1;4;2;1;1;4;1;2;14;0
"légende";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;3;4;3;0
"force";0;0;2;0;2;1;0;1;0;0;1;1;0;0;0;1;0;1;1
"histoire";0;2;0;0;6;2;0;2;0;0;1;4;0;0;0;2;16;3;0
"propre";0;0;0;0;4;2;26;1;0;0;0;0;0;1;0;1;2;3;0
"nes";0;0;0;0;6;3;1;0;1;0;0;4;0;0;0;0;0;0;0
"aujourd_hui";0;0;0;0;8;2;26;5;1;0;2;1;0;1;3;1;7;2;0
"mes";0;0;0;0;1;2;0;0;0;0;0;0;0;0;2;0;3;2;0
"omar";0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0
"quotidien";0;0;2;1;8;0;0;1;0;0;1;1;0;0;0;0;0;0;0
"géant";0;0;0;0;0;1;1;3;0;0;0;0;0;0;0;0;9;0;0
"suggérer";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;0;0
"afin";0;1;0;0;0;2;0;0;0;0;3;1;0;0;0;0;1;1;1
"famille";0;0;0;2;10;3;3;0;0;0;0;0;0;0;0;0;0;5;0
"vivre";0;0;0;2;17;1;0;0;0;0;0;2;0;2;0;1;4;4;0
"comportement";0;0;14;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
"créer";0;1;0;3;4;0;0;0;5;0;0;1;0;1;0;0;0;0;0
"acteur";0;0;0;1;2;2;0;0;0;0;0;26;0;0;0;0;0;1;0
"sauver";0;0;0;0;0;3;50;1;2;0;2;0;0;0;0;0;0;1;0
"entraîner";0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;1;0
"école";0;0;0;7;5;0;0;1;0;0;0;1;0;1;0;0;0;1;0
"cabrol";0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0
"02";0;1;2;0;0;0;0;0;0;0;0;12;0;0;0;0;0;3;0
"voyage";0;0;11;0;4;4;0;1;0;0;0;2;0;0;0;0;0;2;0
"00";0;1;18;1;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0
"01";0;0;6;0;0;0;0;0;0;0;0;14;0;0;0;0;0;1;0
"06";0;0;2;2;0;0;0;0;0;0;0;6;0;0;0;0;0;5;0
"07";0;0;6;0;0;0;0;0;0;0;0;7;0;0;0;0;0;9;0
"04";0;0;4;0;0;0;0;0;0;0;0;10;0;0;0;0;0;4;0
"05";0;1;8;0;0;0;0;0;0;0;0;7;0;0;0;0;0;7;0
"08";0;0;4;0;6;0;0;0;0;0;0;3;0;0;0;0;0;4;0
"09";0;0;4;2;0;0;0;0;0;0;0;8;0;0;0;0;0;4;0
"une";2;8;8;15;112;56;174;15;5;1;30;33;12;8;1;8;78;57;2
"scientifique";0;0;0;2;11;3;1;2;0;0;0;1;0;0;2;3;8;5;0
"servir";0;0;0;0;3;1;1;0;0;0;0;0;0;0;0;1;5;0;0
"il";0;8;11;4;84;45;61;8;1;2;13;30;48;9;1;7;52;40;1
"théoricien";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;22;0;0
"quand";0;0;0;3;8;2;1;2;0;0;3;0;0;2;0;0;0;0;0
"livre";0;5;1;11;7;4;0;0;0;0;0;8;0;0;0;0;3;1;0
"elle";3;7;0;1;64;7;0;2;2;0;6;16;0;4;2;1;10;34;0
"revel";0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"super";0;0;0;2;1;0;55;4;0;0;0;0;0;0;0;0;0;0;0
"magazine";0;0;1;1;6;0;0;3;0;0;0;1;0;0;0;0;0;0;0
"lieu";1;0;0;0;3;2;0;0;3;0;1;0;0;0;0;0;1;4;0
"très";0;1;0;2;17;14;0;2;0;1;3;2;0;0;0;0;2;4;1
"mystérieux";0;0;0;0;2;2;0;0;0;0;0;0;1;0;0;2;11;1;0
"petit";0;0;0;1;20;14;156;8;0;0;4;10;0;0;0;0;0;13;0
"décider";0;0;0;0;3;1;0;0;2;1;3;1;3;0;0;0;0;5;0
"handicapé";0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"corbière";0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"dieu";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;2;0
"mazaurette";0;0;0;0;0;0;0;0;0;0;0;41;0;0;0;0;0;0;0
"laure";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;11;0
"ville";0;1;0;0;2;2;1;1;1;0;1;1;1;0;0;0;2;1;0
"etats";0;1;0;1;2;1;0;0;3;0;0;2;0;0;0;1;2;2;0
"père";0;0;0;0;5;2;0;2;0;0;0;0;3;0;0;0;0;4;0
"bon";0;0;0;0;8;1;0;2;0;0;1;2;0;1;0;0;0;1;0
"margot";0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"équipe";0;0;1;0;2;3;0;1;1;0;1;7;2;0;0;0;1;3;0
"vous";0;1;15;0;23;0;0;2;0;0;1;1;0;2;0;0;0;2;0
"sous";1;1;0;0;4;1;0;0;0;0;0;0;0;0;1;0;8;2;0
"clair";2;0;0;1;1;4;0;0;0;0;0;0;0;0;0;0;0;2;0
"mal";0;1;0;0;5;1;0;0;0;0;1;1;0;0;0;0;0;2;0
"avant";0;0;1;2;8;2;0;2;1;0;0;0;0;1;0;0;0;1;0
"spécialiste";0;13;0;0;8;0;0;1;0;0;1;15;0;0;0;2;0;2;0
"mais";0;0;1;5;16;10;33;6;3;0;2;2;1;4;0;0;13;12;0
"main";0;1;0;0;1;6;0;0;0;0;0;1;0;0;0;0;0;2;0
"ancien";0;1;35;0;7;3;23;3;0;0;1;6;0;0;4;7;61;6;0
"agir";0;0;0;0;1;4;3;1;0;0;1;2;0;1;0;1;4;3;0
"11";0;1;3;1;1;1;0;0;0;0;0;11;0;0;0;0;1;3;0
"10";0;1;3;0;1;2;0;0;0;0;0;5;0;0;0;0;0;6;0
"13";0;2;2;0;1;1;0;3;0;0;0;6;0;0;0;0;0;1;0
"12";0;1;3;1;8;0;0;0;0;0;0;10;0;0;0;0;0;3;0
"15";0;1;3;1;1;0;0;1;0;0;0;12;0;0;0;0;0;1;0
"17";0;0;3;1;8;0;0;0;0;0;0;4;0;0;0;0;0;0;0
"16";0;1;4;1;2;0;0;1;0;0;0;6;0;0;0;0;0;0;0
"19";0;1;0;30;0;0;0;2;0;0;0;82;0;0;0;0;0;5;0
"18";0;0;0;0;1;0;0;2;0;0;0;5;0;0;0;0;0;2;0
"trace";0;4;0;0;2;1;0;0;0;0;0;0;0;0;0;0;2;1;0
"extraire";0;0;6;4;7;1;0;12;0;0;4;52;0;0;0;0;0;26;0
"nouveau";0;3;2;5;12;4;1;4;3;0;3;11;42;1;0;1;11;2;2
"débarquer";0;0;0;0;1;6;1;0;0;0;1;1;0;0;0;0;0;2;0
"parent";0;0;0;3;16;2;26;1;0;0;1;1;0;0;0;0;0;1;0
"je";0;0;0;1;5;4;0;0;0;0;0;0;0;0;0;0;0;1;0
"lopez";0;0;14;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
"rugby";0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"tous";0;2;3;1;18;12;26;4;0;0;0;6;0;2;0;0;1;4;0
"tout";0;1;1;0;31;8;1;4;3;0;4;3;1;0;0;1;10;11;0
"côté";0;1;1;0;3;5;26;0;1;0;1;0;0;0;0;0;2;5;0
"capable";0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;5;0;0
"lorsque";0;0;0;0;1;4;27;0;0;0;1;0;0;0;0;0;2;1;0
"mars";0;0;1;0;8;0;1;1;0;0;0;2;0;0;0;1;0;2;0
"delage";0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"pas";1;1;14;2;29;10;55;10;2;0;4;9;0;0;0;2;12;11;0
"new_yorkais";0;0;0;1;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0
"4";0;0;0;0;2;1;4;0;0;0;0;2;0;0;0;0;0;2;0
"davant";0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mot";0;0;0;0;2;3;0;3;0;0;2;0;0;0;0;0;1;0;0
"christine";0;0;12;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rappeler";0;0;1;0;6;0;1;0;0;0;1;0;1;0;0;0;1;2;0
"ex_membre";0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"fils";0;0;0;0;1;0;0;1;0;0;2;1;3;0;0;0;0;3;0
"citation";0;1;26;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
"pourquoi";0;0;1;0;5;4;0;0;0;0;0;1;0;0;1;0;4;1;0
"film";0;0;0;2;21;7;0;0;0;0;3;11;0;0;0;0;1;11;0
"important";0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;5;1;0
"revenir";0;0;1;3;5;3;0;0;0;0;1;5;0;0;0;0;10;4;0
"révéler";0;0;1;0;1;4;0;0;0;0;0;0;0;0;1;0;10;1;0
"public";0;1;0;0;8;1;0;1;0;0;0;0;0;0;0;0;1;2;0
"à";3;46;6;31;200;94;145;31;21;2;28;63;9;16;5;9;71;58;6
"agathe";0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"des";0;18;77;46;172;74;87;35;14;1;8;47;3;6;18;47;248;89;4
"récit";0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;6;1;0
"csa";0;0;12;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"rapport";0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;4;2;0
"par";0;5;5;8;83;28;33;14;9;2;14;18;4;1;0;3;36;23;1
"trois";0;0;0;0;3;7;0;1;0;0;0;0;0;0;0;0;0;2;0
"24";0;0;3;1;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0
"25";0;1;1;2;3;0;0;1;0;0;0;6;0;0;0;0;0;2;0
"26";0;2;3;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0
"27";0;0;2;5;0;0;0;1;0;0;0;7;0;0;0;0;0;1;0
"21";0;1;20;2;1;0;0;1;0;0;0;45;0;0;0;0;0;0;0
"22";0;2;20;2;1;0;0;0;0;0;0;6;0;0;0;0;0;0;0
"23";0;0;20;2;0;0;0;2;0;0;0;10;0;0;0;0;0;1;0
"28";0;0;3;2;0;1;0;0;0;0;0;7;0;0;0;0;0;1;0
"29";0;1;1;1;2;0;0;0;0;0;0;5;0;0;0;0;0;2;0
"etienne";0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0
"association";0;0;0;0;7;1;0;2;0;0;0;0;0;0;0;0;0;1;0
"porte";0;1;15;0;2;0;0;1;0;0;0;8;0;0;0;0;2;1;0
"président";0;1;12;0;4;0;0;2;0;0;0;12;0;0;0;0;1;1;0
"troisième";0;0;15;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
"dont";0;1;1;1;8;6;1;1;0;0;1;0;0;0;0;0;1;7;0
"travail";0;0;2;0;4;2;0;0;0;0;0;1;0;0;0;0;0;2;0
"pari";0;1;1;1;12;0;0;0;0;0;0;4;0;1;0;0;0;1;0
"part";0;1;1;0;3;4;0;1;0;0;1;1;0;0;1;0;0;1;0
"dossier";0;0;2;2;4;0;0;0;0;0;0;0;0;0;0;0;2;2;0
"gasnier";0;0;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0
"recevoir";0;0;1;0;9;5;0;7;0;0;0;1;0;1;0;1;2;2;0
"expert";0;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;1;1;0
"point";0;6;2;0;6;0;0;0;0;0;0;5;0;0;3;0;2;2;0
"secret";0;0;0;1;2;1;0;0;0;0;1;0;0;0;1;2;6;2;0
"mener";0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;3;3;0
"puis";0;0;1;0;8;5;1;0;0;0;0;0;0;0;0;0;0;4;0
"moment";0;0;1;0;4;2;0;2;0;0;0;3;0;0;0;1;0;1;0
"travers";0;0;0;2;1;1;1;1;2;0;0;1;0;1;0;0;1;2;0
"entre";0;2;0;0;4;2;0;2;0;0;3;8;0;0;0;0;2;6;0
"y";0;3;3;1;11;13;0;4;4;0;0;9;0;0;1;3;8;9;0
"depuis";0;0;0;1;8;6;0;3;0;0;2;4;1;2;1;1;14;6;0
"jimmy";0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"dewalle";0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"avenir";0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;3;0;0
"conseil";1;0;0;1;3;0;0;3;0;0;0;2;0;0;0;0;0;2;0
"travailler";0;2;0;0;5;1;0;0;0;0;0;4;0;0;0;0;0;2;0
"lointain";0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;8;2;0
"elles";0;1;0;1;9;0;0;0;2;0;0;0;0;0;0;2;13;1;0
"invité";0;6;9;10;8;0;0;5;0;0;0;21;0;0;0;0;0;1;0
"objet";0;0;0;0;4;9;0;0;1;0;1;2;0;0;0;0;9;1;0
"39";0;3;1;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0
"38";0;0;2;1;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0
"33";0;1;1;1;0;0;0;0;0;0;0;9;0;0;0;0;0;1;0
"31";0;0;2;2;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0
"30";0;1;3;1;0;0;0;4;0;0;0;13;0;0;0;0;0;5;0
"35";0;0;4;1;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0
"souvent";0;0;1;0;8;2;0;0;0;0;0;1;0;0;0;0;4;0;0
"terrien";0;0;0;0;0;1;26;2;0;0;0;0;0;0;0;0;0;3;2
"laurie";0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"chien";0;0;0;0;1;7;0;0;0;0;1;1;0;0;0;0;0;0;0
"extrait";0;0;1;0;5;1;0;0;0;0;0;12;0;0;0;0;0;4;0
"le";1;23;49;44;181;105;88;72;18;2;27;87;11;4;7;13;119;120;4
"la";3;60;68;57;244;93;124;56;21;0;30;133;13;10;14;25;120;110;4
"eux";0;0;0;0;5;1;0;1;0;0;1;0;0;0;0;1;3;2;0
"identifier";0;0;0;5;1;1;0;0;0;0;3;1;0;0;0;0;11;3;0
"lfi";0;0;13;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
"expliquer";0;0;0;0;15;10;1;1;0;0;0;4;0;0;0;0;1;4;0
"réseau";0;0;0;5;1;0;0;1;0;0;0;2;0;0;0;0;1;0;0
"là";0;0;0;0;0;2;1;1;3;1;2;1;0;1;0;0;3;2;0
"que";1;1;5;4;49;25;4;9;7;0;12;7;0;3;5;10;67;29;1
"écrire";0;0;0;1;4;3;0;0;0;0;1;0;0;0;0;0;0;3;0
"auproux";0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mélenchon";0;1;23;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
"bernard";0;0;12;0;10;1;0;0;0;0;0;0;0;0;0;0;0;1;0
"beau";0;0;0;0;6;3;0;0;0;0;1;1;0;0;0;0;0;1;0
"sembler";2;0;0;0;1;1;0;0;0;0;2;1;0;0;0;1;4;4;0
"cacher";0;0;0;0;2;1;0;1;0;0;2;0;0;0;0;2;4;7;0
"comment";0;0;0;1;18;3;0;3;0;0;0;4;0;3;0;0;0;1;0
"annonce";0;0;0;0;1;2;0;1;0;0;0;3;0;0;0;0;0;4;0
"agnès";0;6;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0
"moyen";0;5;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"provoquer";0;1;0;0;2;1;77;0;1;0;0;1;0;0;0;0;0;1;0
"système";0;0;0;2;5;0;0;0;0;0;0;1;0;0;0;0;11;0;0
"toutes";0;0;1;0;3;2;0;0;0;0;1;0;0;0;0;0;3;1;0
"j";0;0;0;1;12;4;0;0;0;0;1;0;0;0;0;0;0;2;0
"48";0;0;6;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0
"47";0;1;4;1;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0
"44";0;0;10;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0
"45";0;1;7;0;0;3;0;0;0;0;0;6;0;0;0;0;0;0;0
"42";0;2;1;2;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0
"40";0;2;6;2;4;5;0;0;0;0;0;4;0;0;0;0;0;1;0
"membre";0;0;28;0;1;0;0;3;0;0;0;0;1;0;0;0;0;0;0
"parole";0;0;15;0;1;0;0;1;0;0;0;9;0;0;0;0;0;1;0
"philippe";0;0;2;0;7;1;0;1;0;0;0;1;0;0;0;0;0;0;0
"même";0;1;0;0;4;2;2;2;4;0;1;0;1;1;3;1;9;3;0
"pendant";0;0;1;0;4;3;1;1;3;0;1;1;0;2;0;1;1;4;0
"mois";0;1;0;0;5;0;0;3;0;0;0;1;0;0;0;0;0;2;0
"me";0;0;14;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"naître";0;0;0;2;5;0;26;1;0;0;0;0;0;0;0;0;0;0;0
"mi";0;0;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"enquête";0;3;0;2;2;0;0;5;0;0;0;1;0;2;0;0;4;3;0
"nouvelle";0;0;1;0;4;0;3;0;0;0;1;1;0;0;0;0;1;2;0
"mettre";1;0;0;1;7;4;0;3;2;0;1;1;0;0;0;0;3;2;0
"autre";0;0;0;1;3;5;0;0;0;0;1;0;1;0;0;0;2;6;1
"construire";0;0;0;3;1;1;0;0;1;0;0;0;0;0;0;0;9;0;0
"émission";0;2;0;3;10;4;0;2;0;0;2;10;0;1;0;0;1;10;0
"coeur";0;0;0;0;3;0;1;1;3;0;1;2;0;1;0;0;0;1;0
"claude";0;0;13;2;5;5;1;1;0;0;0;0;0;0;0;0;0;4;0
"présidentiel";0;3;1;0;0;0;0;2;0;0;0;8;0;0;0;0;0;0;0
"âge";0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;7;2;0
"manquer";0;0;0;1;4;0;26;0;0;0;0;0;0;0;0;0;0;0;0
"2999";0;0;0;1;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0
"bande";0;0;1;0;9;3;0;0;0;0;0;1;0;0;0;0;0;1;0
"59";0;0;3;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0
"55";0;0;4;1;0;0;0;0;0;0;1;12;0;0;0;0;0;0;0
"54";0;0;7;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0
"56";0;0;6;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0
"53";0;0;3;1;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0
"52";0;0;1;3;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0
"57";0;1;4;1;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0
"50";0;0;7;2;5;0;0;0;0;0;0;7;0;0;0;0;1;2;0
"humanité";0;0;0;0;0;1;0;2;0;0;0;0;0;0;2;2;17;0;0
"gouvernement";0;0;1;0;0;0;0;0;0;0;0;4;1;0;0;3;9;0;0
"plus";2;3;3;2;25;9;3;7;1;0;6;9;0;2;2;0;54;11;1
"antique";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;11;0;0
"entrepreneur";0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"exister";0;0;1;1;2;0;0;0;0;0;2;3;0;0;0;0;6;1;0
"peret";0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"actuel";0;1;0;2;1;0;0;1;0;0;0;1;0;0;0;0;8;0;0
"retour";0;1;4;2;2;1;0;6;0;0;0;11;1;0;0;0;0;1;0
"cnews";0;0;16;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0
"élément";0;0;0;1;4;0;0;1;0;0;0;1;0;0;0;0;3;0;1
"groupe";0;0;0;4;4;1;0;0;1;0;0;2;0;0;0;0;1;1;0
"entier";0;0;0;0;1;1;0;0;3;0;0;0;0;0;0;4;14;0;0
"humour";0;1;2;0;3;0;52;0;0;0;1;4;0;0;0;0;0;0;0
"frédéric";0;10;0;0;5;8;0;0;0;0;0;9;0;0;0;0;0;2;0
"boucher";0;0;10;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"courir";0;0;0;0;10;1;26;0;0;0;0;0;0;0;0;0;0;1;0
"haut";0;0;14;0;1;2;0;2;0;0;0;2;0;1;0;0;0;0;0
"1";0;0;5;0;7;1;0;0;0;0;0;4;0;0;0;0;0;0;0
"nombreux";0;0;2;0;4;1;78;1;0;0;0;1;0;0;1;2;8;0;0
"apporter";0;1;0;1;2;0;0;0;0;0;1;0;0;1;0;1;4;0;0
"revue";0;0;0;1;4;1;0;0;0;0;0;4;0;0;0;0;0;0;0
"cnrs";0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;4;0
"trop";0;0;0;0;1;4;2;1;1;0;0;0;1;0;0;0;0;1;0
"sse";0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0
"20";0;18;23;0;0;0;0;5;0;0;3;90;0;0;0;0;0;5;0
"devoir";0;1;6;5;9;2;1;1;5;0;2;1;0;1;0;1;3;4;0
"ne";2;2;17;4;48;26;78;10;1;0;16;31;0;2;0;1;21;27;2
"chercheur";0;5;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;1;0
"départ";0;0;0;1;0;0;0;1;0;0;0;1;42;0;0;0;0;0;0
"peu";1;0;1;1;4;3;0;0;0;0;0;2;0;0;0;0;0;1;0
"bellver";0;0;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0
"porter";0;0;1;1;6;0;0;1;0;0;0;0;0;0;0;0;0;1;0
"on";0;0;2;6;28;6;1;2;0;0;2;2;0;3;4;2;6;10;0
"ou";0;3;4;6;18;17;0;5;0;0;2;2;0;2;2;1;11;3;0
"celui";0;0;0;0;5;1;0;0;1;0;1;0;0;1;0;0;0;1;0
"envoyer";0;0;0;0;3;1;2;1;0;0;0;2;1;0;0;1;0;2;0
"alain";0;0;0;1;5;3;0;3;0;0;0;0;0;0;0;0;0;1;0
"avec";2;6;25;11;62;25;55;7;1;0;11;17;0;5;1;10;18;36;1
"phénomène";0;0;1;9;16;4;0;1;0;0;1;1;0;0;0;0;13;5;0
"5";0;1;1;0;6;2;0;4;0;0;1;0;0;1;0;0;1;1;0
"péril";0;0;0;0;0;0;49;0;0;0;0;0;0;0;0;0;0;0;0
"pté";0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0
"sud";0;4;0;0;2;0;0;0;0;0;0;1;0;0;0;0;2;1;0
"sur";3;13;30;33;84;43;108;30;1;0;12;95;4;5;1;6;77;59;0
"christian";0;0;0;0;7;1;0;0;0;0;0;2;0;0;0;0;0;0;0
"grâce";1;1;0;1;4;1;26;1;0;0;0;0;0;0;0;0;0;1;1
"enfant";2;0;0;4;21;3;0;5;3;0;0;0;0;0;0;1;0;3;1
"vaisseau";0;0;0;0;0;8;2;0;3;0;1;0;0;0;0;1;4;5;0
"différents";0;1;1;0;6;2;0;0;0;0;0;0;0;0;0;1;0;3;0
"bout";0;5;0;0;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"affrontement";0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"blanc";0;0;0;0;1;1;0;1;0;0;0;4;0;0;0;0;3;6;0
"passer";0;1;0;3;5;3;0;2;0;0;0;7;0;1;0;1;22;6;0
"professeur";0;0;0;0;7;0;0;0;2;0;2;1;0;2;0;0;0;7;0
"dans";2;8;5;13;79;52;37;18;4;1;11;36;30;4;4;7;92;41;1
"maison";0;0;0;0;4;0;1;2;0;0;1;1;0;0;0;0;2;9;0
"arriver";0;0;0;0;6;4;0;0;1;0;1;1;1;0;0;0;1;1;0
"tourner";0;0;0;1;2;2;0;1;0;0;0;3;0;0;0;0;0;1;0
"vincent";0;0;6;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0
"matin";0;0;0;0;5;0;0;1;0;0;0;3;0;0;0;0;0;3;0
"raconter";0;0;0;2;13;4;0;0;0;0;1;1;0;0;0;0;3;6;0
"année";0;0;8;0;13;6;0;1;0;0;0;1;0;0;0;0;19;3;0
"c";1;3;1;5;12;12;0;12;2;0;3;12;0;1;0;0;4;5;0
"moins";0;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0;5;1;0
"plateau";0;0;2;2;10;8;0;1;0;0;2;2;0;0;0;0;0;10;0
"rien";1;0;0;0;3;4;0;0;0;0;0;0;0;0;0;0;0;3;0
"réveiller";0;0;0;1;0;0;0;1;0;0;0;0;42;0;0;0;0;0;0
"anne";0;0;1;0;2;0;0;2;0;0;0;16;0;0;0;0;0;1;0
"savoir";0;0;0;1;5;2;1;1;0;0;0;1;0;2;4;0;4;2;0
"question";0;4;3;1;9;1;0;5;0;0;0;3;0;0;0;0;5;0;0
"long";0;0;0;1;4;0;0;0;0;0;0;0;0;1;0;2;4;1;0
"présentation";0;2;1;1;7;1;0;2;0;0;0;3;0;0;0;0;0;0;0
"nasa";0;0;0;1;0;0;0;1;0;0;0;9;1;0;0;1;1;0;0
"yves";0;0;0;0;10;3;0;1;0;0;0;0;0;0;0;0;0;4;0
"théâtre";0;0;1;0;6;1;0;0;0;0;0;1;0;1;0;0;2;0;0
"chose";0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;7;0
"olivier";0;3;1;5;6;1;0;1;0;0;0;1;0;0;0;0;0;0;0
"claviere";0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"figure";0;0;0;0;0;0;26;0;0;0;0;1;0;0;0;2;1;0;0
"patron";0;0;11;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
"fédération";0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"nuit";0;0;0;0;3;1;1;0;0;0;1;1;0;0;0;1;1;2;0
"permettre";0;0;2;1;6;1;1;1;0;0;0;0;0;0;2;1;4;1;0
"tsoukalos";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0
"polémiste";0;0;11;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
"galley";0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"pomart";0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"encore";0;0;0;0;0;3;0;2;0;0;0;0;0;0;1;0;6;2;0
"xavier";0;1;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;3;0
"durant";0;0;1;2;0;1;0;0;0;0;0;1;42;0;0;0;0;1;0
"rendre";2;0;1;1;11;2;2;0;5;0;1;2;0;1;0;0;7;8;0
"qu";2;1;1;1;45;14;5;5;2;0;12;2;3;4;0;0;21;36;0
"partie";0;0;1;0;4;1;0;1;0;0;0;4;0;0;0;0;7;1;1
"partir";0;4;2;0;3;2;1;3;1;0;0;6;0;0;0;2;1;1;0
"marier";0;0;0;0;7;1;0;1;1;0;0;2;0;0;0;0;0;3;0
"joe";0;0;14;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
