"";"X.genre_Cultureconnaissance";"X.genre_Fiction";"X.genre_Jeunesse";"X.genre_Sport";"X.genre_Variétésdivertissement"
"tout";2,27;1,51;1,65;0;5,6
"autour";0,76;0,1;0;4,57;2,8
"entourer";0,31;0;0;0;0
"starfire";0;4,49;0;0;0
"new_yorkais";0;1,41;0;0;0
"4";0,25;0,16;0;0;0
"mot";0,31;0,1;0;0;2,8
"mon";0,5;0;0;0;5,6
"luthor";0;0,36;0;0;0
"christine";0,38;0;0;0;0
"journée";0,19;0,03;0;0;14,01
"titan";0;3,57;0;0;0
"soudain";0;0,36;0;0;0
"gorg";0;0;23,06;0;0
"venir";1,1;1,74;0;4,57;0
"fils";0,44;0,59;0;0;0
"citation";1,38;0;0;0;0
"pourquoi";0,35;0,07;0;0;5,6
"eliot";0;0,72;0;0;0
"film";1,42;0,1;0;0;0
"important";0,28;0,16;0;0;0
"emily";0,03;0,49;0;0;0
"revenir";0,76;0,33;0;0;5,6
"poilu";0,03;0;23,06;0;0
"révéler";0,41;0,13;0;0;0
"public";0,66;0;0;0;0
"à";17,59;19,33;3,29;31,96;2,8
"agathe";0,38;0;0;0;0
"des";25,36;14,25;23,06;41,1;11,2
"csa";0,44;0;0;0;0
"civilisation";0,41;0,1;0;0;0
"delage";0,41;0;0;0;0
"trois";0,16;0,36;0;0;0
"théâtre";0,5;0;0;0;0
"24";0,66;0;0;0;0
"25";0,63;0;0;0;0
"26";0,66;0,1;0;0;0
"27";0,69;0;0;0;0
"22";1,13;0;0;0;0
"23";1,26;0;0;0;0
"28";0,72;0;0;0;0
"29";0,53;0,03;0;0;0
"etienne";1,26;0,03;0;0;0
"robbie";0,06;0,46;0;0;0
"porte";1,01;0,36;0;9,13;0
"président";1,1;0,07;0;0;0
"troisième";0,6;0,03;0;0;0
"dont";0,47;0,39;1,65;0;0
"donc";0,31;0,16;0;0;0
"cirque";0,03;2,72;0;0;0
"pari";0,79;0,1;0;0;0
"part";0,31;0,16;0;9,13;0
"john";0,16;0,26;0;0;0
"gasnier";1,51;0;0;0;0
"recevoir";0,6;0,16;1,65;0;0
"relation";0,16;0,16;0;0;0
"témoignage";0,5;0,03;0;0;0
"express";0,16;0,16;0;0;0
"expert";0,31;0,03;0;0;0
"point";0,82;0,16;0;4,57;0
"léo";0,82;0,03;0;0;0
"secret";0,72;0,29;0;0;0
"cyborg";0;1,8;0;0;0
"puissant";0,25;0,13;0;0;0
"mener";0,28;0,26;0;0;0
"puis";0,31;0,13;0;0;2,8
"moment";0,47;0,16;0;0;0
"travers";0,28;0,23;0;0;0
"entre";0,66;0,59;0;0;2,8
"salvatore";0,31;0;0;0;2,8
"y";1,7;0,98;0;0;0
"délirant";0,03;0,03;23,06;0;0
"source";6,76;11,86;28,01;27,4;16,81
"ça";0,28;0,16;0;0;2,8
"peu";0,38;0,36;0;0;0
"depuis";1,16;0,36;0;0;5,6
"jimmy";0,35;0;0;0;0
"aliens";0,19;0,69;0;0;0
"dewalle";0,47;0;0;0;0
"avenir";0,38;0,03;0;0;0
"conseil";0,31;0,03;3,29;0;0
"travailler";0,38;0,07;0;0;0
"lointain";0,25;2,79;0;0;0
"elles";0,94;0,16;0;0;0
"armée";0,19;0,16;0;0;2,8
"invité";2,3;0;0;0;0
"brainiac";0;0,46;0;0;0
"ennemi";0;0,43;0;0;0
"objet";0,41;0,2;0;0;0
"lorenzo";0;0,36;0;0;0
"crop";0,03;0,29;0;0;0
"39";0,53;0;0;0;0
"38";0,47;0;0;0;0
"33";0,69;0;0;0;0
"32";0,6;0;0;0;0
"31";0,66;0;0;0;0
"30";0,91;0;0;0;0
"37";0,41;0;0;0;0
"36";0,47;0;0;0;0
"34";0,44;0;0;0;0
"composer";0,13;0,23;0;0;0
"train";0,22;0,2;0;0;0
"souvent";0,41;0,2;0;0;0
"terrien";0,06;3,05;0;0;0
"laurie";0,31;0;0;0;0
"extrait";1,04;0,03;0;0;0
"le";23,44;17,96;32,95;36,53;16,81
"la";31,3;24,15;32,95;27,4;28,01
"eux";0,28;0,29;1,65;0;0
"oggy";0;0;23,06;0;0
"image";0,88;0,16;0;0;0
"tuer";0,06;0,49;0;0;0
"identifier";0,57;0,23;0;0;0
"lfi";0,47;0;0;0;0
"expliquer";0,38;0,23;0;0;0
"réseau";0,31;0;0;0;0
"là";0,25;0,62;0;0;0
"que";5,54;6,88;0;4,57;0
"qui";8,43;16,68;24,71;4,57;22,41
"parvenir";0,13;0,39;0;0;0
"publier";0,35;0;0;0;0
"auproux";0,38;0;0;0;0
"seines";0,44;0;0;0;0
