"";"X.genre_Cultureconnaissance";"X.genre_Fiction";"X.genre_Jeunesse";"X.genre_Sport";"X.genre_Variétésdivertissement"
"université";0,8179;-0,7236;-0,0626;-0,0225;-0,0367
"lancer";0,4762;-0,399;-0,0876;-0,0315;-0,0514
"ovni";3,4015;-3,7053;-0,2964;-0,1066;1,2161
"adopter";-20,9318;22,258;-0,359;-0,1291;-0,2107
"sy";7,2125;-6,8315;-0,1001;-0,036;-0,0588
"liste";2,227;-2,082;-0,0459;-0,0165;-0,0269
"âge";0,4009;-0,3441;-0,0584;-0,021;-0,0343
"jaune";5,5325;-5,1984;-0,096;-0,0345;-0,0563
"maintenant";-0,5394;0,6127;-0,0542;-0,0195;-0,0318
"laurent";2,227;-3,1307;-0,0459;-0,0165;1,2208
"réaliser";1,575;-1,4058;-0,0918;-0,033;-0,0539
"courir";-19,4274;20,7898;-0,3925;-0,1412;-0,2304
"rubrique";1,1329;-3,4153;-0,0501;5,0603;-0,0294
"trouver";-0,6769;0,8589;-0,2379;-0,0856;-0,1396
"mohammed";3,3052;-3,1307;-0,0459;-0,0165;-0,0269
"j";3,0317;-3,9846;-0,0584;-0,021;1,1197
"média";3,9063;-3,6999;-0,0542;-0,0195;-0,0318
"preuve";7,1699;-6,7087;-0,1377;-0,0495;-0,0808
"macron";4,5073;-4,2693;-0,0626;-0,0225;-0,0367
"luc";7,5256;-7,0807;-0,1252;-0,045;-0,0735
"lui";-4,0792;4,8638;-0,5596;-0,2013;-0,3285
"ukrainien";3,3052;-3,1307;-0,0459;-0,0165;-0,0269
"police";5,9989;-5,5526;-0,1502;-0,054;-0,0882
"animateur";2,673;-2,4794;-0,0668;-0,024;-0,0392
"paranormal";1,2584;-1,1573;-0,0417;-0,015;-0,0245
"vinci";7,8137;-7,401;-0,1085;-0,039;-0,0637
"carrière";1,2584;-1,1573;-0,0417;-0,015;-0,0245
"examiner";3,5784;-3,3548;-0,0668;-0,024;-0,0392
"46";4,2068;-3,9846;-0,0584;-0,021;-0,0343
"femme";0,6146;-0,4779;-0,2087;-0,0751;-0,1225
"région";1,2584;-1,1573;-0,0417;-0,015;-0,0245
"moins";2,227;-2,082;-0,0459;-0,0165;-0,0269
"persuader";-3,3529;3,6425;-0,1043;-0,0375;-0,0612
"yacine";4,5073;-4,2693;-0,0626;-0,0225;-0,0367
"général";2,8296;-2,5038;-0,1753;-0,063;-0,1029
"eau";15,6665;-14,7771;-0,2421;-0,0871;-0,1421
"étude";0,762;-0,6875;-0,0417;-0,015;-0,0245
"laporte";3,6058;-3,4153;-0,0501;-0,018;-0,0294
"inconnu";-0,564;0,6334;-0,0459;-0,0165;-0,0269
"chercher";-1,3677;1,5575;-0,1168;-0,042;-0,0686
"eric";11,0766;-10,3935;-0,1962;-0,0706;-0,1151
"pernin";3,0047;-2,846;-0,0417;-0,015;-0,0245
"arrêter";-0,7155;0,7995;-0,0501;-0,018;-0,0294
"star";3,1117;-2,8368;-0,1127;-0,0405;-0,0661
"fois";-7,5688;7,174;-0,334;-0,1201;1,1258
"parole";6,9533;-6,5401;-0,1168;-0,042;-0,0686
"aider";-3,3196;3,537;-0,0626;-0,0225;-0,0367
"aux";13,1036;-14,0068;-0,3569;0,8322;0,5201
"siècle";1,1329;-1,0291;-0,0501;-0,018;-0,0294
"voix";1,223;-1,6007;-0,0626;-0,0225;1,0909
"réputation";3,6876;-3,4314;-0,0835;-0,03;-0,049
"voir";0,2975;-0,2913;-0,2379;-0,0856;0,5607
"légende";4,1311;-5,1233;-0,0751;1,2196;-0,0441
"force";-0,4926;0,5766;-0,0793;-0,0285;-0,0465
"histoire";5,5406;-5,6397;-0,2212;-0,0796;0,5877
"new";3,0317;-2,8396;-0,0584;-0,021;-0,0343
"propre";-16,2872;17,5537;-0,3925;-0,1412;-0,2304
"aujourd_hui";-7,4804;7,9455;-0,4719;-0,1697;0,3265
"omar";3,9063;-3,6999;-0,0542;-0,0195;-0,0318
"arme";-0,4256;0,4809;-0,0417;-0,015;-0,0245
"dettinger";12,9252;-12,2424;-0,1795;-0,0645;-0,1053
"quotidien";4,0963;-4,6667;-0,1043;-0,0375;0,881
"géant";0,7419;-0,6429;-0,0793;-0,0285;-0,0465
"quoi";7,8125;-7,3517;-0,1294;-0,0465;-0,0759
"suggérer";3,9063;-3,6999;-0,0542;-0,0195;-0,0318
"afin";-1,8834;2,0787;-0,0876;-0,0315;-0,0514
"famille";0,2982;0,2704;-0,1544;-0,0555;-0,0906
"vivre";2,8296;-2,96;0,4787;-0,063;-0,1029
"comportement";2,19;-2,0104;-0,0709;-0,0255;-0,0416
"aide";-2,2035;2,3936;-0,0709;-0,0255;-0,0416
"créer";-0,3801;0,4603;-0,1001;-0,036;-0,0588
"acteur";9,5418;-8,9858;-0,1544;-0,0555;-0,0906
"surprise";-0,4256;0,4809;-0,0417;-0,015;-0,0245
"sauver";-35,6524;35,8579;-0,1778;-0,1878;-0,3064
"entraîner";-22,0945;23,4362;-0,3549;-0,1276;-0,2083
"attaque";-5,8414;6,2068;-0,1001;-0,036;-0,0588
"école";0,9354;-0,8047;-0,1043;-0,0375;-0,0612
"chroniqueur";37,3069;-35,3355;-0,5178;-0,1863;-0,304
"syndicat";4,2068;-3,9846;-0,0584;-0,021;-0,0343
"avion";0,2994;-0,2579;-0,0459;-0,0165;-0,0269
"terrestre";-1,7609;1,9189;-0,0626;-0,0225;-0,0367
"don";0,4218;-0,3713;-0,0417;-0,015;-0,0245
"doo";-3,3182;3,4999;-0,0459;-0,0165;-0,0269
"christopher";-3,0459;3,2469;-0,0584;-0,021;-0,0343
"traverser";-3,595;3,8287;-0,0668;-0,024;-0,0392
"julien";14,4937;-13,6679;-0,2254;-0,0811;-0,1323
"cabrol";6,9119;-6,5468;-0,096;-0,0345;-0,0563
"02";6,6113;-6,2621;-0,0918;-0,033;-0,0539
"03";4,2068;-3,9846;-0,0584;-0,021;-0,0343
"00";10,2189;-9,679;-0,1419;-0,051;-0,0833
"01";7,8137;-7,401;-0,1085;-0,039;-0,0637
"07";5,7096;-5,408;-0,0793;-0,0285;-0,0465
"04";5,1084;-4,8386;-0,0709;-0,0255;-0,0416
"05";5,409;-5,1233;-0,0751;-0,027;-0,0441
"08";5,1084;-4,8386;-0,0709;-0,0255;-0,0416
"09";6,0101;-5,6927;-0,0835;-0,03;-0,049
"sorte";-0,8783;0,9773;-0,0542;-0,0195;-0,0318
"confronter";-0,7676;0,8477;-0,0417;-0,015;-0,0245
"une";-35,0141;37,9697;-3,5071;-0,3167;0,3852
"scientifique";0,8873;-0,9579;-0,1586;-0,057;0,7146
"mathieu";3,6058;-3,4153;-0,0501;-0,018;-0,0294
"il";-13,0934;15,229;-1,8602;-0,4655;-0,5363
"amour";-0,2199;-0,5904;-0,0584;-0,021;2,5617
"théoricien";8,415;-7,9704;-0,1168;-0,042;-0,0686
"quand";-0,5215;0,4618;0,5549;-0,051;-0,0833
"livre";6,4028;-6,968;-0,1419;-0,051;0,7582
"elle";2,9116;-2,2548;-1,1331;-0,4075;-0,2604
"vieux";-1,7609;1,9189;-0,0626;-0,0225;-0,0367
"kid";-3,9216;2,9588;0,9303;-0,0195;-0,0318
"neptuna";-3,0165;3,1817;-0,0417;-0,015;-0,0245
"nicolas";1,9643;-1,8349;-0,0417;-0,015;-0,0245
"royal";3,3052;-3,1307;-0,0459;-0,0165;-0,0269
"musique";3,0317;-2,8396;-0,0584;-0,021;-0,0343
"revel";3,6058;-3,4153;-0,0501;-0,018;-0,0294
"super";-30,484;32,3566;-0,4969;-0,1787;-0,2917
"magazine";2,4264;-4,2693;-0,0626;2,9182;-0,0367
"maître";0,515;-0,4454;-0,0626;-0,0225;-0,0367
"lieu";-1,1491;1,2819;-0,0709;-0,0255;-0,0416
"batman";-31,7075;33,4446;-0,4384;-0,1577;-0,2573
"très";7,5115;-6,7488;-0,334;-0,1201;-0,196
"mystérieux";1,1615;-1,0008;-0,121;-0,0435;-0,071
"petit";-20,779;23,2278;-1,0409;-0,3744;-0,611
"décider";-4,9685;5,3904;-0,1461;-0,0525;-0,0857
"corbière";3,9063;-3,6999;-0,0542;-0,0195;-0,0318
"dieu";3,4303;-3,1898;-0,0793;-0,0285;-0,0465
"chrono";5,8069;-7,9704;-0,1168;2,3747;-0,0686
"mazaurette";12,3237;-11,6727;-0,1711;-0,0615;-0,1004
"laure";-13,1215;13,9505;-0,2254;-0,0811;-0,1323
"ville";-2,5938;2,353;0,6013;-0,045;-0,0735
"etats";0,6707;-0,5904;-0,0584;-0,021;-0,0343
"accompagner";-0,3029;0,357;-0,0626;-0,0225;-0,0367
"voiture";0,2993;-0,2546;-0,0542;-0,0195;-0,0318
"boy";-17,8072;18,7826;-0,2463;-0,0886;-0,1446
"père";-1,4049;1,6148;-0,1377;-0,0495;-0,0808
"bon";0,5958;-2,0251;-0,0835;-0,03;5,3531
"margot";2,4928;-2,3321;-0,0501;-0,018;-0,0294
"univers";-14,5902;14,1416;0,6181;-0,1472;-0,2402
"france";21,7376;-22,5968;-0,4468;0,5096;0,3436
"équipe";0,3685;-0,2949;-0,1168;-0,042;-0,0686
"vous";15,0798;-15,9459;-0,2337;-0,0841;0,5672
"militaire";-2,1443;2,3739;-0,1043;-0,0375;-0,0612
"sous";0,7199;-0,5961;-0,1335;-0,048;-0,0784
"agent";-1,3405;1,4669;-0,0542;-0,0195;-0,0318
"mal";0,5343;-0,4675;-0,0542;-0,0195;-0,0318
"avant";0,2988;-0,5866;-0,096;1,1169;0,9149
"nous";7,6881;-11,7759;1,1672;-0,1472;3,6164
"spécialiste";9,1099;-8,5379;-0,1669;-0,06;-0,098
"mais";-19,4972;22,1843;-1,3049;-0,4693;-0,7659
"main";-0,5394;0,6127;-0,0542;-0,0195;-0,0318
"nouveau";-1,3377;1,2465;0,8896;-0,1953;-0,3187
"ancien";16,8837;-15,223;-0,6809;-0,2449;-0,3997
"agir";-0,6305;0,7568;-0,1294;-0,0465;-0,0759
"homme";1,8643;-1,4795;-0,4134;-0,1487;-0,2426
"ministre";8,415;-7,9704;-0,1168;-0,042;-0,0686
"chanson";1,6782;-3,4314;-0,0835;-0,03;3,7277
"11";6,0989;-5,7332;-0,1043;-0,0375;-0,0612
"10";3,6876;-3,4314;-0,0835;-0,03;-0,049
"13";6,0101;-5,6927;-0,0835;-0,03;-0,049
"12";5,4979;-5,0831;-0,1419;-0,051;-0,0833
"15";7,8137;-7,401;-0,1085;-0,039;-0,0637
"14";3,3042;-4,2693;-0,0626;1,2966;-0,0367
"17";6,3107;-5,9774;-0,0876;-0,0315;-0,0514
"16";3,4303;-3,1898;-0,0793;-0,0285;-0,0465
"19";66,5641;-63,0451;-0,9236;-0,3322;-0,5421
"18";14,7867;-13,945;-0,2296;-0,0826;-0,1347
"spectacle";2,4928;-2,3321;-0,0501;-0,018;-0,0294
"trace";-1,5905;1,7934;-0,1127;-0,0405;-0,0661
"extraire";37,2415;-42,1859;-0,6182;-0,2224;1,9995
"fille";-24,607;26,9701;-0,8483;-0,3051;-0,4979
"show";-2,9383;-4,8386;25,5171;-0,0255;1,039
"aventure";-47,2217;50,0399;-0,7353;-0,2645;-0,4316
"étranger";0,2994;-0,2579;-0,0459;-0,0165;-0,0269
"débarquer";-2,4315;2,6378;-0,0751;-0,027;-0,0441
"43";5,7096;-5,408;-0,0793;-0,0285;-0,0465
"parent";-8,4979;9,5362;-0,4719;-0,1697;-0,277
"jt";6,0101;-5,6927;-0,0835;-0,03;-0,049
"je";3,4303;-4,1385;-0,0793;-0,0285;0,9931
"lopez";4,8079;-4,5539;-0,0668;-0,024;-0,0392
"rugby";1,9444;-3,6999;-0,0542;3,0453;-0,0318
"tour";0,2992;-0,4454;0,8722;-0,0225;-0,0367
"tous";-9,1819;8,5632;-0,2421;1,7973;-0,3727
"capable";-0,214;0,2521;-0,0501;-0,018;-0,0294
"côté";-18,7062;20,2412;-0,4928;-0,1772;-0,2892
"ex_membre";3,3052;-3,1307;-0,0459;-0,0165;-0,0269
"lorsque";-24,0993;25,6075;-0,405;-0,1457;-0,2377
"dessin";-0,4256;0,4809;-0,0417;-0,015;-0,0245
"mars";1,71;-1,5784;-0,0501;-0,018;-0,0294
"quatre";-3,5858;-2,0923;21,399;-0,039;2,0281
"par";-1,7776;2,3039;-1,6867;0,3921;-0,4724
"pas";-11,3987;12,7133;-0,7062;-0,4724;-0,3261
"tout";1,6339;-1,7842;-0,1688;-0,1817;0,828
"autour";3,5535;-4,7392;-0,121;1,0206;0,8214
"entourer";3,0047;-2,846;-0,0417;-0,015;-0,0245
"starfire";-41,3858;43,6535;-0,5722;-0,2058;-0,3359
"new_yorkais";-12,9758;13,6865;-0,1795;-0,0645;-0,1053
"4";0,5343;-0,4675;-0,0542;-0,0195;-0,0318
"mot";1,0429;-1,4037;-0,0584;-0,021;1,1197
"mon";3,1753;-5,1233;-0,0751;-0,027;2,3425
"luthor";-3,3182;3,4999;-0,0459;-0,0165;-0,0269
"christine";3,6058;-3,4153;-0,0501;-0,018;-0,0294
"journée";-0,214;-2,3321;-0,0501;-0,018;8,3777
"titan";-32,9169;34,7203;-0,4551;-0,1637;-0,2672
"soudain";-3,3182;3,4999;-0,0459;-0,0165;-0,0269
"gorg";-4,2233;-3,9846;28,3382;-0,021;-0,0343
"venir";-1,5687;1,711;-0,3716;0,5769;-0,2181
"fils";-0,5293;0,6445;-0,1335;-0,048;-0,0784
"citation";13,2259;-12,5272;-0,1836;-0,0661;-0,1078
"pourquoi";1,223;-2,2484;-0,0626;-0,0225;2,5011
"eliot";-6,6372;7,0007;-0,0918;-0,033;-0,0539
"film";10,164;-9,4968;-0,2003;-0,0721;-0,1176
"important";0,6707;-0,5904;-0,0584;-0,021;-0,0343
"emily";-3,595;3,8287;-0,0668;-0,024;-0,0392
"revenir";1,4791;-1,9735;-0,1502;-0,054;1,7567
"poilu";-3,3196;-4,2693;27,1659;-0,0225;-0,0367
"révéler";1,6051;-1,4542;-0,0709;-0,0255;-0,0416
"public";6,3107;-5,9774;-0,0876;-0,0315;-0,0514
"à";-0,963;1,5625;-2,9928;0,9659;-1,9794
"agathe";3,6058;-3,4153;-0,0501;-0,018;-0,0294
"des";21,9955;-23,0204;0,4814;1,4826;-0,8013
"csa";4,2068;-3,9846;-0,0584;-0,021;-0,0343
"civilisation";1,9674;-1,8031;-0,0668;-0,024;-0,0392
"delage";3,9063;-3,6999;-0,0542;-0,0195;-0,0318
"trois";-0,9828;1,1003;-0,0668;-0,024;-0,0392
"théâtre";4,8079;-4,5539;-0,0668;-0,024;-0,0392
"24";6,3107;-5,9774;-0,0876;-0,0315;-0,0514
"25";6,0101;-5,6927;-0,0835;-0,03;-0,049
"26";3,8486;-3,5601;-0,1001;-0,036;-0,0588
"27";6,6113;-6,2621;-0,0918;-0,033;-0,0539
"22";10,8202;-10,2486;-0,1502;-0,054;-0,0882
"23";12,023;-11,3879;-0,1669;-0,06;-0,098
"28";6,9119;-6,5468;-0,096;-0,0345;-0,0563
"29";4,1311;-3,8761;-0,0751;-0,027;-0,0441
"etienne";10,7011;-10,0817;-0,1711;-0,0615;-0,1004
"robbie";-2,6874;2,8911;-0,0668;-0,024;-0,0392
"porte";2,4703;-3,001;-0,1878;1,9732;-0,1102
"président";8,2747;-7,7502;-0,1544;-0,0555;-0,0906
"troisième";4,6888;-4,4021;-0,0835;-0,03;-0,049
"dont";0,3685;-0,4443;0,6273;-0,042;-0,0686
"donc";0,8179;-0,7236;-0,0626;-0,0225;-0,0367
"cirque";-23,4282;24,7854;-0,3507;-0,1261;-0,2058
"pari";4,8512;-4,4998;-0,1168;-0,042;-0,0686
"part";0,4996;-1,0167;-0,0709;2,8078;-0,0416
"john";-0,5394;0,6127;-0,0542;-0,0195;-0,0318
"gasnier";14,4289;-13,6667;-0,2003;-0,0721;-0,1176
"recevoir";2,1282;-2,4384;0,6705;-0,0375;-0,0612
"relation";-0,2066;0,2405;-0,0417;-0,015;-0,0245
"témoignage";3,8541;-3,6148;-0,0709;-0,0255;-0,0416
"express";-0,2066;0,2405;-0,0417;-0,015;-0,0245
"expert";2,227;-2,082;-0,0459;-0,0165;-0,0269
"point";3,5619;-3,8834;-0,1335;0,98;-0,0784
"léo";6,668;-6,2705;-0,1127;-0,0405;-0,0661
"secret";1,9905;-1,7575;-0,1335;-0,048;-0,0784
"cyborg";-16,5992;17,5084;-0,2296;-0,0826;-0,1347
"puissant";0,7097;-0,6321;-0,0501;-0,018;-0,0294
"mener";0,2991;-0,2486;-0,0709;-0,0255;-0,0416
"puis";0,8179;-1,1021;-0,0626;-0,0225;1,0909
"moment";1,6782;-1,5105;-0,0835;-0,03;-0,049
"travers";0,3937;-0,334;-0,0668;-0,024;-0,0392
"entre";0,3559;-0,3874;-0,1669;-0,06;0,6947
"salvatore";2,227;-3,1307;-0,0459;-0,0165;1,2208
"y";2,2221;-1,8259;-0,3507;-0,1261;-0,2058
"délirant";-3,595;-3,3548;26,2666;-0,024;-0,0392
"source";-12,6045;8,334;4,0198;1,715;0,8899
"ça";0,515;-0,7236;-0,0626;-0,0225;1,0909
"peu";0,2988;-0,2409;-0,096;-0,0345;-0,0563
"depuis";3,317;-3,8823;-0,2087;-0,0751;1,4902
"jimmy";3,3052;-3,1307;-0,0459;-0,0165;-0,0269
"aliens";-2,5383;2,7999;-0,1127;-0,0405;-0,0661
"dewalle";4,5073;-4,2693;-0,0626;-0,0225;-0,0367
"avenir";2,7611;-2,5847;-0,0542;-0,0195;-0,0318
"conseil";1,3316;-2,5847;2,178;-0,0195;-0,0318
"travailler";2,1834;-2,0209;-0,0584;-0,021;-0,0343
"lointain";-17,0117;18,2936;-0,3883;-0,1397;-0,2279
"elles";4,9387;-4,5391;-0,1461;-0,0525;-0,0857
"armée";-0,214;-0,3562;-0,0501;-0,018;1,1842
"invité";21,9502;-20,7905;-0,3047;-0,1096;-0,1789
"brainiac";-4,2233;4,4546;-0,0584;-0,021;-0,0343
"ennemi";-3,9216;4,1363;-0,0542;-0,0195;-0,0318
"objet";1,0736;-0,9485;-0,0793;-0,0285;-0,0465
"lorenzo";-3,3182;3,4999;-0,0459;-0,0165;-0,0269
"crop";-1,9739;2,1096;-0,0417;-0,015;-0,0245
"39";5,1084;-4,8386;-0,0709;-0,0255;-0,0416
"38";4,5073;-4,2693;-0,0626;-0,0225;-0,0367
"33";6,6113;-6,2621;-0,0918;-0,033;-0,0539
"32";5,7096;-5,408;-0,0793;-0,0285;-0,0465
"31";6,3107;-5,9774;-0,0876;-0,0315;-0,0514
"30";8,7156;-8,2552;-0,121;-0,0435;-0,071
"37";3,9063;-3,6999;-0,0542;-0,0195;-0,0318
"36";4,5073;-4,2693;-0,0626;-0,0225;-0,0367
"34";4,2068;-3,9846;-0,0584;-0,021;-0,0343
"composer";-0,564;0,6334;-0,0459;-0,0165;-0,0269
"train";0,2993;-0,2546;-0,0542;-0,0195;-0,0318
"souvent";1,0736;-0,9485;-0,0793;-0,0285;-0,0465
"terrien";-25,0205;26,5278;-0,3966;-0,1427;-0,2328
"laurie";3,0047;-2,846;-0,0417;-0,015;-0,0245
"extrait";8,6755;-8,1671;-0,1419;-0,051;-0,0833
"le";5,3667;-6,4934;1,4877;1,0432;-0,4194
"la";7,1887;-7,574;0,5976;-0,229;0,2703
"eux";-0,3031;-0,2458;0,7777;-0,0285;-0,0465
"oggy";-4,2233;-3,9846;28,3382;-0,021;-0,0343
"image";4,4683;-4,1;-0,1377;-0,0495;-0,0808
"tuer";-2,9383;3,1582;-0,0709;-0,0255;-0,0416
"identifier";1,6581;-1,4725;-0,1043;-0,0375;-0,0612
"lfi";4,5073;-4,2693;-0,0626;-0,0225;-0,0367
"expliquer";0,7419;-0,6429;-0,0793;-0,0285;-0,0465
"réseau";3,0047;-2,846;-0,0417;-0,015;-0,0245
"là";-1,5905;1,7934;-0,1127;-0,0405;-0,0661
"que";-1,4077;2,0802;-1,6195;-0,2119;-0,9506
"qui";-21,0292;18,2503;1,9477;-0,629;1,0705
"parvenir";-1,4209;1,5662;-0,0668;-0,024;-0,0392
"publier";3,3052;-3,1307;-0,0459;-0,0165;-0,0269
"auproux";3,6058;-3,4153;-0,0501;-0,018;-0,0294
"seines";4,2068;-3,9846;-0,0584;-0,021;-0,0343
"tromper";6,0777;-5,6797;-0,121;-0,0435;-0,071
"mélenchon";8,1143;-7,6857;-0,1127;-0,0405;-0,0661
"bernard";4,2068;-3,9846;-0,0584;-0,021;-0,0343
"beau";1,4923;-1,3397;-0,0793;-0,0285;-0,0465
"sembler";-1,8473;2,0634;-0,1085;-0,039;-0,0637
"crabe";7,8137;-7,401;-0,1085;-0,039;-0,0637
"cacher";-0,5293;0,6445;-0,1335;-0,048;-0,0784
"fatou";-23,849;25,1555;-0,3298;-0,1186;-0,1936
"bruno";4,9692;-5,9774;-0,0876;-0,0315;0,952
"françois";0,3613;-0,2821;-0,1419;-0,051;-0,0833
"comment";19,515;-19,567;-0,359;-0,1291;0,4151
"concours";0,9426;-0,8535;-0,0459;-0,0165;-0,0269
"colocataire";-15,1434;16,0373;-0,2337;-0,0841;-0,1372
"parisien";3,0047;-2,846;-0,0417;-0,015;-0,0245
"raven";-41,0832;43,3344;-0,568;-0,2043;-0,3334
"provoquer";-18,938;20,2332;-0,3674;-0,1321;-0,2157
"système";5,1084;-4,8386;-0,0709;-0,0255;-0,0416
"brigitte";4,2068;-3,9846;-0,0584;-0,021;-0,0343
"adolescent";-5,5645;5,9483;-0,1127;-0,0405;-0,0661
"toutes";1,4629;-1,4426;-0,2463;0,734;-0,1446
"oise";4,5073;-4,2693;-0,0626;-0,0225;-0,0367
"monter";0,41;-0,6321;-0,0501;-0,018;1,1842
"48";5,7096;-5,408;-0,0793;-0,0285;-0,0465
"49";4,8079;-4,5539;-0,0668;-0,024;-0,0392
"47";6,9119;-6,5468;-0,096;-0,0345;-0,0563
"44";7,8137;-7,401;-0,1085;-0,039;-0,0637
"45";7,2125;-6,8315;-0,1001;-0,036;-0,0588
"42";5,7096;-5,408;-0,0793;-0,0285;-0,0465
"40";2,9684;-2,6764;-0,1335;-0,048;-0,0784
"41";3,9063;-3,6999;-0,0542;-0,0195;-0,0318
"membre";5,108;-4,6605;-0,1753;-0,063;-0,1029
"inédit";-3,4482;-2,4372;24,2917;-0,0285;-0,0465
"direct";3,4303;-3,1898;-0,0793;-0,0285;-0,0465
"air";1,2584;-1,1573;-0,0417;-0,015;-0,0245
"philippe";3,1753;-2,9504;-0,0751;-0,027;-0,0441
"même";0,5157;-0,3851;-0,2463;-0,0886;-0,1446
"changer";0,8179;-0,7236;-0,0626;-0,0225;-0,0367
"pendant";0,2986;0,2426;-0,1127;-0,0405;-0,0661
"actualité";7,1699;-9,3943;-0,1377;0,9674;0,77
"m6";1,6782;-1,5105;-0,0835;-0,03;-0,049
"assez";-2,9383;3,1582;-0,0709;-0,0255;-0,0416
"mois";2,19;-2,0104;-0,0709;-0,0255;-0,0416
"me";6,6113;-6,2621;-0,0918;-0,033;-0,0539
"ma";3,0047;-2,846;-0,0417;-0,015;-0,0245
"naître";-15,5117;16,7286;-0,3799;-0,1367;-0,223
"mi";3,3052;-3,1307;-0,0459;-0,0165;-0,0269
"enquête";1,4791;-1,2724;-0,1502;-0,054;-0,0882
"entretien";4,2068;-3,9846;-0,0584;-0,021;-0,0343
"laquelle";0,41;-0,3562;-0,0501;-0,018;-0,0294
"nouvelle";0,2987;-0,5642;0,6705;-0,0375;0,881
"vite";-0,4141;0,4736;-0,0501;-0,018;-0,0294
"mettre";-0,7501;0,5407;0,4705;0,8598;-0,1053
"autre";-1,0399;1,2018;-0,1168;-0,042;-0,0686
"jeune";-1,7423;1,6805;-0,3883;-0,1397;1,0145
"construire";2,9227;-2,7135;-0,0709;-0,0255;-0,0416
"réal";3,3052;-3,1307;-0,0459;-0,0165;-0,0269
"émission";14,3099;-23,0773;-0,4342;4,4881;3,4966
"coeur";-0,303;-0,2486;-0,0709;-0,0255;1,039
"claude";5,5373;-5,1709;-0,1127;-0,0405;-0,0661
"présidentiel";4,2068;-3,9846;-0,0584;-0,021;-0,0343
"photo";0,7097;-0,6321;-0,0501;-0,018;-0,0294
"boulot";-15,4379;16,3483;-0,2379;-0,0856;-0,1396
"transformer";-0,3029;0,357;-0,0626;-0,0225;-0,0367
"frontière";3,9063;-3,6999;-0,0542;-0,0195;-0,0318
"candidat";3,5784;-3,3548;-0,0668;-0,024;-0,0392
"alien";0,4009;-0,3441;-0,0584;-0,021;-0,0343
"jean";20,0768;-18,8065;-0,3674;-0,1321;-0,2157
"proposer";1,7543;-2,0542;-0,096;-0,0345;0,9149
"fête";1,2584;-1,1573;-0,0417;-0,015;-0,0245
"vérité";-0,3026;0,3489;-0,0459;-0,0165;-0,0269
"manquer";-18,6609;19,9396;-0,3632;-0,1306;-0,2132
"enfin";-1,2321;1,3618;-0,0626;-0,0225;-0,0367
"2999";-12,9758;13,6865;-0,1795;-0,0645;-0,1053
"bande";2,19;-2,0104;-0,0709;-0,0255;-0,0416
"59";6,3107;-5,9774;-0,0876;-0,0315;-0,0514
"58";4,2068;-3,9846;-0,0584;-0,021;-0,0343
"55";5,8154;-6,8315;-0,1001;-0,036;0,8976
"54";7,8137;-7,401;-0,1085;-0,039;-0,0637
"56";5,409;-5,1233;-0,0751;-0,027;-0,0441
"51";6,0101;-5,6927;-0,0835;-0,03;-0,049
"50";9,9182;-9,3943;-0,1377;-0,0495;-0,0808
"53";4,5073;-4,2693;-0,0626;-0,0225;-0,0367
"52";6,3107;-5,9774;-0,0876;-0,0315;-0,0514
"57";5,1084;-4,8386;-0,0709;-0,0255;-0,0416
"humanité";0,2977;0,2964;-0,2045;-0,0736;-0,12
"gouvernement";2,6823;-2,4384;-0,1043;-0,0375;-0,0612
"plus";7,3648;-8,3292;0,2537;0,8357;0,5231
"entrepreneur";3,3052;-3,1307;-0,0459;-0,0165;-0,0269
"exister";2,417;-2,2219;-0,0751;-0,027;-0,0441
"hugues";4,2068;-3,9846;-0,0584;-0,021;-0,0343
"voisin";-3,6199;3,8181;-0,0501;-0,018;-0,0294
"peret";3,0047;-2,846;-0,0417;-0,015;-0,0245
"ne";-15,462;16,5421;-0,9321;-0,578;0,4358
"actuel";4,5073;-4,2693;-0,0626;-0,0225;-0,0367
"retour";8,02;-8,2637;-0,2129;0,7915;-0,1249
"valentin";5,7096;-5,408;-0,0793;-0,0285;-0,0465
"cnews";7,2125;-6,8315;-0,1001;-0,036;-0,0588
"groupe";0,974;-0,8451;-0,096;-0,0345;-0,0563
"entier";3,6031;-3,3302;-0,096;-0,0345;-0,0563
"langlois";4,2068;-3,9846;-0,0584;-0,021;-0,0343
"bill";-5,7319;6,0458;-0,0793;-0,0285;-0,0465
"frédéric";5,0015;-5,7332;-0,1043;1,0821;-0,0612
"boucher";3,0047;-2,846;-0,0417;-0,015;-0,0245
"figure";-18,3842;19,6463;-0,359;-0,1291;-0,2107
"haut";4,4711;-5,1984;0,7027;-0,0345;-0,0563
"antoine";8,1143;-7,6857;-0,1127;-0,0405;-0,0661
"1";7,1699;-7,8949;-0,1377;0,9674;-0,0808
"rapport";2,227;-3,1307;-0,0459;1,4283;-0,0269
"réponse";1,223;-1,1021;-0,0626;-0,0225;-0,0367
"oeuf";1,2584;-1,1573;-0,0417;-0,015;-0,0245
"apporter";0,9426;-0,8535;-0,0459;-0,0165;-0,0269
"place";-0,4141;0,4736;-0,0501;-0,018;-0,0294
"gotham";-24,4534;25,7929;-0,3382;-0,1216;-0,1985
"animation";-24,7555;26,1116;-0,3423;-0,1231;-0,2009
"république";3,0047;-2,846;-0,0417;-0,015;-0,0245
"chanteur";0,9746;-3,3548;-0,0668;-0,024;5,7706
