"";"*genre_Cultureconnaissance";"*genre_Fiction";"*genre_Jeunesse";"*genre_Sport";"*genre_Variétésdivertissement"
"5";14;0;0;0;1
"catastrophe";6;7;0;0;0
"endroit";6;8;0;0;0
"péril";0;104;0;0;0
"lisa";8;2;0;0;0
"programme";11;4;0;0;0
"île";6;82;0;0;0
"sur";450;367;0;3;6
"grâce";9;92;0;0;0
"prochain";10;2;0;0;0
"enfant";31;24;0;0;0
"vaisseau";9;31;0;0;0
"profiter";4;6;0;0;0
"différents";10;5;0;0;0
"emmanuel";16;0;0;0;0
"mission";4;13;1;0;0
"style";6;3;1;0;0
"manière";4;17;0;0;0
"bout";10;1;0;0;0
"organiser";5;5;0;0;0
"beast";0;55;0;0;0
"affrontement";13;0;0;0;0
"marionnette";0;0;14;0;0
"blanc";16;2;0;0;0
"passer";46;26;0;2;0
"scooby";0;12;0;0;0
"professeur";8;17;0;0;0
"dans";340;307;5;2;2
"nathalie";25;0;0;0;1
"respirer";27;0;0;0;0
"chaouch";10;0;0;0;0
"ainsi";10;5;0;1;0
"maison";15;16;0;1;0
"tourner";6;4;0;0;0
"vincent";17;1;0;0;0
"intelligence";8;8;1;0;0
"matin";13;2;0;0;0
"raconter";16;4;0;0;0
"année";51;4;0;0;0
"publicité";10;0;0;0;0
"c";74;56;0;0;0
"duo";27;1;0;0;0
"détruire";2;13;0;0;0
"bristielle";21;0;0;0;0
"arriver";9;15;0;0;0
"propos";11;2;0;0;0
"prince";1;82;0;0;0
"humour";15;162;0;0;1
"extra";2;11;0;0;0
"plateau";43;0;0;1;3
"monstre";2;9;0;0;0
"rien";7;10;0;0;0
"réveiller";1;48;0;0;0
"anne";25;3;0;0;0
"savoir";23;19;1;0;0
"question";64;3;0;0;0
"long";11;0;0;0;0
"présentation";19;0;0;1;0
"compagnie";3;9;0;0;0
"nasa";13;1;0;0;0
"antique";14;0;0;0;0
"chose";7;18;0;0;0
"depétrini";14;0;0;0;0
"olivier";19;1;0;0;0
"lrem";17;0;0;0;0
"claviere";19;0;0;0;0
"au_dessus";6;5;0;0;0
"journaliste";81;4;0;0;1
"patron";13;3;0;0;0
