"";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_Gulli";"X.chaine_LaCinquième";"X.chaine_M6";"X.chaine_MonteCarloTMC";"X.chaine_NRJ12";"X.chaine_NT1";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1";"X.chaine_TFX"
"intervenir";-0,0369;-0,3422;-0,9415;-0,5295;-1,1644;-1,1106;18,1934;-0,1707;-0,1878;-0,0148;-0,3364;-1,3264;-0,5215;-0,1157;-0,1008;-0,1963;-1,6795;-0,6166;-0,0295
"origine";-0,0431;0,221;-1,0985;0,3886;-0,4425;0,4954;-2,2588;-0,6012;-0,2191;-0,0172;-0,3926;-0,8706;-0,2228;-0,135;3,825;2,7467;3,2632;-0,7675;-0,0344
"image";-0,0529;-0,4906;-1,3497;0,2881;1,7486;2,6913;-2,7755;0,3005;0,3354;-0,0212;-0,4823;-1,1525;-0,7476;0,4984;-0,1445;-0,2815;0,3758;0,7504;-0,0423
"mythe";-0,0135;-0,1254;-0,3451;3,1808;-0,9663;2,9586;-0,7097;-0,1889;-0,0688;-0,0054;-0,1233;-0,4862;-0,1912;-0,0424;-0,037;0,8161;-0,6156;0,1939;-0,0108
"italie";-0,0172;-0,1597;-0,4393;0,3627;-0,6129;-0,1668;-0,9033;-0,2404;-0,0876;-0,0069;-0,157;4,8731;-0,2433;-0,054;-0,047;-0,0916;0,629;-0,5645;-0,0138
"plusieurs";-0,0221;-0,2053;-0,1939;-0,3177;-0,2403;0,3576;-0,5721;-0,3091;0,6412;-0,0089;-0,2018;-0,329;-0,3128;0,8307;2,0787;1,5355;0,4275;-0,2862;-0,0177
"édition";-0,0357;3,0868;-0,9101;3,9475;-1,1019;-1,0735;-1,8715;-0,4981;-0,1815;-0,0143;-0,3252;7,9108;-0,5041;-0,1118;-0,0974;-0,1898;-1,6235;-1,1696;-0,0285
"répondre";-0,0148;-0,1369;-0,3765;0,4135;0,7891;-0,4441;-0,7742;3,0621;-0,0751;-0,0059;0,5745;0,4867;-0,2085;-0,0463;-0,0403;-0,0785;-0,6716;-0,4839;-0,0118
"présenter";-0,0788;0,3039;-2,0095;0,601;5,6303;2,2849;-4,1322;0,3431;-0,4008;-0,0315;-0,2905;0,3705;-1,1131;-0,2469;-0,2151;0,2083;-1,3888;-0,7702;-0,063
"chaîne";-0,0123;-0,114;-0,3137;-0,1765;-0,3676;-0,3701;-0,6452;-0,1717;-0,0626;-0,0049;-0,1121;3,915;-0,1738;-0,0385;-0,0336;-0,0654;0,4619;0,2184;-0,0098
"an";-0,0751;-0,6961;-1,9152;-0,2519;0,4954;2,9547;-3,9383;1,516;-0,382;-0,03;1,7088;-1,8206;-0,5175;0,9937;-0,2051;0,2209;-0,6237;2,1775;-0,0601
"au";-0,243;1,848;-1,8556;0,5836;9,8288;-0,952;-10,0168;0,449;0,8145;-0,0971;1,1781;-0,5612;-0,465;0,2833;0,3476;-0,3631;-1,5425;-0,2863;-0,1943
"spatial";-0,0234;-0,2167;-0,5962;1,4213;-0,5274;0,701;-1,2259;3,193;1,5267;-0,0093;-0,2131;-0,8399;-0,3302;-0,0732;-0,0638;-0,1243;-0,5055;0,6299;-0,0187
"écrivain";-0,0283;-0,2623;6,9446;-0,4059;0,9505;-0,8513;-1,4841;0,2238;-0,144;-0,0113;-0,2579;0,4122;-0,3998;-0,0887;-0,0773;-0,1505;-1,2875;-0,4172;-0,0226
"terre";0,6692;-0,9703;-2,6697;0,6014;-1,7458;0,4065;-5,4898;-0,4498;2,1221;-0,0418;-0,1998;-1,5219;-0,8276;-0,328;-0,2858;2,7561;13,9309;-0,9292;0,7561
"sans";-0,0283;0,9253;-0,2866;-0,4059;0,9505;3,5027;-1,4841;0,2238;-0,144;-0,0113;-0,2579;-1,0168;-0,3998;0,7336;-0,0773;-0,1505;0,2692;-0,9275;-0,0226
"richard";-0,016;-0,1483;-0,4079;-0,2294;5,1557;-0,4811;-0,8387;1,906;-0,0814;-0,0064;-0,1458;-0,5747;-0,2259;-0,0501;-0,0437;-0,0851;-0,7276;-0,5242;-0,0128
"gagner";-0,0135;-0,1254;-0,3451;-0,1941;0,9006;2,0372;-0,7097;-0,1889;-0,0688;-0,0054;-0,1233;-0,148;-0,1912;-0,0424;-0,037;-0,072;-0,6156;0,5945;-0,0108
"espace";-0,0505;-0,4678;-1,2869;1,101;-2,5944;3,4759;-2,6463;4,6579;4,6112;-0,0202;-0,4599;0,6964;-0,2854;-0,1581;-0,1378;-0,2684;-0,9496;-0,9555;-0,0404
"vie";-0,117;-0,5364;-1,4615;1,8703;6,1847;-0,6941;-4,0179;-0,9483;-0,5952;-0,0468;-0,2497;-0,7551;-1,6529;0,2441;0,7787;1,8493;0,3168;0,329;-0,0936
"mort";-0,0185;0,4873;-0,4707;-0,2647;-0,6779;0,4562;-0,9678;-0,2576;-0,0939;-0,0074;0,4934;-0,2468;-0,2607;-0,0578;3,7162;-0,0981;-0,8396;2,9224;-0,0148
"damien";-0,0148;-0,1369;-0,3765;-0,2118;7,114;-0,4441;-0,7742;-0,2061;-0,0751;-0,0059;-0,1345;-0,5304;-0,2085;0,9955;-0,0403;-0,0785;-0,6716;-0,4839;-0,0118
"science";-0,0148;-0,1369;0,2367;5,5283;-0,487;-0,4441;-0,7742;0,4227;-0,0751;-0,0059;-0,1345;-0,1714;-0,2085;-0,0463;-0,0403;0,7815;-0,6716;-0,1479;-0,0118
"information";-0,0258;1,7881;-0,2484;3,8937;-0,6335;-0,3196;-1,355;-0,3607;-0,1314;-0,0103;-0,2355;0,4786;-0,365;-0,081;-0,0706;-0,1374;-0,2798;0,5468;-0,0207
"notre";-0,0357;-0,3308;-0,4085;0,4921;1,1612;-0,5195;-1,8715;-0,4981;-0,1815;-0,0143;-0,3252;-1,2822;-0,5041;-0,1118;0,6968;-0,1898;6,6097;-1,1696;-0,0285
"débat";-0,0443;4,4783;12,574;-0,2386;-1,0792;-1,3328;-2,3234;-0,6184;-0,2254;-0,0177;-0,4038;0,3325;-0,6259;-0,1388;-0,121;-0,2356;-2,0156;-0,4318;-0,0354
"créature";-0,0332;-0,308;-0,8473;-0,4766;-1,5237;-0,9995;-1,7423;-0,4637;1,2467;-0,0133;-0,3028;-1,1937;-0,4693;0,6713;-0,0907;1,2129;12,7896;-0,5292;-0,0266
"visuel";-0,0357;-0,3308;24,7118;-0,5119;-1,6727;-1,0735;-1,8715;-0,4981;-0,1815;-0,0143;-0,3252;0,2661;-0,5041;-0,1118;-0,0974;-0,1898;-1,6235;-1,1696;-0,0285
"boucherie";-0,0123;-0,114;11,5755;-0,1765;-0,8784;-0,3701;-0,6452;-0,1717;-0,0626;-0,0049;-0,1121;-0,442;-0,1738;-0,0385;-0,0336;-0,0654;-0,5597;-0,4032;-0,0098
"personne";-0,0369;-0,3422;-0,1862;0,937;3,4538;-0,2583;-1,936;-0,5153;-0,1878;-0,0148;0,2683;-0,7015;-0,5215;-0,1157;-0,1008;0,4393;0,3018;-0,3046;-0,0295
"astrophysicien";-0,0123;-0,114;-0,3137;3,3632;1,0316;-0,3701;-0,6452;-0,1717;-0,0626;-0,0049;-0,1121;-0,442;-0,1738;-0,0385;-0,0336;-0,0654;-0,5597;0,657;-0,0098
"comprendre";1,0249;-0,3993;7,4529;-0,2282;-0,2719;-1,2957;-0,9185;-0,6012;-0,2191;-0,0172;0,2255;-0,2541;-0,6085;0,5733;0,6248;-0,2291;-1,9595;0,7107;-0,0344
"contre";-0,0234;-0,2167;2,854;1,4213;-0,9481;-0,7032;-0,3;-0,3263;-0,1189;-0,0093;0,4115;-0,8399;0,2737;-0,0732;-0,0638;-0,1243;-1,0635;1,0885;1,3753
"dernier";-0,0443;1,1813;-0,5618;0,374;-0,478;0,4702;-1,4928;-0,6184;-0,2254;-0,0177;1,8887;0,3325;-0,6259;0,5629;-0,121;-0,2356;0,8631;0,4007;-0,0354
"leçon";-0,0135;-0,1254;-0,3451;0,4432;-0,9663;-0,4071;-0,2685;0,4526;-0,0688;-0,0054;-0,1233;6,0168;-0,1912;-0,0424;-0,037;-0,072;-0,6156;-0,4435;-0,0108
"grandir";-0,0381;-0,3536;-0,9729;-0,188;-0,5151;-1,1476;17,4626;-0,5325;-0,194;-0,0152;-0,3477;-1,3707;-0,5389;-0,1195;-0,1042;-0,2029;-1,7355;-1,2503;-0,0305
"plan";-0,0172;-0,1597;-0,4393;-0,2471;-0,6129;-0,1668;-0,3924;0,9981;-0,0876;-0,0069;0,5181;0,3994;-0,2433;-0,054;-0,047;-0,0916;0,629;0,9162;-0,0138
"toujours";2,7941;-0,2395;-0,2484;0,2411;-0,6335;0,6139;-1,355;0,2486;-0,1314;-0,0103;-0,2355;-0,9284;-0,365;-0,081;0,8241;0,5666;0,613;1,4767;-0,0207
"secte";-0,0123;-0,114;-0,3137;-0,1765;5,7159;0,2415;-0,6452;-0,1717;-0,0626;-0,0049;-0,1121;-0,442;-0,1738;-0,0385;-0,0336;-0,0654;-0,5597;-0,4032;-0,0098
