"";"classe 1";"classe 2"
"intelligent";-8,911;8,911
"garder";-0,237;0,237
"fait";-0,728;0,728
"existence";-0,728;0,728
"entourer";7,288;-7,288
"elon";-5,174;5,174
"elisabeth";7,288;-7,288
"elbaz";-8,911;8,911
"droite";5,456;-5,456
"doo";-8,911;8,911
"disparaître";-10,034;10,034
"dessin";-2,446;2,446
"demander";-0,02;0,02
"curieux";3,956;-3,956
"compilation";7,288;-7,288
"cercle";6,371;-6,371
"centre";-2,446;2,446
"centrale";-0,728;0,728
"cadre";4,816;-4,816
"attaque";-0,237;0,237
"appel";7,288;-7,288
"apparaître";0,729;-0,729
"analyse";-1,338;1,338
"aide";-1,338;1,338
"accompagner";0,729;-0,729
"événement";-0,728;0,728
"étoile";-0,263;0,263
"énergie";-2,446;2,446
"yann";5,456;-5,456
"vrai";0,322;-0,322
"vol";-4,128;4,128
"user";7,288;-7,288
"ukraine";0,242;-0,242
"témoigner";7,288;-7,288
"télévision";5,456;-5,456
"tuer";-7,79;7,79
"transmettre";-0,263;0,263
"thevenot";3,956;-3,956
"technique";3,115;-3,115
"séquence";6,371;-6,371
"surveillance";-0,89;0,89
"stylo";2,72;-2,72
"soirée";1,011;-1,011
"réponse";0,485;-0,485
"robert";1,011;-1,011
"publier";-0,02;0,02
"présence";-0,728;0,728
"problème";6,371;-6,371
"physique";7,288;-7,288
"peuple";-4,128;4,128
"personnalité";3,115;-3,115
"partager";-1,619;1,619
"oeil";-5,174;5,174
"nicolas";5,456;-5,456
"mouvement";2,298;-2,298
"mission";-0,728;0,728
"michael";2,72;-2,72
"lisa";3,956;-3,956
"lancer";7,288;-7,288
"isabelle";7,288;-7,288
"invasion";-7,79;7,79
"génération";3,115;-3,115
"génie";-6,671;6,671
"filmer";3,956;-3,956
"festival";3,631;-3,631
"essayer";1,634;-1,634
"endroit";-7,79;7,79
"désormais";1,522;-1,522
"début";3,956;-3,956
"duplex";6,371;-6,371
"docteur";2,298;-2,298
"didier";6,371;-6,371
"connaissance";-8,911;8,911
"confiance";3,956;-3,956
"concours";3,956;-3,956
"compagnie";7,288;-7,288
"civilisation";-6,671;6,671
"choisir";6,371;-6,371
"chiffre";-3,108;3,108
"changer";-4,128;4,128
"cerveau";-7,79;7,79
"bientôt";-5,174;5,174
"avion";-0,315;0,315
"artiste";1,011;-1,011
"armée";-4,128;4,128
"apprendre";0,322;-0,322
"amour";7,288;-7,288
"air";-0,02;0,02
"agent";1,522;-1,522
"agence";0,061;-0,061
"adepte";5,456;-5,456
"actu";7,288;-7,288
"écriture";4,542;-4,542
"écraser";-7,79;7,79
"vérité";-4,128;4,128
"voiture";-0,89;0,89
"visiter";-7,79;7,79
"téléspectateur";2,298;-2,298
"troublant";-4,128;4,128
"train";-6,671;6,671
"texte";-0,263;0,263
"style";5,456;-5,456
"société";0,061;-0,061
"situer";0,061;-0,061
"situation";-3,108;3,108
"science_fiction";-0,263;0,263
"salle";5,456;-5,456
"réussir";0,485;-0,485
"robbie";-0,01;0,01
"représenter";-7,79;7,79
"reprise";0,061;-0,061
"rentrer";0,061;-0,061
"refuser";1,011;-1,011
"rapporter";-1,619;1,619
"raison";-4,128;4,128
"prétendre";-6,671;6,671
"peur";-3,108;3,108
"personnage";0,485;-0,485
"particulier";3,115;-3,115
"parisien";5,456;-5,456
"paraître";-3,108;3,108
"ordre";0,242;-0,242
"off";1,011;-1,011
"oeuf";1,522;-1,522
"occasion";0,061;-0,061
"observer";-0,263;0,263
"nommer";-2,129;2,129
"new";0,814;-0,814
"musée";-0,01;0,01
"militant";0,242;-0,242
"maudit";-4,128;4,128
"liste";0,061;-0,061
"laurence";5,456;-5,456
"journée";3,115;-3,115
"janvier";5,456;-5,456
"jamy";6,371;-6,371
"h";0,061;-0,061
"gérard";2,298;-2,298
"gourmaud";6,371;-6,371
"glace";-2,129;2,129
"exercice";5,456;-5,456
"enlèvement";3,115;-3,115
"emmener";-0,263;0,263
"défense";-2,129;2,129
"don";-0,89;0,89
"domaine";-5,554;5,554
"disparition";-7,79;7,79
"cuisine";3,115;-3,115
"crise";6,371;-6,371
"contacter";5,456;-5,456
"compte";-2,129;2,129
"civil";0,485;-0,485
"cinéma";6,371;-6,371
"cicatrice";1,522;-1,522
"christelle";6,371;-6,371
"chambre";1,522;-1,522
"carburant";-4,128;4,128
"bourret";5,456;-5,456
"bien_être";4,542;-4,542
"ballestrero";6,371;-6,371
"atterrir";-7,79;7,79
"atr";3,115;-3,115
"artificiel";-0,89;0,89
"arrêter";-0,89;0,89
"argent";5,456;-5,456
"apparence";-7,79;7,79
"apercevoir";-0,263;0,263
"andré";-4,128;4,128
"accueillir";3,115;-3,115
"accepter";2,298;-2,298
"éviter";-0,89;0,89
"élève";4,542;-4,542
"zeitoun";5,456;-5,456
"vraiment";5,456;-5,456
"vieux";-3,108;3,108
"ven";5,456;-5,456
"valérie";1,522;-1,522
"traiter";0,113;-0,113
"tradition";-6,671;6,671
"tour";-0,89;0,89
"top";0,485;-0,485
"thouanel";5,456;-5,456
"tester";2,298;-2,298
"tenir";1,522;-1,522
"surprise";-1,219;1,219
"succès";2,298;-2,298
"stéphane";4,542;-4,542
"spirou";-0,315;0,315
"solaire";-5,554;5,554
"soeur";2,298;-2,298
"show";5,456;-5,456
"semoun";4,542;-4,542
"savant";-6,671;6,671
"satellite";-5,554;5,554
"sang";1,522;-1,522
"saint";4,542;-4,542
"région";2,298;-2,298
"réel";-0,89;0,89
"réalisateur";2,298;-2,298
"réagir";-3,326;3,326
"roi";-0,89;0,89
"responsable";5,456;-5,456
"remplacer";-2,129;2,129
"remonter";-0,89;0,89
"recueillir";-3,108;3,108
"présent";-6,671;6,671
"projet";-5,554;5,554
"profiter";-3,108;3,108
"produire";-2,129;2,129
"pratiquer";2,72;-2,72
"populaire";4,542;-4,542
"plume";2,72;-2,72
"pen";2,72;-2,72
"parcours";0,814;-0,814
"noix";-5,554;5,554
"nde";0,485;-0,485
"médium";0,485;-0,485
"musique";5,456;-5,456
"monstre";-1,219;1,219
"mondial";0,485;-0,485
"modifier";-6,671;6,671
"ministère";-0,01;0,01
"milieu";1,522;-1,522
"menace";-6,671;6,671
"mathématique";0,113;-0,113
"lumière";-0,89;0,89
"louis";4,542;-4,542
"julia";0,485;-0,485
"installer";2,298;-2,298
"inspirer";-0,89;0,89
"inexplicable";-5,554;5,554
"indiquer";-3,108;3,108
"inde";-0,89;0,89
"imaginer";-0,015;0,015
"hypothèse";-0,315;0,315
"homosexuel";4,542;-4,542
"habitant";-0,89;0,89
"futur";-0,015;0,015
"fred";0,485;-0,485
"fr";2,72;-2,72
"fondateur";3,631;-3,631
"fameux";0,485;-0,485
"exposer";0,485;-0,485
"euro";4,542;-4,542
"espèce";-3,108;3,108
"entendre";-0,015;0,015
"enfance";-0,015;0,015
"eau";0,113;-0,113
"détruire";-0,89;0,89
"droit";-0,444;0,444
"dominique";2,298;-2,298
"célèbre";0,485;-0,485
"couple";5,456;-5,456
"coup";1,522;-1,522
"contenir";-2,129;2,129
"conséquence";4,542;-4,542
"code";-5,554;5,554
"coach";5,456;-5,456
"château";2,298;-2,298
"choix";5,456;-5,456
"chemin";-0,89;0,89
"chat";3,631;-3,631
"capacité";-5,554;5,554
"canular";5,456;-5,456
"bois";0,485;-0,485
"bermudes";-4,439;4,439
"bender";-3,326;3,326
"bandit";-3,108;3,108
"ballon";-2,129;2,129
"aérien";-0,89;0,89
"avouer";1,522;-1,522
"attirer";-3,108;3,108
"atout";0,485;-0,485
"art";-0,015;0,015
"armstrong";-3,108;3,108
"application";1,522;-1,522
"antenne";3,631;-3,631
"animer";4,542;-4,542
"afrique";2,298;-2,298
"activité";-3,108;3,108
"étonnant";-0,315;0,315
"émettre";-5,554;5,554
"éloigner";0,113;-0,113
"électrique";-4,439;4,439
"zarzavatdjian";4,542;-4,542
"xxe";-4,439;4,439
"www";4,542;-4,542
"voyager";-0,315;0,315
"volcanique";-2,129;2,129
"vitesse";-0,315;0,315
"vendredi";3,631;-3,631
"téléphone";4,542;-4,542
"triangle";-4,439;4,439
"toucher";1,522;-1,522
"totalement";4,542;-4,542
"thomas";3,631;-3,631
"tesla";-4,439;4,439
"surveiller";-1,219;1,219
"suivant";4,542;-4,542
"statue";-5,554;5,554
"spécialiser";4,542;-4,542
"souvenir";0,113;-0,113
"sorte";1,522;-1,522
"soleil";-1,219;1,219
"sol";-4,439;4,439
"soir";3,631;-3,631
"social";3,631;-3,631
"simon";0,242;-0,242
"service";0,814;-0,814
"scène";-2,129;2,129
"santé";4,542;-4,542
"sandrine";3,631;-3,631
"sammy";-5,554;5,554
"sacré";-0,01;0,01
"résultat";1,522;-1,522
"récent";-2,129;2,129
"rumeur";0,113;-0,113
"ruine";-4,439;4,439
"roulant";4,542;-4,542
"reporter";0,814;-0,814
"reine";-2,129;2,129
"reconnaître";1,522;-1,522
"ray";1,522;-1,522
"rapidement";0,113;-0,113
"randonneur";-5,554;5,554
"ramener";-1,219;1,219
"radio";-2,129;2,129
"psychiatre";0,113;-0,113
"pratique";1,522;-1,522
"pléiade";-4,439;4,439
"plante";1,522;-1,522
"plage";4,542;-4,542
"pièce";3,631;-3,631
"piste";-0,315;0,315
"pianiste";1,522;-1,522
"payer";3,631;-3,631
"passionner";0,814;-0,814
"partisan";-4,439;4,439
"participation";4,542;-4,542
"paranormal";0,113;-0,113
"parallèle";-2,129;2,129
"panne";-2,129;2,129
"original";4,542;-4,542
"one";3,631;-3,631
"onclusive";2,72;-2,72
"océan";-4,439;4,439
"numéro";3,631;-3,631
"novembre";0,814;-0,814
"nouvel";4,542;-4,542
"nature";-2,129;2,129
"national";1,522;-1,522
"méthode";4,542;-4,542
"montagne";-0,01;0,01
"mexique";-2,129;2,129
"marseille";0,113;-0,113
"marquer";1,522;-1,522
"marin";0,113;-0,113
"manu";3,631;-3,631
"maladie";4,542;-4,542
"lutte";0,113;-0,113
"lunaire";-0,315;0,315
"lugg";-5,554;5,554
"lier";-5,554;5,554
"lecluyse";3,631;-3,631
"lavoine";1,522;-1,522
"kid";-0,01;0,01
"khomeiny";3,631;-3,631
"juillet";-0,01;0,01
"jeter";-2,129;2,129
"japon";-0,315;0,315
"intituler";4,542;-4,542
"interroger";1,522;-1,522
"interpréter";-2,129;2,129
"intelligence";-4,439;4,439
"inexpliqué";-5,554;5,554
"imminent";-0,315;0,315
"immense";-1,219;1,219
"illustration";4,542;-4,542
"hôpital";-0,315;0,315
"habiter";-5,554;5,554
"gueule";4,542;-4,542
"gladieux";-4,439;4,439
"george";-0,315;0,315
"gardien";-0,315;0,315
"gabriel";0,814;-0,814
"fête";3,631;-3,631
"février";4,542;-4,542
"freddy";-4,439;4,439
"fragile";4,542;-4,542
"fournir";-2,129;2,129
"fink";3,631;-3,631
"finir";1,522;-1,522
"fillon";3,631;-3,631
"fbi";-0,315;0,315
"fauteuil";4,542;-4,542
"facebook";0,113;-0,113
"extrême";3,631;-3,631
"extraordinaire";-1,219;1,219
"explorateur";-2,129;2,129
"exemple";4,542;-4,542
"esprit";-0,315;0,315
"enregistrer";-0,01;0,01
"enquêteur";-5,554;5,554
"enquêter";-4,439;4,439
"enfermer";-4,439;4,439
"empêcher";-1,219;1,219
"emploi";3,631;-3,631
"egypte";-4,439;4,439
"démonstration";1,522;-1,522
"défier";-5,554;5,554
"doux";4,542;-4,542
"doigt";3,631;-3,631
"documentaire";4,542;-4,542
"divin";-5,554;5,554
"distance";1,522;-1,522
"dimension";-5,554;5,554
"différence";-0,01;0,01
"deuxième";4,542;-4,542
"dangereux";0,113;-0,113
"célibat";-0,444;0,444
"céleste";-4,439;4,439
"coulisse";4,542;-4,542
"continent";-4,439;4,439
"constater";1,522;-1,522
"confronter";-2,129;2,129
"composer";1,522;-1,522
"complètement";0,113;-0,113
"communication";-1,219;1,219
"commandant";-0,444;0,444
"co";-0,01;0,01
"classe";4,542;-4,542
"chantal";1,522;-1,522
"champ";1,522;-1,522
"centaine";-3,326;3,326
"cause";-1,219;1,219
"castaner";3,631;-3,631
"carte";1,522;-1,522
"carrer";4,542;-4,542
"campagne";0,814;-0,814
"bébé";-1,219;1,219
"but";-5,554;5,554
"bureau";1,522;-1,522
"bruit";0,113;-0,113
"blues";4,542;-4,542
"berry";2,72;-2,72
"bergueswood";4,542;-4,542
"belge";0,113;-0,113
"ayatollah";2,72;-2,72
"avril";3,631;-3,631
"avis";0,814;-0,814
"avancé";-5,554;5,554
"astronomie";-5,554;5,554
"assurer";1,522;-1,522
"arabe";2,72;-2,72
"appareil";-1,219;1,219
"anthropologue";0,113;-0,113
"anonyme";-0,315;0,315
"animateur";3,631;-3,631
"anglais";4,542;-4,542
"analyser";-2,129;2,129
"amoureux";1,522;-1,522
"amateur";0,814;-0,814
"adresse";0,113;-0,113
"aborder";4,542;-4,542
"éternel";-3,326;3,326
"équilibre";3,631;-3,631
"énorme";-1,219;1,219
"élite";0,814;-0,814
"électricité";-0,444;0,444
"échapper";-1,219;1,219
"yeti";0,242;-0,242
"week_end";3,631;-3,631
"voisin";-4,439;4,439
"vision";-0,01;0,01
"virus";-3,326;3,326
"version";0,814;-0,814
"vague";-0,444;0,444
"us";-1,219;1,219
"télérama";-4,439;4,439
"télé";0,814;-0,814
"type";3,631;-3,631
"twitter";0,242;-0,242
"trou";0,242;-0,242
"tracer";0,814;-0,814
"terrible";-4,439;4,439
"terrestre";-1,219;1,219
"technologique";-4,439;4,439
"taille";-4,439;4,439
"séance";-0,01;0,01
