"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"hasard";2,274;-0,832;-1,209;2,069;-0,356;-0,269
"hanter";2,274;0,173;-1,209;-0,295;-0,356;-0,269
"géoglyphes";6,441;-0,832;-1,209;-0,295;-0,356;-0,269
"générique";-1,874;-0,624;0,175;16,85;-0,267;-0,202
"guider";2,274;-0,832;0,008;-0,295;-0,356;-0,269
"gros";-0,032;0,552;0,175;-0,221;-0,267;-0,202
"globe";6,441;-0,832;-1,209;-0,295;-0,356;-0,269
"gigantesque";6,441;-0,832;-1,209;-0,295;-0,356;-0,269
"genre";0,229;3,039;-1,209;-0,295;-0,356;-0,269
"fruit";-1,874;-0,624;9,986;-0,221;-0,267;-0,202
"frontière";-0,304;0,173;-1,209;11,7;-0,356;-0,269
"former";4,827;-0,624;-0,906;-0,221;-0,267;-0,202
"foot";4,827;-0,624;-0,906;-0,221;-0,267;-0,202
"fonds";1,017;0,552;-0,906;-0,221;-0,267;-0,202
"fond";0,229;3,039;-1,209;-0,295;-0,356;-0,269
"faux";2,274;0,173;-1,209;-0,295;-0,356;-0,269
"faciliter";4,827;-0,624;-0,906;-0,221;-0,267;-0,202
"exploser";-0,032;0,552;0,175;-0,221;-0,267;-0,202
"evanno";-1,874;-0,624;9,986;-0,221;-0,267;-0,202
"etc";-0,032;-0,624;3,202;-0,221;-0,267;-0,202
"entreprise";-2,5;3,039;1,627;-0,295;-0,356;-0,269
"enseigner";4,827;-0,624;-0,906;-0,221;-0,267;-0,202
"enceinte";-0,304;3,039;0,008;-0,295;-0,356;-0,269
"empreinte";2,274;0,173;-1,209;-0,295;-0,356;-0,269
"développement";1,017;-0,624;0,175;-0,221;-0,267;-0,202
"détailler";-0,304;-0,832;6,066;-0,295;-0,356;-0,269
"département";-0,304;0,173;0,008;2,069;-0,356;-0,269
"défi";-1,874;0,552;0,175;3,302;-0,267;-0,202
"décryptage";-2,5;0,173;6,066;-0,295;-0,356;-0,269
"décoder";6,441;-0,832;-1,209;-0,295;-0,356;-0,269
"déchiffrer";6,441;-0,832;-1,209;-0,295;-0,356;-0,269
"décembre";0,229;0,173;-1,209;2,069;-0,356;-0,269
"débris";6,441;-0,832;-1,209;-0,295;-0,356;-0,269
"duel";-2,5;19,349;-1,209;-0,295;-0,356;-0,269
"dreyfus";-2,5;-0,832;13,325;-0,295;-0,356;-0,269
"doter";4,827;-0,624;-0,906;-0,221;-0,267;-0,202
"dizaine";-0,032;0,552;0,175;-0,221;-0,267;-0,202
"diviser";1,017;-0,624;-0,906;3,302;-0,267;-0,202
"disséminer";6,441;-0,832;-1,209;-0,295;-0,356;-0,269
"dessiner";-2,5;3,039;1,627;-0,295;-0,356;-0,269
"desagnat";-2,5;-0,832;-1,209;54,529;-0,356;-0,269
"culturel";-2,5;-0,832;13,325;-0,295;-0,356;-0,269
"course";-1,874;5,177;0,175;-0,221;-0,267;-0,202
"couper";-0,304;3,039;0,008;-0,295;-0,356;-0,269
"cosmique";0,229;-0,832;1,627;-0,295;-0,356;-0,269
"conserver";6,441;-0,832;-1,209;-0,295;-0,356;-0,269
"connecter";-0,032;0,552;0,175;-0,221;-0,267;-0,202
"conférence";-2,5;19,349;-1,209;-0,295;-0,356;-0,269
"confier";-0,304;3,039;0,008;-0,295;-0,356;-0,269
"conduire";1,017;0,552;-0,906;-0,221;-0,267;-0,202
"composition";2,274;-0,832;0,008;-0,295;-0,356;-0,269
"complot";2,274;-0,832;0,008;-0,295;-0,356;-0,269
"coin";6,441;-0,832;-1,209;-0,295;-0,356;-0,269
"club";2,274;-0,832;0,008;-0,295;-0,356;-0,269
"clash";-2,5;9,431;0,008;-0,295;-0,356;-0,269
"citoyen";1,017;-0,624;0,175;-0,221;-0,267;-0,202
"cirou";4,827;-0,624;-0,906;-0,221;-0,267;-0,202
"chili";1,017;-0,624;0,175;-0,221;-0,267;-0,202
"charlotte";-1,874;0,552;3,202;-0,221;-0,267;-0,202
"chanter";-2,5;-0,832;13,325;-0,295;-0,356;-0,269
"capturer";4,827;-0,624;-0,906;-0,221;-0,267;-0,202
"broch";-1,874;-0,624;9,986;-0,221;-0,267;-0,202
"britannique";-2,5;-0,832;13,325;-0,295;-0,356;-0,269
"bref";-1,874;0,552;3,202;-0,221;-0,267;-0,202
"brack";6,441;-0,832;-1,209;-0,295;-0,356;-0,269
"boris";0,229;-0,832;1,627;-0,295;-0,356;-0,269
"boiter";-2,5;-0,832;13,325;-0,295;-0,356;-0,269
"blessure";1,017;-0,624;0,175;-0,221;-0,267;-0,202
"black";0,229;3,039;-1,209;-0,295;-0,356;-0,269
"big_bang";-0,032;-0,624;3,202;-0,221;-0,267;-0,202
"big";6,441;-0,832;-1,209;-0,295;-0,356;-0,269
"biais";1,017;-0,624;0,175;-0,221;-0,267;-0,202
"beccaro";-2,5;-0,832;13,325;-0,295;-0,356;-0,269
"bayrou";-1,874;14,5;-0,906;-0,221;-0,267;-0,202
"barthès";-2,5;3,039;0,008;2,069;-0,356;-0,269
"banque";-0,032;-0,624;3,202;-0,221;-0,267;-0,202
"avancée";4,827;-0,624;-0,906;-0,221;-0,267;-0,202
"arme";6,441;-0,832;-1,209;-0,295;-0,356;-0,269
"apprêter";0,229;0,173;0,008;-0,295;-0,356;-0,269
"appartement";-1,874;0,552;3,202;-0,221;-0,267;-0,202
"anna";2,274;-0,832;0,008;-0,295;-0,356;-0,269
"angela";0,229;-0,832;-1,209;11,7;-0,356;-0,269
"amy";1,017;0,552;-0,906;-0,221;-0,267;-0,202
"amener";-0,304;0,173;1,627;-0,295;-0,356;-0,269
"allemagne";-2,5;-0,832;-1,209;54,529;-0,356;-0,269
"affirmation";1,017;-0,624;0,175;-0,221;-0,267;-0,202
"acheter";-0,032;0,552;0,175;-0,221;-0,267;-0,202
"1ère";0,229;-0,832;1,627;-0,295;-0,356;-0,269
"épais";1,017;-0,624;0,175;-0,221;-0,267;-0,202
"éjonatown";-1,874;14,5;-0,906;-0,221;-0,267;-0,202
"économique";-1,874;0,552;3,202;-0,221;-0,267;-0,202
"échelle";-0,032;0,552;0,175;-0,221;-0,267;-0,202
"zapping";-1,874;5,177;0,175;-0,221;-0,267;-0,202
"yéti";4,827;-0,624;-0,906;-0,221;-0,267;-0,202
"william";1,017;-0,624;0,175;-0,221;-0,267;-0,202
"we";1,017;-0,624;0,175;-0,221;-0,267;-0,202
"vétérinaire";-0,032;5,177;-0,906;-0,221;-0,267;-0,202
"vérif";-1,874;14,5;-0,906;-0,221;-0,267;-0,202
"véhicule";-0,032;0,552;0,175;-0,221;-0,267;-0,202
"voie";1,017;-0,624;0,175;-0,221;-0,267;-0,202
"vivant";-0,032;-0,624;3,202;-0,221;-0,267;-0,202
"vallée";4,827;-0,624;-0,906;-0,221;-0,267;-0,202
"unique";-0,032;-0,624;3,202;-0,221;-0,267;-0,202
"télescope";4,827;-0,624;-0,906;-0,221;-0,267;-0,202
"trump";-0,032;5,177;-0,906;-0,221;-0,267;-0,202
"transe";4,827;-0,624;-0,906;-0,221;-0,267;-0,202
"total";-0,032;-0,624;3,202;-0,221;-0,267;-0,202
"thévenot";-1,874;14,5;-0,906;-0,221;-0,267;-0,202
"terrain";-0,032;0,552;0,175;-0,221;-0,267;-0,202
"terme";4,827;-0,624;-0,906;-0,221;-0,267;-0,202
