"";"X.genregroupe_Animation";"X.genregroupe_Documentaire";"X.genregroupe_Feuilleton";"X.genregroupe_Longmétrage";"X.genregroupe_Magazine";"X.genregroupe_Série";"X.genregroupe_Tranchehoraire"
"secret";0,55;4,84;0;0;0,72;0;0
"mener";0,27;1,61;5,59;0;0,58;5,73;0
"moment";0,27;0,54;0;0;1,73;0;0
"travers";0,82;0,54;0;0;1,3;0;0
"salvatore";0;5,38;0;0;0,14;0;0
"jimmy";0;0;0;0;1,73;0;0
"dewalle";0;0;0;0;2,16;0;0
"avenir";0;1,61;0;0;1,15;0;0
"conseil";0;0;0;0;1,58;2,87;0
"travailler";0;0;0;0;1,87;2,87;0
"lointain";7,1;4,31;0;0;0;5,73;0
"invité";0;0;0;0;8,64;0;0
"objet";0,55;4,84;0;0;2,16;2,87;0
"terrien";7,1;0;11,17;35,71;0,43;0;0
"laurie";0;0;0;0;1,44;0;0
"chien";2,18;0;0;0;0,14;0;43,48
"extrait";0;0;0;0;3,31;0;0
"identifier";0,27;5,92;11,17;0;1,3;5,73;0
"lfi";0;0;0;0;2,16;0;0
"expliquer";0,55;0,54;0;0;4,75;0;0
"réseau";0;0,54;0;0;1,3;0;0
"écrire";0,27;1,08;0;0;1,3;0;0
"auproux";0;0;0;0;1,73;0;0
"seines";0;0;0;0;2,01;0;0
"mélenchon";0;0;0;0;3,74;0;0
"bernard";0;0;0;0;3,45;0;0
"beau";0;1,08;0;11,9;1,15;2,87;0
"sembler";0,55;2,69;5,59;0;0,29;17,19;0
"cacher";0;3,77;16,76;0;0,58;14,33;0
"fatou";21,03;0;0;0;0;0;0
"annonce";0;0;0;0;1,58;0;0
"agnès";0;0;0;0;1,3;0;43,48
"moyen";0;0;0;0;1,44;0;0
"raven";7,1;0;0;0;0;0;0
"provoquer";21,3;0;0;0;0,72;2,87;0
"système";0;7,53;0;0;0,72;0;0
"adolescent";6,28;0;0;0;0;2,87;0
"oise";0;0;0;0;2,16;0;0
"membre";0,27;0;0;0;4,61;0;0
"parole";0;0,54;5,59;0;3,6;0;0
"philippe";0;0;0;0;1,73;0;0
"mois";0;1,08;0;0;1,44;0;0
"naître";7,1;0;0;0;1,15;0;0
"enquête";0,27;2,69;5,59;0;1,58;11,46;0
"nouvelle";0,82;0,54;5,59;0;1,01;2,87;0
"mettre";0,82;1,61;5,59;0;2,16;8,6;0
"jeune";6,83;1,08;5,59;23,81;3,45;22,92;43,48
"construire";0,27;4,84;0;0;0,72;0;0
"émission";0;0,54;0;0;6,04;5,73;0
"coeur";1,09;0,54;0;0;1,01;2,87;0
"claude";0,82;0;0;0;4,03;0;0
"présidentiel";0;0;0;0;2,01;0;0
"âge";0;3,77;5,59;0;0,58;2,87;0
"candidat";0;0;0;0;2,45;0;0
"proposer";0,27;2,15;0;0;1,58;0;0
"manquer";7,1;0;0;0;0,72;0;0
"bande";0;0,54;0;11,9;1,87;0;0
"humanité";0;11,3;0;0;0,43;0;0
"gouvernement";0,27;6,46;0;0;0,72;0;0
"antique";0;7;0;0;0;0;0
"entrepreneur";0;0;0;0;1,58;0;0
"exister";0,55;3,23;0;0;1,15;0;0
"hugues";0;0;0;0;2,01;0;0
"peret";0;0;0;0;1,44;0;0
"actuel";0;4,31;0;0;0,86;0;0
"retour";0,55;0;0;0;3,89;0;0
