"";"X.genregroupe_Animation";"X.genregroupe_Documentaire";"X.genregroupe_Feuilleton";"X.genregroupe_Longmétrage";"X.genregroupe_Magazine";"X.genregroupe_Série";"X.genregroupe_Tranchehoraire"
"secret";-0,8757;3,995;-0,0956;-0,0447;-1,1741;-0,1877;-0,0122
"mener";-0,8447;0,7063;0,8524;-0,0307;-0,6769;1,479;-0,0084
"moment";-1,1854;-0,4097;-0,0837;-0,0391;1,93;-0,1642;-0,0107
"travers";-0,3132;-0,3654;-0,0777;-0,0363;0,7289;-0,1525;-0,0099
"salvatore";-1,5666;7,5105;-0,0657;-0,0307;-2,4833;-0,129;-0,0084
"jimmy";-1,7091;-0,7973;-0,0717;-0,0335;3,3081;-0,1408;-0,0092
"dewalle";-2,1366;-0,9967;-0,0897;-0,0419;4,1358;-0,176;-0,0115
"avenir";-1,5666;0,7063;-0,0657;-0,0307;0,804;-0,129;-0,0084
"conseil";-1,7091;-0,7973;-0,0717;-0,0335;2,2418;0,5578;-0,0092
"travailler";-1,9941;-0,9303;-0,0837;-0,0391;2,7319;0,5019;-0,0107
"lointain";7,3677;0,8929;-0,2153;-0,1007;-11,8368;0,6041;-0,0275
"invité";-8,564;-3,9944;-0,3592;-0,168;16,5829;-0,7051;-0,0459
"objet";-2,0379;2,0185;-0,1615;-0,0755;0,3247;0,2857;-0,0206
"terrien";8,2445;-2,2611;1,1061;2,8802;-7,2001;-0,3991;-0,026
"laurie";-1,4241;-0,6644;-0,0598;-0,0279;2,7564;-0,1173;-0,0076
"chien";3,0254;-0,6644;-0,0598;-0,0279;-2,193;-0,1173;1,7589
"extrait";-3,2774;-1,5288;-0,1375;-0,0643;6,3442;-0,2699;-0,0176
"identifier";-2,5324;3,5294;1,3436;-0,0699;-1,1818;0,8467;-0,0191
"lfi";-2,1366;-0,9967;-0,0897;-0,0419;4,1358;-0,176;-0,0115
"expliquer";-3,0896;-1,5512;-0,2153;-0,1007;6,1913;-0,4226;-0,0275
"réseau";-1,4241;-0,2405;-0,0598;-0,0279;1,7621;-0,1173;-0,0076
"écrire";-0,9563;0,2807;-0,0717;-0,0335;0,9714;-0,1408;-0,0092
"auproux";-1,7091;-0,7973;-0,0717;-0,0335;3,3081;-0,1408;-0,0092
"seines";-1,9941;-0,9303;-0,0837;-0,0391;3,8598;-0,1642;-0,0107
"mélenchon";-3,7054;-1,7285;-0,1555;-0,0727;7,1728;-0,3051;-0,0199
"bernard";-3,42;-1,5954;-0,1435;-0,0671;6,6204;-0,2816;-0,0183
"beau";-1,7091;0,2807;-0,0717;1,129;0,5893;0,5578;-0,0092
"sembler";-0,8757;1,1897;0,7041;-0,0447;-3,0174;5,6604;-0,0122
"cacher";-2,7069;1,9186;2,6845;-0,0531;-2,3379;3,9534;-0,0145
"fatou";42,8835;-5,1298;-0,4613;-0,2157;-25,3771;-0,9054;-0,0589
"annonce";-1,5666;-0,7308;-0,0657;-0,0307;3,0322;-0,129;-0,0084
"agnès";-1,4241;-0,6644;-0,0598;-0,0279;1,7621;-0,1173;1,7589
"moyen";-1,4241;-0,6644;-0,0598;-0,0279;2,7564;-0,1173;-0,0076
"raven";14,4228;-1,7285;-0,1555;-0,0727;-8,5439;-0,3051;-0,0199
"provoquer";35,6609;-5,5977;-0,5034;-0,2354;-19,8903;-0,4677;-0,0643
"système";-2,7069;8,1351;-0,1136;-0,0531;-1,7703;-0,2229;-0,0145
"adolescent";11,5101;-1,5954;-0,1435;-0,0671;-7,8858;0,3213;-0,0183
"oise";-2,1366;-0,9967;-0,0897;-0,0419;4,1358;-0,176;-0,0115
"membre";-3,5632;-2,1945;-0,1974;-0,0923;7,625;-0,3874;-0,0252
"parole";-3,848;-1,0569;0,508;-0,0755;4,9685;-0,3169;-0,0206
"philippe";-1,7091;-0,7973;-0,0717;-0,0335;3,3081;-0,1408;-0,0092
"mois";-1,7091;0,2807;-0,0717;-0,0335;1,5047;-0,1408;-0,0092
"naître";8,2445;-2,2611;-0,2034;-0,0951;-3,3585;-0,3991;-0,026
"enquête";-2,1546;0,7156;0,5829;-0,0615;-0,3278;2,6065;-0,0168
"nouvelle";-0,3132;-0,3654;0,7857;-0,0363;0,2305;0,5286;-0,0099
"mettre";-1,2813;-0,2857;0,5358;-0,0699;0,5079;1,554;-0,0191
"jeune";1,5368;-2,3794;0,2362;1,2098;-1,919;3,5981;0,9788
"construire";-1,3024;4,2956;-0,0897;-0,0419;-0,9919;-0,176;-0,0115
"émission";-6,4186;-2,0663;-0,2693;-0,1259;8,3908;0,4712;-0,0344
"coeur";0,2892;-0,3654;-0,0777;-0,0363;0,2305;0,5286;-0,0099
"claude";-1,8774;-2,0613;-0,1854;-0,0867;5,0032;-0,3639;-0,0237
"présidentiel";-1,9941;-0,9303;-0,0837;-0,0391;3,8598;-0,1642;-0,0107
"âge";-1,8516;3,0499;0,7857;-0,0363;-1,0391;0,5286;-0,0099
"candidat";-2,4217;-1,1297;-0,1016;-0,0475;4,6877;-0,1994;-0,013
"proposer";-1,4209;0,7398;-0,0956;-0,0447;0,8063;-0,1877;-0,0122
"manquer";9,8686;-2,0613;-0,1854;-0,0867;-4,6131;-0,3639;-0,0237
"bande";-2,1366;-0,455;-0,0897;1,0362;2,1489;-0,176;-0,0115
"humanité";-3,42;14,7384;-0,1435;-0,0671;-4,3641;-0,2816;-0,0183
"gouvernement";-1,6615;6,2871;-0,1076;-0,0503;-1,5642;-0,2112;-0,0137
"antique";-1,8516;11,0439;-0,0777;-0,0363;-4,2688;-0,1525;-0,0099
"entrepreneur";-1,5666;-0,7308;-0,0657;-0,0307;3,0322;-0,129;-0,0084
"exister";-0,8757;1,7425;-0,0956;-0,0447;-0,3001;-0,1877;-0,0122
"hugues";-1,9941;-0,9303;-0,0837;-0,0391;3,8598;-0,1642;-0,0107
"peret";-1,4241;-0,6644;-0,0598;-0,0279;2,7564;-0,1173;-0,0076
"actuel";-1,9941;3,6627;-0,0837;-0,0391;-0,509;-0,1642;-0,0107
"retour";-2,266;-1,9282;-0,1734;-0,0811;5,4603;-0,3404;-0,0222
"valentin";-2,4217;-1,1297;-0,1016;-0,0475;4,6877;-0,1994;-0,013
"cnews";-3,42;-1,5954;-0,1435;-0,0671;6,6204;-0,2816;-0,0183
"élément";-1,5666;0,7063;-0,0657;1,1654;0,4603;-0,129;-0,0084
"groupe";-1,9941;-0,4097;-0,0837;-0,0391;1,3292;1,283;-0,0107
"entier";-1,0952;12,4543;-0,1375;-0,0643;-6,1245;-0,2699;-0,0176
"humour";18,6265;-4,1946;-0,3772;-0,1764;-8,2517;-0,7404;-0,0482
"langlois";-1,9941;-0,9303;-0,0837;-0,0391;3,8598;-0,1642;-0,0107
"frédéric";-4,8472;-2,2611;-0,2034;-0,0951;7,8889;0,2211;-0,026
"boucher";-1,5666;-0,7308;-0,0657;-0,0307;3,0322;-0,129;-0,0084
"courir";6,9755;-2,4609;-0,2213;0,6736;-4,6778;-0,4344;4,4521
"haut";-3,1347;-1,4623;-0,1315;-0,0615;6,068;-0,2581;-0,0168
"antoine";-3,2774;-1,5288;-0,1375;-0,0643;6,3442;-0,2699;-0,0176
"nombreux";25,6635;-0,6042;-0,5876;-0,2747;-19,5701;-1,1533;-0,0751
"apporter";-1,5666;1,9025;-0,0657;-0,0307;-0,6769;1,479;-0,0084
"revue";-1,4241;-0,6644;-0,0598;-0,0279;2,7564;-0,1173;-0,0076
"média";-1,8516;-0,3654;-0,0777;-0,0363;2,4858;-0,1525;-0,0099
"gotham";14,4228;-1,7285;-0,1555;-0,0727;-8,5439;-0,3051;-0,0199
