"";"*audiencefemme_0";"*audiencefemme_01";"*audiencefemme_02";"*audiencefemme_03";"*audiencefemme_04";"*audiencefemme_05";"*audiencefemme_06";"*audiencefemme_07";"*audiencefemme_08";"*audiencefemme_09";"*audiencefemme_1";"*audiencefemme_103";"*audiencefemme_11";"*audiencefemme_112";"*audiencefemme_116";"*audiencefemme_12";"*audiencefemme_128";"*audiencefemme_13";"*audiencefemme_135";"*audiencefemme_14";"*audiencefemme_141";"*audiencefemme_147";"*audiencefemme_15";"*audiencefemme_16";"*audiencefemme_17";"*audiencefemme_18";"*audiencefemme_19";"*audiencefemme_199";"*audiencefemme_2";"*audiencefemme_22";"*audiencefemme_23";"*audiencefemme_27";"*audiencefemme_28";"*audiencefemme_29";"*audiencefemme_3";"*audiencefemme_31";"*audiencefemme_34";"*audiencefemme_35";"*audiencefemme_36";"*audiencefemme_38";"*audiencefemme_41";"*audiencefemme_47";"*audiencefemme_49";"*audiencefemme_55";"*audiencefemme_61";"*audiencefemme_62";"*audiencefemme_63";"*audiencefemme_69";"*audiencefemme_76";"*audiencefemme_79";"*audiencefemme_8";"*audiencefemme_83";"*audiencefemme_85";"*audiencefemme_89";"*audiencefemme_9";"*audiencefemme_96"
"5";0;0;2;1;0;1;0;0;0;0;0;0;0;0;2;2;0;2;0;1;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"péril";13;30;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"île";3;44;30;1;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"sud";0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"sur";34;81;69;36;21;26;4;9;1;1;8;2;23;2;12;7;0;33;4;11;0;9;43;16;5;3;0;3;0;19;3;0;35;4;0;5;13;2;11;0;0;11;4;2;3;4;0;2;2;2;1;5;7;2;1;3
"christian";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"grâce";7;16;3;2;0;1;0;0;0;0;0;0;0;0;0;3;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"enfant";0;2;1;8;0;0;0;2;0;1;1;0;0;0;2;0;0;1;0;2;0;2;0;2;1;1;0;0;0;0;5;0;0;0;1;8;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"vaisseau";2;2;1;2;2;2;0;6;0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
"différents";0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"emmanuel";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;6;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
