"";"X.audiencefemme_0";"X.audiencefemme_01";"X.audiencefemme_02";"X.audiencefemme_03";"X.audiencefemme_04";"X.audiencefemme_05";"X.audiencefemme_06";"X.audiencefemme_07";"X.audiencefemme_08";"X.audiencefemme_09";"X.audiencefemme_1";"X.audiencefemme_103";"X.audiencefemme_11";"X.audiencefemme_112";"X.audiencefemme_116";"X.audiencefemme_12";"X.audiencefemme_128";"X.audiencefemme_13";"X.audiencefemme_135";"X.audiencefemme_14";"X.audiencefemme_141";"X.audiencefemme_147";"X.audiencefemme_15";"X.audiencefemme_16";"X.audiencefemme_17";"X.audiencefemme_18";"X.audiencefemme_19";"X.audiencefemme_199";"X.audiencefemme_2";"X.audiencefemme_22";"X.audiencefemme_23";"X.audiencefemme_27";"X.audiencefemme_28";"X.audiencefemme_29";"X.audiencefemme_3";"X.audiencefemme_31";"X.audiencefemme_34";"X.audiencefemme_35";"X.audiencefemme_36";"X.audiencefemme_38";"X.audiencefemme_41";"X.audiencefemme_47";"X.audiencefemme_49";"X.audiencefemme_55";"X.audiencefemme_61";"X.audiencefemme_62";"X.audiencefemme_63";"X.audiencefemme_69";"X.audiencefemme_76";"X.audiencefemme_79";"X.audiencefemme_8";"X.audiencefemme_83";"X.audiencefemme_85";"X.audiencefemme_89";"X.audiencefemme_9";"X.audiencefemme_96"
"fille";4,75;12,98;8,75;1,39;0;0,54;0;1,8;0;0;1,83;0;1,26;22,22;0;0;0;0;0;0;12,82;0;0;1,83;0;0;0;0;0;0;0;0;0;0;0;6,24;0;3,12;1,8;0;0;0;0;0;0;0;0;0;0;21,05;0;0;3,51;0;2,82;0
"désert";0;0;2,75;0,69;0,77;1,07;5,63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,89;0;1,56;0;0;0;0;0;0;0;0;0;0;0;0;10,99;0;0;0;0;0
"humoriste";0;0;0;0;0;0;0;0;0;0;0;0;1,26;0;0;2,74;0;0,37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,11;0;0;0;0;0;6,29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"apparition";0;0;0,25;0;0;1,61;2,82;0;0;0;0;0;0;0;0;0,91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,07;3,51;0;22,6;0
"s";3,88;1,95;2,75;2,43;1,53;4,82;2,82;7,21;0;4,39;9,14;0;1,26;0;7,66;0,91;0;1,83;0;3,91;0;11,43;2,6;2,75;4,26;2,29;0;0;0;3,42;2,75;0;2,23;5;10,42;8,92;2,83;10,94;2,7;0;0;2,05;0;0;38,83;0;0;0;0;0;21,98;9,2;3,51;12,99;0;28,17
"autour";0,86;0;0;0,35;0,77;0;0;0;0;0;0;0;0;0;0;0;0;2,57;0;7,82;0;0;0;0,92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"venir";1,73;1,3;1,75;1,73;3,07;1,61;0;1,8;0;0;5,48;0;0;0;0;1,83;0;0,37;0;2,61;0;0;1,3;0,92;2,13;0;0;0;0;2,28;0;0;3,34;0;10,42;0;0;0;0;0;0;2,05;0;0;19,42;2,96;0;23,26;0;0;0;3,07;0;0;0;0
"tomber";0;0,22;0;0,69;2,3;0;5,63;1,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,14;0;11,76;0;0;0;2,68;0;0;0,9;0;0;4,11;0;0;0;0;0;0;0;0;0;0;3,51;0;0;0
"vouloir";0,43;0,87;1,5;0;0;1,07;0;0;0;0;1,83;0;1,26;0;1,09;0,91;0;0;5,88;0;0;0;0;0,92;0;0;0;0;20,83;0;0;0;0;0;10,42;3,57;0;0;1,8;0;0;0;0;0;0;0;0;0;0;0;0;0;7,02;0;2,82;0
"laisser";0;0,43;0,5;1,39;0,77;1,61;2,82;0;0;0;0;0;0;0;1,09;0,91;0;0,37;0;0;0;0;0;0,92;0;0;0;0;0;1,14;0;0;0;0;10,42;0,89;0;0;0,9;0;0;0;0;0;0;0;0;0;0;10,53;0;0;0;0;0;0
"époque";0,43;0;0,25;0,35;0,77;0;0;0;0;0;0;0;0;0;2,19;0,91;0;0;0;0;0;0;0;0,92;0;0;0;0;0;0;0;0;0;5;0;1,78;0;1,56;0,9;0;0;4,11;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"intervenir";3,02;3,46;0,75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,83;0;0;0;0;0;0;0;0;0;0;0;0;1,42;0;0;0;0;0;0;0;0;2,96;0;0;0;0;0;0;0;0;0;0
"origine";0;1,08;1,75;2,08;1,53;0;0;3,6;0;0;0;0;1,26;0;4,38;0,91;0;0;0;1,3;0;0;0;0,92;0;0;9,62;0;0;0;0;0;0;0;0;0;4,25;0;0;0;0;0;0;0;0;2,96;0;0;0;0;0;0;0;0;0;0
"image";0;0,22;0,75;1,39;0,77;0;0;3,6;0;0;1,83;7,75;0;0;1,09;0,91;0;0,73;11,76;0;0;0;0,65;2,75;4,26;6,86;0;0;0;1,14;2,75;0;0;15;0;0,89;1,42;0;2,7;0;0;4,11;6,99;0;0;0;0;0;0;0;0;0;7,02;0;0;0
"mythe";1,73;0,22;0;0;0;0;0;0;0;0;0;0;0;0;5,47;0;0;0;0;0;12,82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"italie";0,43;0;0;0,35;0;1,07;0;0;0;0;0;0;10,11;0;1,09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"plusieurs";0;0,22;0;2,43;0,77;0,54;2,82;0;0;0;0;0;0;0;2,19;0;0;0;0;0;0;0;0;0;2,13;0;0;0;0;0;0;0;1,11;0;0;0;1,42;1,56;0;0;0;0;0;0;0;2,96;0;0;0;0;0;0;0;0;0;0
"édition";3,02;0;0;0;0;0;0;0;0;4,39;0;0;1,26;0;0;0;0;0;0;0;0;0;3,24;0;0;0;0;0;0;4,57;0;0;2,23;0;0;0;0;1,56;7,19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"répondre";0;0;0;0,35;0;0;0;0;0;0;0;0;0;0;0;0,91;0;0,73;0;0;0;0;0,65;0,92;2,13;0;0;0;0;1,14;2,75;0;1,11;0;0;0;0;0;0;14,08;0;0;6,99;0;0;0;0;0;0;0;0;0;0;0;0;0
