"";"X";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19"
"180";180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"181";181;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"182";182;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"183";183;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"184";184;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"185";185;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"186";186;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3
"187";187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"188";188;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"189";189;0;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
"190";190;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"191";191;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"192";192;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"193";193;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"194";194;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"195";195;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"196";196;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"197";197;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"198";198;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"199";199;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"200";200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"201";201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"202";202;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"203";203;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"204";204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"205";205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"206";206;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"207";207;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"208";208;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"209";209;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"210";210;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"211";211;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"212";212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
