"V1";"V2";"V3";"V4";"V5";"V6"
" 3";" 3";"100.00";" 13.88";"émission";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"nteaser";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"réseau";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"nalien";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"quantique";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"of";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"musique";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"nufologie";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"engager";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"00z";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"invasion";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"réflexion";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"réaliser";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"one";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"nla";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"nfacebook";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"and";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"videos";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"souhaiter";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"recevoir";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"rater";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"présenter";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"nfilm";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"moment";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"jeu";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"identifier";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"famille";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"combat";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"bientôt";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"30z";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"29z";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"11z";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"07z";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"travers";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"sérieux";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"surprenant";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"nspace";"1.951159e-04"
