"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19"
"100";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3
"101";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"102";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4
"103";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"104";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"105";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"106";0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5;5
"107";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"108";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"109";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"110";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"111";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"112";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"113";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"114";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"115";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"116";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"117";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"118";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"119";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"120";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"121";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"122";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"123";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"124";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"125";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"126";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"127";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"128";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"129";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"130";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"131";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"132";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"133";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"134";0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5;5
"135";0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5;5
"136";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"137";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"138";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"139";0;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
"140";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"141";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"142";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"143";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"144";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"145";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"146";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"147";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"148";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"149";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"150";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"151";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"152";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"153";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"154";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"155";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"156";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"157";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"158";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"159";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
