"";"X.mediamatgroupe_Cultureconnaissance";"X.mediamatgroupe_Fiction";"X.mediamatgroupe_Information";"X.mediamatgroupe_Jeunesse";"X.mediamatgroupe_Variétésdivertissement"
"retour";3,57;0,6;0;0;0
"cnews";3,17;0;0;0;0
"élément";1,32;0,3;0;0;0
"groupe";1,58;0,6;0;0;0
"entier";2,64;0,9;0;0;0
"humour";1,32;15,58;0;0;5,1
"frédéric";4,23;0,3;0;0;5,1
"boucher";1,45;0;0;0;0
"courir";0,79;9,29;0;0;5,1
"haut";2,77;0;0;0;5,1
"nombreux";2,64;23,37;0;0;0
"apporter";1,06;0,6;0;0;5,1
"revue";1,06;0;0;0;10,2
"cnrs";1,45;0;0;0;0
"sse";0;7,79;0;0;0
"chercheur";1,06;0,3;32,26;0;0
"départ";0,26;12,89;0;0;0
"bellver";6,34;0;0;0;0
"porter";0,92;0,3;0;0;10,2
"envoyer";1,06;1,5;0;0;0
"alain";1,72;0;0;0;0
"phénomène";5,68;1,2;0;0;20,41
"péril";0;14,68;0;0;0
"pté";0;7,79;0;0;0
"sud";1,32;0;0;0;0
"christian";1,32;0;0;0;0
"enfant";3,57;3;64,52;0;20,41
"vaisseau";0,92;5,09;0;0;0
"bout";1,32;0;0;0;0
"affrontement";1,72;0;0;0;0
"blanc";2,11;0;0;0;0
"passer";5,81;2,1;0;0;0
"professeur";1,72;2,4;0;0;0
"maison";1,85;1,8;0;0;0
"arriver";1,06;2,4;0;0;0
"tourner";0,92;0,6;0;0;5,1
"vincent";1,45;0,3;0;0;0
"matin";1,58;0;0;0;0
"raconter";3,7;0,3;0;0;5,1
"année";6,34;0,6;0;0;5,1
"plateau";4,36;0;32,26;0;15,31
"réveiller";0,13;12,89;0;0;0
"anne";2,91;0;0;0;0
"question";3,83;0;0;0;10,2
"long";1,58;0;0;0;5,1
"présentation";2,25;0;0;0;0
"nasa";1,72;0,3;0;0;0
"yves";2,25;0;0;0;5,1
"théâtre";1,58;0;0;0;0
"chose";0,66;1,8;0;0;0
"olivier";1,98;0;0;0;15,31
"claviere";1,98;0;0;0;0
"figure";0,53;7,79;0;0;0
"patron";1,58;0,6;0;0;0
"fédération";1,45;0;0;0;0
"nuit";1,19;0,6;0;0;0
"permettre";2,38;0,6;0;0;0
"tsoukalos";2,38;0;0;0;0
"polémiste";1,85;0;0;0;0
"galley";1,32;0;0;0;0
"pomart";1,98;0;0;0;0
"xavier";0,79;1,2;0;0;0
"rendre";3,17;5,39;0;0;5,1
"partie";2,51;0,3;0;0;0
"partir";2,91;1,2;0;0;0
"marier";1,45;0,9;0;0;5,1
"joe";1,98;0;0;0;0
"disciple";0;6,89;0;0;0
"préparer";0,92;0,3;0;66,67;5,1
"mère";0,66;1,5;0;0;0
"américain";3,96;0,3;0;66,67;0
"conquérant";0;7,79;0;0;0
"val";2,11;0;0;0;0
"humain";3,43;3,6;0;0;0
"courant";1,32;0;0;0;10,2
"décrire";1,45;0;0;0;5,1
"fantôme";1,45;0;0;0;0
