"";"*annéededecennie_1990";"*annéededecennie_2000";"*annéededecennie_2010";"*annéededecennie_2020"
"humour";1;3;31;28
"langlois";0;0;14;0
"frédéric";9;4;3;18
"boucher";1;0;10;0
"courir";1;2;22;12
"haut";3;0;17;2
"antoine";2;0;0;21
"1";0;0;12;5
"nombreux";2;1;86;9
"apporter";3;0;4;4
"revue";3;2;0;5
"média";1;1;4;7
"gotham";0;0;14;12
"animation";0;0;14;12
"cnrs";9;1;1;0
"chanteur";3;5;1;4
"trop";0;2;9;0
"20";2;10;24;108
"devoir";7;5;22;8
"ne";30;25;104;60
"chercheur";2;2;1;5
"départ";0;2;42;1
"peu";3;0;7;3
"bellver";0;0;0;48
"porter";2;1;7;0
"on";17;12;31;14
"ou";19;4;32;21
"celui";2;3;5;0
"envoyer";3;2;5;3
"alain";1;5;7;0
"avec";32;58;136;67
"phénomène";13;11;5;22
"5";3;2;11;2
"péril";0;0;28;21
"île";2;0;81;2
"sud";0;1;4;5
"sur";72;95;216;221
"christian";4;1;3;2
"grâce";0;3;21;13
"enfant";7;6;28;2
"vaisseau";0;8;11;5
"différents";3;3;8;0
"emmanuel";1;0;5;8
"bout";0;1;4;5
"affrontement";0;0;13;0
"blanc";3;5;1;7
"passer";5;4;10;32
"professeur";2;8;10;1
"dans";50;64;172;159
"chaouch";0;0;0;10
"maison";1;9;7;3
"bfm";0;3;8;8
"arriver";1;6;7;2
"tourner";4;0;2;4
"vincent";0;0;8;4
"matin";2;1;6;3
"raconter";15;5;4;6
"année";7;7;17;20
"c";11;10;28;24
"moins";0;3;3;5
"bristielle";0;0;0;21
"propos";0;7;4;2
"prince";0;0;14;12
"plateau";18;10;6;3
"rien";3;4;4;0
"réveiller";0;1;43;0
"anne";0;2;4;16
"savoir";0;2;14;7
"question";7;4;8;12
"long";1;3;5;4
"présentation";1;5;7;4
"nasa";0;0;3;11
"yves";6;9;3;0
"théâtre";1;3;5;3
"chose";4;2;4;1
"olivier";3;4;4;7
"lrem";0;0;16;1
"claviere";0;0;0;15
"figure";0;0;16;14
"patron";0;0;13;1
"fédération";0;0;11;0
"watrin";0;0;0;11
"nuit";1;2;5;3
"permettre";2;1;10;7
"tsoukalos";0;0;0;18
"polémiste";0;0;11;3
"galley";0;5;5;0
"pomart";0;0;15;0
"encore";2;2;4;6
"chalumeau";0;0;0;48
"xavier";0;4;1;5
"durant";1;1;44;2
"rendre";4;11;16;12
"qu";34;19;72;29
"partie";3;0;5;12
"partir";1;3;15;7
"marier";3;6;4;2
"joe";0;0;14;1
"certaines";0;2;3;12
"disciple";0;0;14;9
"préparer";3;0;5;2
"mère";0;2;6;2
"américain";2;1;8;21
"conquérant";0;0;14;12
"série";1;5;17;16
"val";1;0;15;0
"humain";5;0;15;18
"courant";11;0;0;1
"décrire";6;1;0;5
"fantôme";0;9;0;2
