"";"X.annéededecennie_1990";"X.annéededecennie_2000";"X.annéededecennie_2010";"X.annéededecennie_2020"
"apporter";0,69;0;0,23;0,34
"revue";0,69;0,39;0;0,42
"média";0,23;0,19;0,23;0,59
"gotham";0;0;0,81;1,01
"animation";0;0;0,81;1,01
"cnrs";2,06;0,19;0,06;0
"chanteur";0,69;0,97;0,06;0,34
"trop";0;0,39;0,52;0
"20";0,46;1,94;1,39;9,12
"devoir";1,6;0,97;1,27;0,68
"ne";6,86;4,86;6,02;5,07
"chercheur";0,46;0,39;0,06;0,42
"départ";0;0,39;2,43;0,08
"peu";0,69;0;0,41;0,25
"bellver";0;0;0;4,05
"porter";0,46;0,19;0,41;0
"on";3,89;2,33;1,8;1,18
"ou";4,34;0,78;1,85;1,77
"celui";0,46;0,58;0,29;0
"envoyer";0,69;0,39;0,29;0,25
"alain";0,23;0,97;0,41;0
"avec";7,32;11,27;7,88;5,66
"phénomène";2,97;2,14;0,29;1,86
"5";0,69;0,39;0,64;0,17
"péril";0;0;1,62;1,77
"île";0,46;0;4,69;0,17
"sud";0;0,19;0,23;0,42
"sur";16,46;18,46;12,51;18,66
"christian";0,91;0,19;0,17;0,17
"grâce";0;0,58;1,22;1,1
"enfant";1,6;1,17;1,62;0,17
"vaisseau";0;1,55;0,64;0,42
"différents";0,69;0,58;0,46;0
"emmanuel";0,23;0;0,29;0,68
"bout";0;0,19;0,23;0,42
"affrontement";0;0;0,75;0
"blanc";0,69;0,97;0,06;0,59
"passer";1,14;0,78;0,58;2,7
"professeur";0,46;1,55;0,58;0,08
"dans";11,43;12,44;9,96;13,43
"chaouch";0;0;0;0,84
"maison";0,23;1,75;0,41;0,25
"bfm";0;0,58;0,46;0,68
"arriver";0,23;1,17;0,41;0,17
"tourner";0,91;0;0,12;0,34
"vincent";0;0;0,46;0,34
"matin";0,46;0,19;0,35;0,25
"raconter";3,43;0,97;0,23;0,51
"année";1,6;1,36;0,98;1,69
"c";2,52;1,94;1,62;2,03
"moins";0;0,58;0,17;0,42
"bristielle";0;0;0;1,77
"propos";0;1,36;0,23;0,17
"prince";0;0;0,81;1,01
"plateau";4,12;1,94;0,35;0,25
"rien";0,69;0,78;0,23;0
"réveiller";0;0,19;2,49;0
"anne";0;0,39;0,23;1,35
"savoir";0;0,39;0,81;0,59
"question";1,6;0,78;0,46;1,01
"long";0,23;0,58;0,29;0,34
"présentation";0,23;0,97;0,41;0,34
"nasa";0;0;0,17;0,93
"yves";1,37;1,75;0,17;0
"théâtre";0,23;0,58;0,29;0,25
"chose";0,91;0,39;0,23;0,08
