"";"banalfreq";"X.annéededecennie_1990";"X.annéededecennie_2000";"X.annéededecennie_2010";"X.annéededecennie_2020"
"08";17;-0,8873;0,7396;0,7529;-0,7307
"09";18;-0,9395;0,6755;-1,3633;1,6124
"scientifique";38;1,6305;0,6263;-1,8086;0,2908
"servir";11;-0,193;-0,6831;0,2255;0,6478
"lieu";15;0,6253;0,8898;0,2689;-1,5028
"mystérieux";19;-0,9917;-0,2789;-0,746;1,9023
"ville";14;-0,7307;0,2409;0,6001;-0,2498
"etats";15;0,6253;-0,9316;-0,3357;0,5258
"père";16;1,0066;0,4424;0,3692;-1,6374
"équipe";22;-0,2687;0,2392;-0,3503;0,4511
"sous";18;0,4764;-0,5418;-0,9489;1,1706
"mal";11;0,4452;1,3203;-0,3925;-0,981
"agir";21;1,0931;-0,3408;-0,454;-0,2806
"10";18;-0,1764;1,6055;-1,3633;0,3096
"13";16;-0,3517;1,2879;-1,5277;0,7187
"12";26;-1,3572;0,5852;-0,4794;0,8492
"17";16;-0,8351;-0,4546;0,9242;0,2419
"16";15;-0,7829;-0,9316;0,2689;1,2491
"18";10;-0,1645;-0,2166;-0,5647;0,7911
"trace";10;0,5013;-0,2166;-1,6146;1,2812
"tous";79;0,2639;0,3125;0,6297;-0,7387
"tout";79;0,2639;-0,2899;1,7219;-1,8589
"côté";45;-1,5201;-0,8765;1,2719;0,3954
"capable";10;0,5013;-0,2166;-0,9875;0,7911
"lorsque";36;-1,1312;-0,905;0,499;0,9704
"mars";16;0,5704;1,869;-1,0501;-0,6415
"starfire";26;-1,3572;-1,615;0,6408;1,1554
"4";11;0,922;-0,6831;0,4448;-0,5286
"davant";10;0,5013;-0,2166;1,0066;-1,5903
"mot";11;0,922;0,7641;-0,3925;-0,981
"fils";11;0,922;-0,6831;0,7734;-0,981
"pourquoi";17;0,9289;-0,2214;-0,5245;-0,2416
"important";11;0,4452;0,3548;-1,169;0,6478
"révéler";18;1,3462;-1,118;-1,8937;1,6124
"public";14;0,6867;0,5472;0,3519;-1,3696
"récit";10;-0,1645;-0,2166;-1,6146;1,9195
"24";10;-0,5219;-0,621;-0,5647;1,9195
"25";16;-0,8351;0,4424;-1,0501;1,53
"26";11;-0,5741;-0,2532;-0,7063;1,6128
"23";35;-1,8272;-0,8633;1,3038;0,4194
"29";12;0,3966;-0,2912;-1,3564;1,3641
"porte";30;-1,5661;-1,8636;1,5091;0,5277
"président";33;-0,5817;-1,2663;0,5702;0,7381
"cirque";29;-1,5138;-0,6234;0,5502;0,8331
"pari";21;-0,2443;1,2908;-0,2816;-0,7427
"part";14;1,8118;0,5472;-0,4612;-1,3696
"dossier";12;1,4147;1,1912;-1,3564;-0,6247
"expert";11;-0,5741;-0,6831;1,8524;-0,5286
"point";26;-1,3572;-0,2698;-0,3154;1,1554
"secret";16;0,2557;0,8107;-1,5277;0,7187
"mener";11;-0,193;0,3548;-0,3925;0,347
"moment";14;0,6867;0,2409;-0,2555;-0,4745
"travers";13;0,7556;-0,3304;-0,361;0,222
"y";69;1,0667;-0,3775;-0,6787;0,3397
"avenir";11;-0,5741;-0,6831;-0,3925;1,6128
"conseil";12;-0,2227;0,3111;0,333;-0,3258
"travailler";14;1,188;-0,3708;-1,1803;0,6265
"elles";29;-1,5138;-0,6234;0,2473;1,4557
"souvent";16;0,2557;0,4424;-0,4256;0,2419
"chien";10;-0,5219;0,4059;-1,6146;1,9195
"eux";14;0,6867;-0,8695;0,3519;-0,2498
"là";17;-0,386;0,7396;0,2877;-0,4364
"que";239;0,6264;-0,687;-1,0531;1,2332
"beau";12;0,3966;0,6818;0,333;-1,1085
"sembler";16;-0,8351;0,4424;0,3692;0,2419
"cacher";19;-0,9917;1,008;-0,297;0,2587
"annonce";11;0,4452;1,3203;-1,169;-0,2594
"agnès";10;1,0236;-0,621;-1,6146;1,2812
"raven";26;-1,3572;-1,615;0,6408;1,1554
"adolescent";24;-1,2527;-1,4907;1,2148;0,5237
"toutes";11;0,4452;0,3548;-0,3925;-0,2594
"48";13;-0,6785;-0,8074;0,2484;1,1588
"44";17;-0,8873;-1,0558;0,7529;0,6134
"45";17;-0,8873;0,7396;-0,3148;0,3699
"40";24;-1,2527;-0,4408;1,2148;-0,2704
"parole";27;-1,4094;-1,6772;1,7501;0,3445
"philippe";12;-0,2227;0,6818;0,5957;-1,1085
"même";34;-0,6135;-0,4964;0,488;0,472
"pendant";23;0,3083;0,7366;0,7551;-1,8751
"enquête";22;-0,5673;-0,3732;0,2568;0,6869
"nouvelle";13;0,3544;0,2735;0,2484;-0,3976
"mettre";25;1,2512;-0,4758;-0,4023;-0,3161
"jeune";63;-0,2381;-1,1858;1,265;-0,5019
"coeur";13;-0,6785;0,2735;1,1748;-0,7248
"présidentiel";14;-0,7307;-0,8695;-0,2555;1,4472
"âge";13;-0,6785;0,6101;-1,0152;1,1588
"candidat";17;0,9289;-1,0558;-1,2039;1,3376
"proposer";16;1,0066;-0,1946;-0,2421;-0,6415
"manquer";31;-1,6183;-1,9257;1,0254;0,9107
"bande";15;0,6253;-0,4122;1,1338;-1,5028
"54";15;-0,7829;-0,9316;0,2689;1,2491
"56";12;-0,6263;-0,7452;0,333;0,891
"57";12;-0,6263;-0,7452;-0,506;1,9614
"50";24;-0,6436;-0,4408;0,2723;0,7683
"cnews";24;-1,2527;-1,4907;1,6007;0,334
"élément";11;0,4452;0,3548;-1,8349;1,0661
"groupe";14;-0,2854;-0,8695;-0,2555;0,987
"courir";37;-1,1736;-0,9473;1,2947;0,3292
"1";17;-0,8873;-1,0558;1,547;-0,2416
"apporter";11;0,922;-0,6831;-0,3925;0,347
"média";13;-0,2535;-0,3304;-0,6296;1,1588
"gotham";26;-1,3572;-1,615;0,6408;1,1554
"animation";26;-1,3572;-1,615;0,6408;1,1554
"trop";11;-0,5741;0,3548;1,8524;-1,7493
"devoir";42;0,7166;-0,2964;0,7028;-1,1731
"ne";219;0,8044;-0,6286;0,6538;-0,7836
"chercheur";10;0,5013;0,4059;-1,6146;0,7911
"peu";13;0,7556;-0,8074;0,4585;-0,3976
"porter";10;0,5013;-0,2166;1,0066;-1,5903
"celui";10;0,5013;0,8594;0,3118;-1,5903
"envoyer";13;0,7556;0,2735;-0,361;-0,3976
"5";18;0,4764;-0,2496;0,9119;-1,2728
"sud";10;-0,5219;-0,2166;-0,2905;0,7911
"christian";10;1,7071;-0,2166;-0,5647;-0,4372
"grâce";37;-1,9317;-0,5933;1,0207;0,4772
"emmanuel";14;-0,2854;-0,8695;-0,4612;1,4472
"bout";10;-0,5219;-0,2166;-0,2905;0,7911
"bfm";19;-0,9917;0,3244;-0,297;0,6999
"arriver";16;-0,3517;1,869;-0,2421;-1,0455
"tourner";10;1,7071;-0,621;-0,9875;0,4341
"vincent";12;-0,6263;-0,7452;0,9679;0,2776
"matin";12;0,3966;-0,2912;0,333;-0,3258
"année";51;0,4498;0,2773;-1,1768;0,9162
"c";73;0,6997;0,289;-0,7816;0,4175
"moins";11;-0,5741;0,7641;-0,7063;0,6478
"prince";26;-1,3572;-1,615;0,6408;1,1554
"rien";11;0,922;1,3203;-0,3925;-1,7493
"savoir";23;-1,2005;-0,4065;1,0518;-0,2283
"question";31;1,2643;-0,2205;-1,6123;0,6665
"long";13;-0,2535;0,6101;-0,361;0,222
"présentation";17;-0,386;1,1853;-0,3148;-0,4364
"théâtre";12;-0,2227;0,6818;-0,2713;-0,3258
"chose";11;1,5509;0,3548;-0,3925;-0,981
"olivier";18;0,4764;0,6755;-1,3633;0,5233
"figure";30;-1,5661;-1,8636;0,6562;1,3226
"nuit";11;-0,193;0,3548;0,2255;-0,2594
"permettre";20;-0,2208;-0,632;0,4002;0,3795
"polémiste";14;-0,7307;-0,8695;1,9686;-0,4745
"encore";14;0,3173;0,2409;-0,7622;0,6265
"xavier";10;-0,5219;1,4694;-1,6146;0,7911
"rendre";43;-0,3426;1,6459;-0,6935;-0,378
"partir";26;-0,7215;-0,2698;0,892;-0,3651
"disciple";23;-1,2005;-1,4286;1,0518;0,6002
"préparer";10;1,0236;-0,621;0,3118;-0,4372
"mère";10;-0,5219;0,4059;0,5932;-0,4372
"conquérant";26;-1,3572;-1,615;0,6408;1,1554
"série";39;-1,2591;-0,237;-0,2916;0,9555
