"";"X.mediamatgroupe_Cultureconnaissance";"X.mediamatgroupe_Fiction";"X.mediamatgroupe_Information";"X.mediamatgroupe_Jeunesse";"X.mediamatgroupe_Variétésdivertissement"
"mazaurette";7,6057;-7,0248;-0,045;-0,0341;-0,3089
"laure";-4,1453;4,4401;-0,0131;-0,01;-0,0903
"ville";-1,6393;1,8317;-0,0153;-0,0116;-0,1054
"etats";0,7482;-0,6422;-0,0164;-0,0124;-0,1129
"père";-0,3009;0,3704;-0,0175;-0,0133;-0,1204
"margot";2,0376;-1,8821;-0,0121;-0,0091;-0,0828
"équipe";-0,4653;0,368;-0,0241;-0,0183;0,4988
"clair";-0,3203;-0,498;1,6036;-0,0083;0,7984
"spécialiste";5,3617;-5,8669;-0,0461;-0,0349;0,2862
"police";3,1206;-4,422;-0,0362;-0,0274;0,96
"main";0,3629;-0,3053;-0,0121;-0,0091;-0,0828
"ancien";6,9793;-5,7761;-0,173;-0,131;-1,1882
"agir";-0,3446;0,4325;-0,023;-0,0174;-0,1581
"ministre";4,4485;-4,1088;-0,0263;-0,0199;-0,1807
"chanson";0,2413;-2,5669;-0,0164;-0,0124;5,4286
"trace";1,0515;-0,9452;-0,011;-0,0083;-0,0752
"extraire";14,0264;-19,254;-0,1232;-0,0933;1,3589
"aventure";-41,6701;44,522;-0,1177;-0,0891;-0,8082
"nouveau";-4,227;4,0587;-0,1177;1,756;-0,348
"débarquer";-3,1067;3,3616;-0,0131;-0,01;-0,0903
"parent";-3,4422;3,0989;2,139;-0,0424;-0,3844
"jt";2,5937;-2,3957;-0,0153;-0,0116;-0,1054
"lopez";2,9645;-2,7382;-0,0175;-0,0133;-0,1204
"rugby";2,0376;-1,8821;-0,0121;-0,0091;-0,0828
"côté";-9,2335;10,1203;-0,0494;-0,0374;-0,3391
"capable";0,5721;-0,498;-0,011;-0,0083;-0,0752
"mars";0,8572;-1,797;-0,0175;-0,0133;1,5219
"delage";2,4083;-2,2245;-0,0142;-0,0108;-0,0978
"starfire";-11,9686;12,6961;-0,0285;-0,0216;-0,1958
"new_yorkais";-19,8172;21,0227;-0,0472;-0,0357;-0,324
"davant";1,8523;-1,7109;-0,011;-0,0083;-0,0752
"mot";0,3629;-1,0817;-0,0121;-0,0091;1,8363
"christine";2,4083;-2,2245;-0,0142;-0,0108;-0,0978
"titan";-23,9797;25,4391;-0,0571;-0,0432;-0,3919
"rappeler";-0,3093;-0,4631;-0,0142;1,6103;0,6953
"ex_membre";2,0376;-1,8821;-0,0121;-0,0091;-0,0828
"fils";-0,8425;0,9564;-0,0121;-0,0091;-0,0828
"citation";5,9336;-5,4805;-0,0351;-0,0266;-0,241
"film";5,091;-6,05;-0,0615;-0,0465;0,6022
"important";0,6868;-1,0817;-0,0121;-0,0091;0,7606
"revenir";1,4111;-3,3574;1,1101;-0,0266;1,765
"révéler";3,3354;-3,0808;-0,0197;-0,0149;-0,1355
"public";2,5937;-2,3957;-0,0153;-0,0116;-0,1054
"agathe";2,223;-2,0533;-0,0131;-0,01;-0,0903
"récit";1,8523;-1,7109;-0,011;-0,0083;-0,0752
"csa";2,4083;-2,2245;-0,0142;-0,0108;-0,0978
"rapport";1,8523;-1,7109;-0,011;-0,0083;-0,0752
"etienne";7,4198;-6,8532;-0,0439;-0,0332;-0,3013
"association";1,2016;-1,0817;-0,0121;-0,0091;-0,0828
"porte";3,4138;-3,0676;-0,0329;-0,0249;-0,2259
"président";4,8496;-4,422;-0,0362;-0,0274;-0,2485
"troisième";2,3106;-3,0808;-0,0197;-0,0149;0,5719
"cirque";-11,605;12,3753;-0,0318;-0,0241;-0,2184
"travail";0,6868;-0,6;-0,0121;-0,0091;-0,0828
"pari";2,0358;-2,5472;-0,023;-0,0174;0,5155
"part";0,6437;-0,5502;-0,0153;-0,0116;-0,1054
"dossier";0,8066;-2,0533;-0,0131;-0,01;1,762
"gasnier";8,9072;-8,2269;-0,0527;-0,0399;-0,3617
"recevoir";1,4893;-2,2464;-0,0318;1,2681;0,4032
"témoignage";2,9439;-3,4748;-0,0296;-0,0224;0,4273
"expert";1,2016;-1,0817;-0,0121;-0,0091;-0,0828
"secret";0,8572;-1,1728;-0,0175;-0,0133;0,6159
"mener";-0,2469;0,2968;-0,0121;-0,0091;-0,0828
"moment";1,0592;-1,5055;-0,0153;-0,0116;0,6667
"travers";0,5443;-0,4631;-0,0142;-0,0108;-0,0978
"salvatore";1,2016;-1,8821;-0,0121;-0,0091;0,7606
"jimmy";2,223;-2,0533;-0,0131;-0,01;-0,0903
"dewalle";2,7791;-2,5669;-0,0164;-0,0124;-0,1129
"avenir";2,0376;-1,8821;-0,0121;-0,0091;-0,0828
"conseil";1,3545;-1,2209;-0,0131;-0,01;-0,0903
"travailler";1,6667;-1,5055;-0,0153;-0,0116;-0,1054
"lointain";-6,8178;7,4948;-0,0395;-0,0299;-0,2712
"invité";8,4078;-10,2894;-0,0659;-0,0499;0,5599
"objet";2,2585;-1,9921;-0,0296;-0,0224;-0,2033
"terrien";-11,0289;11,8564;-0,0373;-0,0282;-0,2561
"laurie";1,8523;-1,7109;-0,011;-0,0083;-0,0752
"chien";-3,3006;3,5398;-0,011;-0,0083;-0,0752
"extrait";2,333;-3,9374;-0,0252;-0,0191;1,2318
"identifier";1,0603;-0,8928;-0,0274;-0,0208;-0,1882
"lfi";2,7791;-2,5669;-0,0164;-0,0124;-0,1129
"expliquer";3,5678;-3,9459;-0,0395;-0,0299;0,3331
"réseau";1,8523;-1,7109;-0,011;-0,0083;-0,0752
"écrire";0,8066;-1,2209;-0,0131;-0,01;0,7264
"auproux";2,223;-2,0533;-0,0131;-0,01;-0,0903
"seines";2,5937;-2,3957;-0,0153;-0,0116;-0,1054
"mélenchon";4,8197;-4,4516;-0,0285;-0,0216;-0,1958
"bernard";4,4485;-4,1088;-0,0263;-0,0199;-0,1807
"beau";0,4504;-0,7069;-0,0131;-0,01;0,7264
"sembler";-1,1959;1,3661;-0,0175;-0,0133;-0,1204
"cacher";-0,4888;0,5941;-0,0208;-0,0158;-0,143
"fatou";-35,5692;37,7364;-0,0846;-0,0641;-0,5809
"annonce";2,0376;-1,8821;-0,0121;-0,0091;-0,0828
"agnès";0,5721;-0,9452;-0,011;-0,0083;0,7984
"moyen";1,8523;-1,7109;-0,011;-0,0083;-0,0752
"raven";-11,9686;12,6961;-0,0285;-0,0216;-0,1958
"provoquer";-29,907;32,0616;-0,0923;-0,0699;-0,6339
"système";2,4747;-3,2521;-0,0208;-0,0158;0,5519
"adolescent";-11,0465;11,7178;-0,0263;-0,0199;-0,1807
"oise";2,7791;-2,5669;-0,0164;-0,0124;-0,1129
"membre";4,8496;-4,422;-0,0362;-0,0274;-0,2485
"parole";3,8178;-3,4748;-0,0296;-0,0224;-0,2033
"philippe";2,223;-2,0533;-0,0131;-0,01;-0,0903
"mois";1,3545;-2,0533;-0,0131;-0,01;0,7264
"naître";-6,1125;6,7339;-0,0373;-0,0282;-0,2561
"enquête";0,5058;-0,4071;-0,0241;-0,0183;-0,1656
"nouvelle";-0,9046;0,373;-0,0142;-0,0108;1,6943
"mettre";-0,2832;-0,3956;-0,0274;1,331;0,4538
"jeune";-4,5482;4,7815;-0,0692;-0,0524;-0,1516
"construire";1,8255;-1,6505;-0,0164;-0,0124;-0,1129
"émission";4,9565;-5,3041;0,9688;-0,0374;-0,3391
"coeur";-0,5585;0,373;-0,0142;-0,0108;0,6953
"claude";2,2196;-4,1046;-0,034;-0,0257;1,8024
"présidentiel";2,5937;-2,3957;-0,0153;-0,0116;-0,1054
"âge";0,9309;-0,8181;-0,0142;-0,0108;-0,0978
"candidat";3,15;-2,9095;-0,0186;-0,0141;-0,128
"proposer";0,8572;-1,797;-0,0175;-0,0133;1,5219
"manquer";-7,6164;8,2773;-0,034;-0,0257;-0,2335
"bande";1,1908;-1,6505;-0,0164;-0,0124;0,6403
"humanité";4,4485;-4,1088;-0,0263;-0,0199;-0,1807
"gouvernement";2,3106;-2,0938;-0,0197;-0,0149;-0,1355
"antique";2,4083;-2,2245;-0,0142;-0,0108;-0,0978
"entrepreneur";2,0376;-1,8821;-0,0121;-0,0091;-0,0828
"exister";1,3256;-1,1728;-0,0175;-0,0133;-0,1204
"hugues";2,5937;-2,3957;-0,0153;-0,0116;-0,1054
"peret";1,8523;-1,7109;-0,011;-0,0083;-0,0752
"actuel";2,5937;-2,3957;-0,0153;-0,0116;-0,1054
"retour";3,2562;-2,924;-0,0318;-0,0241;-0,2184
"valentin";3,15;-2,9095;-0,0186;-0,0141;-0,128
"cnews";4,4485;-4,1088;-0,0263;-0,0199;-0,1807
"élément";1,2016;-1,0817;-0,0121;-0,0091;-0,0828
"groupe";1,0592;-0,9331;-0,0153;-0,0116;-0,1054
"entier";1,7152;-1,5035;-0,0252;-0,0191;-0,1732
"humour";-15,1267;15,4679;-0,0692;-0,0524;-0,1516
"langlois";2,5937;-2,3957;-0,0153;-0,0116;-0,1054
"frédéric";4,0525;-4,5813;-0,0373;-0,0282;0,3512
"boucher";2,0376;-1,8821;-0,0121;-0,0091;-0,0828
"courir";-8,9694;8,7826;-0,0406;-0,0307;0,3246
"haut";2,9728;-3,7661;-0,0241;-0,0183;0,4988
"antoine";4,2629;-3,9374;-0,0252;-0,0191;-0,1732
"nombreux";-19,0927;21,0113;-0,1077;-0,0816;-0,74
"apporter";0,3629;-0,6;-0,0121;-0,0091;0,7606
"revue";0,5721;-1,7109;-0,011;-0,0083;1,9185
"média";2,4083;-2,2245;-0,0142;-0,0108;-0,0978
"gotham";-11,9686;12,6961;-0,0285;-0,0216;-0,1958
"animation";-11,9686;12,6961;-0,0285;-0,0216;-0,1958
"cnrs";2,0376;-1,8821;-0,0121;-0,0091;-0,0828
"chanteur";-0,3093;-2,2245;-0,0142;-0,0108;5,7844
"chercheur";0,5721;-0,9452;1,6036;-0,0083;-0,0752
"départ";-17,1786;18,3568;-0,0494;-0,0374;-0,3391
"bellver";8,9072;-8,2269;-0,0527;-0,0399;-0,3617
"porter";0,2826;-0,9452;-0,011;-0,0083;1,9185
"envoyer";-0,3093;0,373;-0,0142;-0,0108;-0,0978
"alain";2,4083;-2,2245;-0,0142;-0,0108;-0,0978
"phénomène";2,6728;-4,5238;-0,056;-0,0424;1,9484
"péril";-22,5916;23,9663;-0,0538;-0,0407;-0,3693
"île";-27,5981;28,3806;-0,0934;-0,0707;-0,2444
"sud";1,8523;-1,7109;-0,011;-0,0083;-0,0752
"christian";1,8523;-1,7109;-0,011;-0,0083;-0,0752
"enfant";-0,376;-0,9007;2,2834;-0,0357;2,2087
"vaisseau";-3,4787;3,8643;-0,0263;-0,0199;-0,1807
"emmanuel";2,5937;-2,3957;-0,0153;-0,0116;-0,1054
