"";"X.mediamatgroupe_Cultureconnaissance";"X.mediamatgroupe_Fiction";"X.mediamatgroupe_Information";"X.mediamatgroupe_Jeunesse";"X.mediamatgroupe_Variétésdivertissement"
"construire";1,64;0,23;0;0;0
"émission";4,91;0,47;30,3;0;0
"coeur";0,82;1,17;0;0;4,44
"claude";3,16;0,23;0;0;13,33
"présidentiel";1,64;0;0;0;0
"âge";1,29;0,47;0;0;0
"candidat";1,99;0;0;0;0
"proposer";1,52;0,23;0;0;8,89
"manquer";0,58;6,1;0;0;0
"bande";1,52;0,23;0;0;4,44
"humanité";2,81;0;0;0;0
"gouvernement";1,99;0,23;0;0;0
"antique";1,52;0;0;0;0
"entrepreneur";1,29;0;0;0;0
"exister";1,64;0,47;0;0;0
"hugues";1,64;0;0;0;0
"peret";1,17;0;0;0;0
"actuel";1,64;0;0;0;0
"retour";3,16;0,47;0;0;0
"valentin";1,99;0;0;0;0
"cnews";2,81;0;0;0;0
"élément";1,17;0,23;0;0;0
"groupe";1,4;0,47;0;0;0
"entier";2,34;0,7;0;0;0
"humour";1,17;12,19;0;0;4,44
"langlois";1,64;0;0;0;0
"frédéric";3,74;0,23;0;0;4,44
"boucher";1,29;0;0;0;0
"courir";0,7;7,03;0;0;4,44
"haut";2,45;0;0;0;4,44
"antoine";2,69;0;0;0;0
"nombreux";2,34;18,29;0;0;0
"apporter";0,94;0,47;0;0;4,44
"revue";0,94;0;0;0;8,89
"média";1,52;0;0;0;0
"gotham";0;6,1;0;0;0
"animation";0;6,1;0;0;0
"cnrs";1,29;0;0;0;0
"chanteur";0,94;0;0;0;22,22
"chercheur";0,94;0,23;30,3;0;0
"départ";0,23;10,08;0;0;0
"bellver";5,61;0;0;0;0
"porter";0,82;0,23;0;0;8,89
"envoyer";0,94;1,17;0;0;0
"alain";1,52;0;0;0;0
"phénomène";5,03;0,94;0;0;17,78
"péril";0;11,49;0;0;0
"île";0,82;18,05;0;0;4,44
"sud";1,17;0;0;0;0
"christian";1,17;0;0;0;0
"enfant";3,16;2,34;60,61;0;17,78
"vaisseau";0,82;3,99;0;0;0
"emmanuel";1,64;0;0;0;0
"bout";1,17;0;0;0;0
"affrontement";1,52;0;0;0;0
"blanc";1,87;0;0;0;0
"passer";5,14;1,64;0;0;0
"professeur";1,52;1,88;0;0;0
"chaouch";1,17;0;0;0;0
"maison";1,64;1,41;0;0;0
"bfm";2,22;0;0;0;0
"arriver";0,94;1,88;0;0;0
"tourner";0,82;0,47;0;0;4,44
"vincent";1,29;0,23;0;0;0
"matin";1,4;0;0;0;0
"raconter";3,27;0,23;0;0;4,44
"année";5,61;0,47;0;0;4,44
"bristielle";2,45;0;0;0;0
"propos";1,4;0;0;0;4,44
"prince";0;6,1;0;0;0
"plateau";3,86;0;30,3;0;13,33
"réveiller";0,12;10,08;0;0;0
"anne";2,57;0;0;0;0
"question";3,39;0;0;0;8,89
"long";1,4;0;0;0;4,44
"présentation";1,99;0;0;0;0
"nasa";1,52;0,23;0;0;0
"yves";1,99;0;0;0;4,44
"théâtre";1,4;0;0;0;0
"chose";0,58;1,41;0;0;0
"olivier";1,75;0;0;0;13,33
"lrem";1,99;0;0;0;0
"claviere";1,75;0;0;0;0
"figure";0,47;6,1;0;0;0
"patron";1,4;0,47;0;0;0
"fédération";1,29;0;0;0;0
"watrin";1,29;0;0;0;0
"nuit";1,05;0,47;0;0;0
"permettre";2,1;0,47;0;0;0
"tsoukalos";2,1;0;0;0;0
"polémiste";1,64;0;0;0;0
"galley";1,17;0;0;0;0
"pomart";1,75;0;0;0;0
"chalumeau";5,61;0;0;0;0
"xavier";0,7;0,94;0;0;0
"rendre";2,81;4,22;0;0;4,44
"partie";2,22;0,23;0;0;0
"partir";2,57;0,94;0;0;0
"marier";1,29;0,7;0;0;4,44
"joe";1,75;0;0;0;0
"disciple";0;5,39;0;0;0
"préparer";0,82;0,23;0;40;4,44
"mère";0,58;1,17;0;0;0
"américain";3,51;0,23;0;40;0
"conquérant";0;6,1;0;0;0
"série";1,4;6,33;0;0;0
"val";1,87;0;0;0;0
"humain";3,04;2,81;0;0;0
"courant";1,17;0;0;0;8,89
"décrire";1,29;0;0;0;4,44
"fantôme";1,29;0;0;0;0
