"";"banalfreq";"X.mediamatgroupe_Cultureconnaissance";"X.mediamatgroupe_Fiction";"X.mediamatgroupe_Information";"X.mediamatgroupe_Jeunesse";"X.mediamatgroupe_Variétésdivertissement"
"déage";10;1,8523;-1,7109;-0,011;-0,0083;-0,0752
"transformer";11;-0,2469;0,2968;-0,0121;-0,0091;-0,0828
"bord";12;-1,6169;1,7939;-0,0131;-0,01;-0,0903
"jacques";18;1,087;-1,4231;-0,0197;-0,0149;0,5719
"commencer";15;0,7482;-1,0514;-0,0164;-0,0124;0,6403
"donner";38;0,3834;-0,7961;1,0386;-0,0316;0,8593
"cours";19;1,7454;-1,5517;-0,0208;-0,0158;-0,143
"découvrir";46;-1,3454;1,1027;-0,0505;-0,0382;0,7287
"nom";10;1,0515;-0,9452;-0,011;-0,0083;-0,0752
"ex";21;1,456;-1,2713;-0,023;-0,0174;-0,1581
"marine";11;0,6868;-0,6;-0,0121;-0,0091;-0,0828
"message";10;1,8523;-1,7109;-0,011;-0,0083;-0,0752
"déguiser";15;-0,3704;0,2437;-0,0164;-0,0124;0,6403
"étrange";47;1,8192;-1,5057;-0,0516;-0,0391;-0,3542
"sport";10;1,8523;-1,7109;-0,011;-0,0083;-0,0752
"près_de";14;-1,1432;0,8707;-0,0153;-0,0116;0,6667
"héros";12;-0,3891;0,2334;-0,0131;1,6446;-0,0903
"vilain";10;0,5721;-0,9452;-0,011;1,723;-0,0752
"vendre";10;-1,0388;1,1628;-0,011;-0,0083;-0,0752
"loi";10;1,8523;-1,7109;-0,011;-0,0083;-0,0752
"aimer";11;1,2016;-1,0817;-0,0121;-0,0091;-0,0828
"réalité";21;-0,3446;0,4325;-0,023;-0,0174;-0,1581
"diffuser";10;1,8523;-1,7109;-0,011;-0,0083;-0,0752
"base";11;0,3629;-0,3053;-0,0121;-0,0091;-0,0828
"véritable";12;-0,3891;0,4607;-0,0131;-0,01;-0,0903
"jour";25;1,4675;-1,7441;-0,0274;-0,0208;0,4538
"justice";11;1,2016;-1,0817;-0,0121;-0,0091;-0,0828
"portrait";13;0,9309;-1,3622;-0,0142;-0,0108;0,6953
"effet";11;-0,4894;0,5694;-0,0121;-0,0091;-0,0828
"grand";55;1,5602;-1,5411;0,8869;-0,0457;-0,4146
"jouer";13;0,2929;-0,4631;-0,0142;-0,0108;0,6953
"rester";21;0,6808;-0,5636;-0,023;-0,0174;-0,1581
"visite";21;1,456;-1,2713;-0,023;-0,0174;-0,1581
